iucn_sid,sens,stressor,code,score_num
12695,FALSE,nutrient,9.1.1,NA
12695,TRUE,nutrient,9.1.2,6
12695,TRUE,organic,9.1.2,6
12695,TRUE,organic,9.2.1,3
12695,TRUE,nutrient,9.3.1,5
12695,TRUE,organic,9.3.3,6
13145,FALSE,direct_human,1.1,NA
13145,FALSE,direct_human,1.2,NA
13145,FALSE,direct_human,1.3,NA
13232,TRUE,nutrient,9.3.1,3
13581,TRUE,direct_human,6.1,4
13653,TRUE,direct_human,1.1,6
13653,TRUE,direct_human,1.2,6
13653,TRUE,direct_human,1.3,7
13653,TRUE,direct_human,6.1,7
13653,TRUE,organic,9.2.1,6
13654,TRUE,direct_human,6.1,4
13654,TRUE,direct_human,6.3,4
13704,FALSE,direct_human,1.2,2
13704,TRUE,organic,9.2.1,3
13704,TRUE,organic,9.3.3,5
14549,TRUE,direct_human,1.2,4
14549,TRUE,direct_human,1.3,4
14549,TRUE,nutrient,2.4.2,4
14549,TRUE,direct_human,6.1,4
14549,TRUE,organic,9.2.1,3
14562,TRUE,direct_human,6.3,5
15106,TRUE,direct_human,6.1,4
15106,TRUE,direct_human,6.3,4
15106,TRUE,organic,9.2.1,4
15108,TRUE,direct_human,6.3,4
15108,FALSE,organic,9.2.1,2
15419,TRUE,nutrient,9.1.1,6
15419,TRUE,nutrient,9.1.2,6
15419,TRUE,organic,9.1.2,6
15421,TRUE,direct_human,6.1,3
15421,TRUE,organic,9.2.1,3
15421,TRUE,organic,9.3.3,3
16869,FALSE,direct_human,1.1,NA
16869,FALSE,direct_human,6.1,NA
16869,FALSE,nutrient,9.1.2,NA
16869,FALSE,organic,9.1.2,NA
17013,TRUE,direct_human,1.2,3
17013,TRUE,direct_human,6.3,3
17013,TRUE,organic,9.2.1,3
17014,TRUE,organic,9.2.1,3
17014,TRUE,organic,9.3.3,3
17021,TRUE,organic,9.3.3,3
17022,TRUE,organic,9.2.1,3
17022,TRUE,organic,9.3.3,3
17023,TRUE,direct_human,1.2,3
17023,TRUE,organic,9.2.1,3
17027,TRUE,direct_human,1.2,3
17096,TRUE,direct_human,1.1,3
17096,TRUE,direct_human,1.2,3
17096,TRUE,nutrient,9.1.1,3
17177,TRUE,direct_human,1.1,3
17177,TRUE,direct_human,1.2,3
17177,TRUE,nutrient,9.1.1,3
17978,FALSE,direct_human,6.1,NA
17978,FALSE,nutrient,9.1.1,NA
17978,FALSE,nutrient,9.1.2,NA
17978,FALSE,organic,9.1.2,NA
17978,FALSE,organic,9.2.1,NA
18145,FALSE,direct_human,1.1,NA
18145,FALSE,direct_human,1.2,NA
18145,FALSE,direct_human,1.3,NA
18175,TRUE,direct_human,1.1,4
18175,FALSE,direct_human,1.2,NA
18428,TRUE,nutrient,9.1.1,3
18428,TRUE,organic,9.2.1,3
19388,FALSE,direct_human,1.1,NA
19488,TRUE,direct_human,6.1,4
19735,FALSE,direct_human,1.1,NA
19735,FALSE,direct_human,1.3,NA
19798,FALSE,nutrient,9.1.1,NA
19798,FALSE,nutrient,9.1.2,NA
19798,FALSE,organic,9.1.2,NA
19798,FALSE,nutrient,9.3.1,NA
19798,FALSE,organic,9.3.3,NA
19896,FALSE,nutrient,9.3.1,NA
19896,FALSE,organic,9.3.3,NA
19897,FALSE,nutrient,9.3.1,NA
19897,FALSE,organic,9.3.3,NA
19898,FALSE,direct_human,1.1,NA
19898,FALSE,direct_human,1.2,NA
19898,FALSE,direct_human,1.3,NA
19898,FALSE,direct_human,6.1,NA
19950,FALSE,direct_human,1.1,NA
19950,FALSE,direct_human,1.2,NA
19950,FALSE,direct_human,1.3,NA
20425,TRUE,direct_human,1.1,3
20425,TRUE,direct_human,1.2,3
20733,TRUE,direct_human,6.1,4
20855,FALSE,direct_human,1.1,NA
21341,FALSE,direct_human,1.1,NA
21341,FALSE,direct_human,1.2,NA
21341,FALSE,direct_human,1.3,NA
21341,FALSE,nutrient,2.4.1,NA
21341,FALSE,nutrient,2.4.2,NA
21341,FALSE,nutrient,9.1.1,NA
21341,FALSE,nutrient,9.1.2,NA
21341,FALSE,organic,9.1.2,NA
21341,FALSE,organic,9.2.1,NA
21341,FALSE,organic,9.2.2,NA
21341,FALSE,nutrient,9.3.1,NA
21341,FALSE,organic,9.3.3,NA
21342,FALSE,direct_human,1.1,NA
21342,FALSE,direct_human,1.2,NA
