iucn_sid,gear,count
6229,gillnet,8
6229,longline,5
6229,midtrawl,0
6229,poleline,0
6229,seine,0
6229,trap,0
6335,btmtrawl,0
6335,dredge,0
6335,gillnet,0
6335,longline,0
6335,midtrawl,0
6335,poleline,0
6335,seine,0
6335,trap,0
6336,btmtrawl,2
6336,dredge,0
6336,gillnet,9
6336,longline,0
6336,midtrawl,2
6336,poleline,0
6336,seine,6
6336,trap,0
6337,btmtrawl,1
6337,dredge,0
6337,gillnet,5
6337,longline,0
6337,midtrawl,0
6337,poleline,0
6337,seine,2
6337,trap,0
6494,btmtrawl,1
6494,dredge,0
6494,gillnet,0
6494,longline,0
6494,midtrawl,1
6494,poleline,0
6494,seine,0
6494,trap,0
6814,btmtrawl,1
6814,dredge,0
6814,gillnet,0
6814,longline,0
6814,midtrawl,0
6814,poleline,0
6814,seine,0
6814,trap,0
6909,btmtrawl,2
6909,dredge,0
6909,gillnet,4
6909,longline,0
6909,midtrawl,0
6909,poleline,0
6909,seine,0
6909,trap,0
7135,btmtrawl,0
7135,dredge,0
7135,gillnet,0
7135,longline,0
7135,midtrawl,0
7135,poleline,0
7135,seine,0
7135,trap,0
7750,btmtrawl,0
7750,dredge,0
7750,gillnet,0
7750,longline,0
7750,midtrawl,0
7750,poleline,0
7750,seine,0
7750,trap,2
7854,btmtrawl,1
7854,dredge,0
7854,gillnet,0
7854,longline,2
7854,midtrawl,0
7854,poleline,1
7854,seine,0
7854,trap,1
7855,btmtrawl,3
7855,dredge,0
7855,gillnet,0
7855,longline,0
7855,midtrawl,0
7855,poleline,0
7855,seine,0
7855,trap,0
7858,btmtrawl,1
7858,dredge,0
7858,gillnet,0
7858,longline,0
7858,midtrawl,0
7858,poleline,1
7858,seine,0
7858,trap,0
7859,btmtrawl,0
7859,dredge,0
7859,gillnet,0
7859,longline,2
7859,midtrawl,0
7859,poleline,1
7859,seine,0
7859,trap,0
7860,btmtrawl,0
7860,dredge,0
7860,gillnet,0
7860,longline,4
7860,midtrawl,0
7860,poleline,1
7860,seine,0
7860,trap,0
7861,btmtrawl,2
7861,dredge,0
7861,gillnet,0
7861,longline,4
7861,midtrawl,0
7861,poleline,2
7861,seine,0
7861,trap,2
7862,btmtrawl,0
7862,dredge,0
7862,gillnet,1
7862,longline,1
7862,midtrawl,0
7862,poleline,0
7862,seine,0
7862,trap,2
8005,btmtrawl,3
8005,dredge,0
8005,gillnet,1
8005,longline,0
8005,midtrawl,3
8005,poleline,0
8005,seine,0
8005,trap,0
8010,btmtrawl,0
8010,dredge,0
8010,gillnet,0
8010,longline,0
8010,midtrawl,0
8010,poleline,0
8010,seine,0
8010,trap,0
8012,btmtrawl,0
8012,dredge,0
8012,gillnet,0
8012,longline,0
8012,midtrawl,0
8012,poleline,0
8012,seine,0
8012,trap,0
8013,btmtrawl,0
8013,dredge,0
8013,gillnet,0
8013,longline,0
8013,midtrawl,0
8013,poleline,0
8013,seine,0
8013,trap,0
8097,btmtrawl,9
8097,dredge,0
8097,gillnet,1
8097,longline,0
8097,midtrawl,9
8097,poleline,0
8097,seine,0
8097,trap,1
8099,btmtrawl,5
8099,dredge,0
8099,gillnet,3
8099,longline,1
8099,midtrawl,5
8099,poleline,0
8099,seine,0
8099,trap,4
8153,btmtrawl,1
8153,dredge,0
8153,gillnet,0
8153,longline,0
8153,midtrawl,1
8153,poleline,0
8153,seine,0
8153,trap,0
8239,btmtrawl,0
8239,dredge,0
8239,gillnet,0
8239,longline,0
8239,midtrawl,0
8239,poleline,0
8239,seine,0
8239,trap,0
8261,btmtrawl,0
8261,dredge,0
8261,gillnet,0
8261,longline,0
8261,midtrawl,0
8261,poleline,0
8261,seine,0
8261,trap,0
8407,btmtrawl,5
8407,dredge,0
8407,gillnet,0
8407,longline,0
8407,midtrawl,0
8407,poleline,0
8407,seine,1
8407,trap,0
8408,btmtrawl,6
8408,dredge,0
8408,gillnet,0
8408,longline,0
8408,midtrawl,0
8408,poleline,0
8408,seine,0
8408,trap,0
8551,btmtrawl,0
8551,dredge,0
8551,gillnet,5
8551,longline,2
8551,midtrawl,0
8551,poleline,0
8551,seine,0
8551,trap,0
8817,btmtrawl,0
8817,dredge,0
8817,gillnet,0
8817,longline,0
8817,midtrawl,0
8817,poleline,0
8817,seine,0
8817,trap,0
9249,btmtrawl,1
9249,dredge,0
9249,gillnet,3
9249,longline,4
9249,midtrawl,1
9249,poleline,0
9249,seine,0
9249,trap,0
9250,btmtrawl,1
9250,dredge,0
9250,gillnet,0
9250,longline,0
9250,midtrawl,1
9250,poleline,0
9250,seine,0
9250,trap,0
9281,btmtrawl,0
9281,dredge,0
9281,gillnet,1
9281,longline,0
9281,midtrawl,0
9281,poleline,0
9281,seine,0
9281,trap,0
9461,btmtrawl,0
9461,dredge,0
9461,gillnet,9
9461,longline,3
9461,midtrawl,0
9461,poleline,0
9461,seine,0
9461,trap,0
9660,btmtrawl,4
9660,dredge,0
9660,gillnet,0
9660,longline,0
9660,midtrawl,4
9660,poleline,0
9660,seine,0
9660,trap,1
10030,btmtrawl,1
10030,dredge,0
10030,gillnet,1
10030,longline,1
10030,midtrawl,0
10030,poleline,0
10030,seine,0
10030,trap,1
10056,btmtrawl,0
10056,dredge,0
10056,gillnet,0
10056,longline,0
10056,midtrawl,0
10056,poleline,0
10056,seine,0
10056,trap,1
10057,btmtrawl,2
10057,dredge,0
10057,gillnet,0
10057,longline,0
10057,midtrawl,0
10057,poleline,0
10057,seine,0
10057,trap,0
10060,btmtrawl,1
10060,dredge,0
10060,gillnet,0
10060,longline,0
10060,midtrawl,0
10060,poleline,0
10060,seine,0
10060,trap,0
10064,btmtrawl,2
10064,dredge,0
10064,gillnet,0
10064,longline,0
10064,midtrawl,0
10064,poleline,0
10064,seine,1
10064,trap,0
10065,btmtrawl,2
10065,dredge,0
10065,gillnet,0
10065,longline,0
10065,midtrawl,0
10065,poleline,0
10065,seine,0
10065,trap,0
10066,btmtrawl,9
10066,dredge,0
10066,gillnet,0
10066,longline,0
10066,midtrawl,0
10066,poleline,0
10066,seine,0
10066,trap,0
10069,btmtrawl,4
10069,dredge,1
10069,gillnet,3
10069,longline,0
10069,midtrawl,0
10069,poleline,0
10069,seine,3
10069,trap,3
10070,btmtrawl,5
10070,dredge,0
10070,gillnet,0
10070,longline,0
10070,midtrawl,0
10070,poleline,0
10070,seine,0
10070,trap,0
10072,btmtrawl,1
10072,dredge,0
10072,gillnet,0
10072,longline,0
10072,midtrawl,0
10072,poleline,0
10072,seine,1
