range_km2,iucn_sid
NA,132735
NA,132736
NA,132737
NA,132738
NA,132739
NA,132740
NA,132741
NA,132742
NA,132743
NA,132744
8821839.523527496,132745
NA,132746
NA,132747
NA,132748
NA,132749
NA,132750
NA,132751
NA,132752
NA,132753
NA,132754
NA,132755
NA,132756
NA,132757
NA,132758
NA,132759
174518.2934330858,132760
NA,132761
NA,132762
NA,132763
1334942.8209446087,132764
NA,132765
NA,132766
NA,132767
9721.027589230182,132768
NA,132769
NA,132770
NA,132771
7373293.763198246,132772
4223896.517176494,132773
NA,132774
NA,132776
NA,132777
NA,132778
200382.23484036635,132779
NA,132780
NA,132781
NA,132782
NA,132783
581701.1563162779,132784
NA,132785
NA,132786
NA,132787
NA,132788
NA,132789
NA,132790
3772878.212242067,132791
NA,132792
NA,132793
NA,132794
347265.6343846803,132795
2759092.5741664856,132796
112872.90175828608,132797
NA,132798
NA,132799
NA,132800
NA,132801
NA,132802
NA,132803
NA,132804
1177506.185789675,132805
NA,132806
NA,132807
NA,132808
NA,132809
NA,132810
NA,132811
NA,132812
NA,132813
NA,132814
NA,132815
559546.7842719062,132816
NA,132817
NA,132818
NA,132819
NA,132820
NA,132821
NA,132822
NA,132824
NA,132825
NA,132826
2843524.5715252445,132827
NA,132828
1006890.4499580447,132829
NA,132830
NA,132859
NA,132860
15933.333584185017,132861
NA,132862
NA,132863
NA,132864
315044.4273559111,132865
NA,132866
NA,132867
270428.2989692881,132868
NA,132869
NA,132870
NA,132871
NA,132872
NA,132873
904355.9642527779,132874
NA,132875
NA,132876
NA,132877
NA,132878
NA,132879
NA,132880
NA,132881
NA,132882
NA,132883
992858.1834564517,132884
NA,132885
NA,132886
NA,132887
NA,132888
NA,132889
NA,132890
31869.28691732756,132891
NA,132892
NA,132893
NA,132894
NA,132895
NA,132896
NA,132897
139053.83314211696,132898
NA,132899
NA,132900
NA,132901
188300.8104242392,132902
NA,132903
NA,132904
NA,132905
NA,132906
NA,132907
NA,132908
NA,132909
NA,132910
NA,132911
58562.816504537936,132912
NA,132913
229231.82056713628,132914
