iucn_sid,sens,stressor,code
133105,TRUE,shipping,4.3
133106,TRUE,shipping,4.3
133107,TRUE,shipping,4.3
133108,TRUE,shipping,4.3
133109,TRUE,shipping,4.3
133110,TRUE,shipping,4.3
133111,TRUE,shipping,4.3
133112,TRUE,shipping,4.3
133113,TRUE,shipping,4.3
133114,TRUE,shipping,4.3
133115,TRUE,shipping,4.3
133116,TRUE,shipping,4.3
133117,TRUE,shipping,4.3
133118,TRUE,shipping,4.3
133119,TRUE,shipping,4.3
133120,TRUE,shipping,4.3
133121,TRUE,shipping,4.3
133122,TRUE,shipping,4.3
133123,TRUE,shipping,4.3
133124,TRUE,shipping,4.3
133125,TRUE,shipping,4.3
133126,TRUE,shipping,4.3
133127,TRUE,shipping,4.3
133128,TRUE,shipping,4.3
133129,TRUE,shipping,4.3
133130,TRUE,shipping,4.3
133131,TRUE,shipping,4.3
133132,TRUE,shipping,4.3
133133,TRUE,shipping,4.3
133134,TRUE,shipping,4.3
133135,TRUE,shipping,4.3
133136,TRUE,shipping,4.3
133137,TRUE,shipping,4.3
133138,TRUE,shipping,4.3
133139,TRUE,shipping,4.3
133140,TRUE,shipping,4.3
133141,TRUE,shipping,4.3
133142,FALSE,shipping,4.3
133143,TRUE,shipping,4.3
133144,TRUE,shipping,4.3
133145,TRUE,shipping,4.3
133146,TRUE,shipping,4.3
133147,TRUE,shipping,4.3
133148,TRUE,shipping,4.3
133149,TRUE,shipping,4.3
133150,TRUE,shipping,4.3
133151,TRUE,shipping,4.3
133152,TRUE,shipping,4.3
133153,TRUE,shipping,4.3
133154,TRUE,shipping,4.3
133155,TRUE,shipping,4.3
133156,TRUE,shipping,4.3
133157,TRUE,shipping,4.3
133158,TRUE,shipping,4.3
133159,TRUE,shipping,4.3
133160,TRUE,shipping,4.3
133161,TRUE,shipping,4.3
133162,TRUE,shipping,4.3
133163,TRUE,shipping,4.3
133164,TRUE,shipping,4.3
133165,TRUE,shipping,4.3
133166,TRUE,shipping,4.3
133167,TRUE,shipping,4.3
133168,TRUE,shipping,4.3
133169,TRUE,shipping,4.3
133170,TRUE,shipping,4.3
133171,TRUE,shipping,4.3
133172,TRUE,shipping,4.3
133173,TRUE,shipping,4.3
133174,TRUE,shipping,4.3
133175,TRUE,shipping,4.3
133176,TRUE,shipping,4.3
133177,TRUE,shipping,4.3
133178,TRUE,shipping,4.3
133179,TRUE,shipping,4.3
133180,TRUE,shipping,4.3
133181,TRUE,shipping,4.3
133182,TRUE,shipping,4.3
133183,TRUE,shipping,4.3
133184,TRUE,shipping,4.3
133185,TRUE,shipping,4.3
133186,TRUE,shipping,4.3
133187,TRUE,shipping,4.3
133188,TRUE,shipping,4.3
133189,TRUE,shipping,4.3
133190,TRUE,shipping,4.3
133191,TRUE,shipping,4.3
133192,TRUE,shipping,4.3
133193,TRUE,shipping,4.3
133194,TRUE,shipping,4.3
133195,TRUE,shipping,4.3
133196,TRUE,shipping,4.3
133197,TRUE,shipping,4.3
133198,TRUE,shipping,4.3
133199,TRUE,shipping,4.3
133200,TRUE,shipping,4.3
133201,TRUE,shipping,4.3
133202,TRUE,shipping,4.3
133203,TRUE,shipping,4.3
133204,TRUE,shipping,4.3
133205,TRUE,shipping,4.3
133206,TRUE,shipping,4.3
133207,TRUE,shipping,4.3
133208,TRUE,shipping,4.3
133209,TRUE,shipping,4.3
133210,TRUE,shipping,4.3
133211,TRUE,shipping,4.3
133212,TRUE,shipping,4.3
133213,TRUE,shipping,4.3
133214,TRUE,shipping,4.3
133215,TRUE,shipping,4.3
133216,TRUE,shipping,4.3
133217,TRUE,shipping,4.3
133218,TRUE,shipping,4.3
133219,TRUE,shipping,4.3
133220,TRUE,shipping,4.3
133221,TRUE,shipping,4.3
133222,TRUE,shipping,4.3
133223,TRUE,shipping,4.3
133224,TRUE,shipping,4.3
133225,TRUE,shipping,4.3
133226,TRUE,shipping,4.3
133227,TRUE,shipping,4.3
133228,TRUE,shipping,4.3
133229,TRUE,shipping,4.3
133230,TRUE,shipping,4.3
133231,TRUE,shipping,4.3
133232,TRUE,shipping,4.3
133233,TRUE,shipping,4.3
133234,TRUE,shipping,4.3
133235,TRUE,shipping,4.3
133236,TRUE,shipping,4.3
133237,TRUE,shipping,4.3
133238,TRUE,shipping,4.3
133239,TRUE,shipping,4.3
133240,TRUE,shipping,4.3
133241,TRUE,shipping,4.3
133242,TRUE,shipping,4.3
133243,TRUE,shipping,4.3
133244,TRUE,shipping,4.3
133245,TRUE,shipping,4.3
133246,TRUE,shipping,4.3
133247,TRUE,shipping,4.3
133248,TRUE,shipping,4.3
133249,TRUE,shipping,4.3
133250,TRUE,shipping,4.3
133251,TRUE,shipping,4.3
133252,TRUE,shipping,4.3
133253,TRUE,shipping,4.3
133254,TRUE,shipping,4.3
133255,TRUE,shipping,4.3
133256,TRUE,shipping,4.3
133257,TRUE,shipping,4.3
133258,TRUE,shipping,4.3
133259,TRUE,shipping,4.3
133260,TRUE,shipping,4.3
133261,TRUE,shipping,4.3
133262,TRUE,shipping,4.3
133263,TRUE,shipping,4.3
133264,TRUE,shipping,4.3
133265,TRUE,shipping,4.3
133266,TRUE,shipping,4.3
133267,TRUE,shipping,4.3
133268,TRUE,shipping,4.3
133269,TRUE,shipping,4.3
133270,TRUE,shipping,4.3
133271,TRUE,shipping,4.3
133272,TRUE,shipping,4.3
133273,TRUE,shipping,4.3
133274,TRUE,shipping,4.3
133275,TRUE,shipping,4.3
133276,TRUE,shipping,4.3
133277,TRUE,shipping,4.3
133278,TRUE,shipping,4.3
133279,TRUE,shipping,4.3
133280,TRUE,shipping,4.3
133281,TRUE,shipping,4.3
133282,TRUE,shipping,4.3
133283,TRUE,shipping,4.3
133284,TRUE,shipping,4.3
133285,TRUE,shipping,4.3
133286,TRUE,shipping,4.3
133287,TRUE,shipping,4.3
133288,TRUE,shipping,4.3
133289,TRUE,shipping,4.3
133290,TRUE,shipping,4.3
133291,TRUE,shipping,4.3
133292,TRUE,shipping,4.3
133293,TRUE,shipping,4.3
133294,TRUE,shipping,4.3
133295,TRUE,shipping,4.3
133296,TRUE,shipping,4.3
133297,TRUE,shipping,4.3
133298,TRUE,shipping,4.3
133299,TRUE,shipping,4.3
133300,TRUE,shipping,4.3
133301,TRUE,shipping,4.3
133302,TRUE,shipping,4.3
133303,TRUE,shipping,4.3
133304,TRUE,shipping,4.3
133305,TRUE,shipping,4.3
133306,TRUE,shipping,4.3
133307,TRUE,shipping,4.3
133308,TRUE,shipping,4.3
133309,TRUE,shipping,4.3
133310,TRUE,shipping,4.3
133311,TRUE,shipping,4.3
133312,TRUE,shipping,4.3
133313,TRUE,shipping,4.3
133314,TRUE,shipping,4.3
133315,TRUE,shipping,4.3
133316,TRUE,shipping,4.3
133317,TRUE,shipping,4.3
133318,TRUE,shipping,4.3
133319,TRUE,shipping,4.3
133320,TRUE,shipping,4.3
133321,TRUE,shipping,4.3
133322,TRUE,shipping,4.3
133323,TRUE,shipping,4.3
133324,TRUE,shipping,4.3
133325,TRUE,shipping,4.3
133326,TRUE,shipping,4.3
133327,TRUE,shipping,4.3
133328,TRUE,shipping,4.3
133329,TRUE,shipping,4.3
133330,TRUE,shipping,4.3
133331,TRUE,shipping,4.3
133332,TRUE,shipping,4.3
133333,TRUE,shipping,4.3
133334,TRUE,shipping,4.3
133335,TRUE,shipping,4.3
133336,TRUE,shipping,4.3
133337,TRUE,shipping,4.3
133338,TRUE,shipping,4.3
133339,TRUE,shipping,4.3
133340,TRUE,shipping,4.3
133341,TRUE,shipping,4.3
133342,TRUE,shipping,4.3
133343,TRUE,shipping,4.3
133344,TRUE,shipping,4.3
133345,TRUE,shipping,4.3
133346,TRUE,shipping,4.3
133347,TRUE,shipping,4.3
133348,TRUE,shipping,4.3
133349,TRUE,shipping,4.3
133350,TRUE,shipping,4.3
133351,TRUE,shipping,4.3
133352,TRUE,shipping,4.3
133353,TRUE,shipping,4.3
133354,TRUE,shipping,4.3
133355,TRUE,shipping,4.3
133356,TRUE,shipping,4.3
133357,TRUE,shipping,4.3
133358,TRUE,shipping,4.3
133359,TRUE,shipping,4.3
133360,TRUE,shipping,4.3
133361,TRUE,shipping,4.3
133362,TRUE,shipping,4.3
133363,TRUE,shipping,4.3
133364,TRUE,shipping,4.3
133365,TRUE,shipping,4.3
133366,TRUE,shipping,4.3
133367,TRUE,shipping,4.3
133368,TRUE,shipping,4.3
133369,TRUE,shipping,4.3
133370,TRUE,shipping,4.3
133371,TRUE,shipping,4.3
133372,TRUE,shipping,4.3
133373,TRUE,shipping,4.3
133374,TRUE,shipping,4.3
133375,TRUE,shipping,4.3
133376,TRUE,shipping,4.3
133377,TRUE,shipping,4.3
133378,TRUE,shipping,4.3
133379,TRUE,shipping,4.3
133380,TRUE,shipping,4.3
133381,TRUE,shipping,4.3
133382,TRUE,shipping,4.3
133383,TRUE,shipping,4.3
133384,TRUE,shipping,4.3
133385,TRUE,shipping,4.3
133386,TRUE,shipping,4.3
133387,TRUE,shipping,4.3
133388,TRUE,shipping,4.3
133389,TRUE,shipping,4.3
133390,TRUE,shipping,4.3
133391,TRUE,shipping,4.3
133392,TRUE,shipping,4.3
133393,TRUE,shipping,4.3
133394,TRUE,shipping,4.3
133395,TRUE,shipping,4.3
133396,TRUE,shipping,4.3
133397,TRUE,shipping,4.3
133398,TRUE,shipping,4.3
133399,TRUE,shipping,4.3
133400,TRUE,shipping,4.3
133401,TRUE,shipping,4.3
133402,TRUE,shipping,4.3
133403,TRUE,shipping,4.3
133404,TRUE,shipping,4.3
133405,TRUE,shipping,4.3
133406,TRUE,shipping,4.3
133407,TRUE,shipping,4.3
133408,TRUE,shipping,4.3
133409,TRUE,shipping,4.3
133410,TRUE,shipping,4.3
133411,TRUE,shipping,4.3
133412,TRUE,shipping,4.3
133413,TRUE,shipping,4.3
133414,TRUE,shipping,4.3
133415,TRUE,shipping,4.3
133416,TRUE,shipping,4.3
133417,TRUE,shipping,4.3
133418,TRUE,shipping,4.3
133419,TRUE,shipping,4.3
133420,TRUE,shipping,4.3
133421,TRUE,shipping,4.3
133422,TRUE,shipping,4.3
133423,TRUE,shipping,4.3
133424,TRUE,shipping,4.3
133425,TRUE,shipping,4.3
133426,TRUE,shipping,4.3
133427,TRUE,shipping,4.3
133428,TRUE,shipping,4.3
133429,TRUE,shipping,4.3
133430,TRUE,shipping,4.3
133431,TRUE,shipping,4.3
133432,TRUE,shipping,4.3
133433,TRUE,shipping,4.3
133434,TRUE,shipping,4.3
133435,TRUE,shipping,4.3
133436,TRUE,shipping,4.3
133437,TRUE,shipping,4.3
133438,TRUE,shipping,4.3
133439,TRUE,shipping,4.3
133440,TRUE,shipping,4.3
133441,TRUE,shipping,4.3
133442,TRUE,shipping,4.3
133443,TRUE,shipping,4.3
133444,TRUE,shipping,4.3
133445,TRUE,shipping,4.3
133446,TRUE,shipping,4.3
133447,TRUE,shipping,4.3
133448,TRUE,shipping,4.3
133449,TRUE,shipping,4.3
133450,TRUE,shipping,4.3
133451,TRUE,shipping,4.3
133452,TRUE,shipping,4.3
133453,TRUE,shipping,4.3
133454,TRUE,shipping,4.3
133455,TRUE,shipping,4.3
133456,TRUE,shipping,4.3
133457,TRUE,shipping,4.3
133458,TRUE,shipping,4.3
133459,TRUE,shipping,4.3
133460,TRUE,shipping,4.3
133461,TRUE,shipping,4.3
133462,TRUE,shipping,4.3
133463,TRUE,shipping,4.3
133464,TRUE,shipping,4.3
133465,TRUE,shipping,4.3
133466,TRUE,shipping,4.3
133467,TRUE,shipping,4.3
133468,TRUE,shipping,4.3
133469,TRUE,shipping,4.3
133470,TRUE,shipping,4.3
133471,TRUE,shipping,4.3
133472,TRUE,shipping,4.3
133473,TRUE,shipping,4.3
133474,TRUE,shipping,4.3
133475,TRUE,shipping,4.3
133476,TRUE,shipping,4.3
133477,TRUE,shipping,4.3
133478,TRUE,shipping,4.3
133479,TRUE,shipping,4.3
133480,TRUE,shipping,4.3
133481,TRUE,shipping,4.3
133482,TRUE,shipping,4.3
133483,TRUE,shipping,4.3
133484,TRUE,shipping,4.3
133485,TRUE,shipping,4.3
133486,TRUE,shipping,4.3
133487,TRUE,shipping,4.3
133488,TRUE,shipping,4.3
133489,TRUE,shipping,4.3
133490,TRUE,shipping,4.3
133491,TRUE,shipping,4.3
133492,TRUE,shipping,4.3
133493,TRUE,shipping,4.3
133494,TRUE,shipping,4.3
133495,TRUE,shipping,4.3
133496,TRUE,shipping,4.3
133497,TRUE,shipping,4.3
133498,TRUE,shipping,4.3
