iucn_sid,stressor,count
133067,slr,0
133067,sst,6
133068,oa,4
133068,slr,0
133068,sst,6
133069,oa,4
133069,slr,0
133069,sst,6
133070,oa,4
133070,slr,0
133070,sst,6
133072,oa,4
133072,slr,0
133072,sst,6
133073,oa,4
133073,slr,0
133073,sst,6
133074,oa,4
133074,slr,0
133074,sst,6
133075,oa,4
133075,slr,0
133075,sst,6
133076,oa,4
133076,slr,0
133076,sst,6
133077,oa,4
133077,slr,0
133077,sst,6
133078,oa,4
133078,slr,0
133078,sst,6
133079,oa,4
133079,slr,0
133079,sst,6
133080,oa,4
133080,slr,0
133080,sst,6
133081,oa,4
133081,slr,0
133081,sst,6
133082,oa,4
133082,slr,0
133082,sst,6
133083,oa,4
133083,slr,0
133083,sst,6
133084,oa,4
133084,slr,0
133084,sst,6
133085,oa,4
133085,slr,0
133085,sst,6
133086,oa,4
133086,slr,0
133086,sst,6
133087,oa,4
133087,slr,0
133087,sst,6
133088,oa,4
133088,slr,0
133088,sst,6
133089,oa,4
133089,slr,0
133089,sst,6
133090,oa,4
133090,slr,0
133090,sst,6
133091,oa,4
133091,slr,0
133091,sst,6
133092,oa,4
133092,slr,0
133092,sst,6
133093,oa,2
133093,slr,0
133093,sst,2
133094,oa,4
133094,slr,0
133094,sst,6
133095,oa,4
133095,slr,0
133095,sst,6
133096,oa,4
133096,slr,0
133096,sst,6
133097,oa,4
133097,slr,0
133097,sst,6
133098,oa,4
133098,slr,0
133098,sst,6
133099,oa,4
133099,slr,0
133099,sst,6
133100,oa,4
133100,slr,0
133100,sst,6
133101,oa,4
133101,slr,0
133101,sst,6
133102,oa,4
133102,slr,0
133102,sst,2
133103,oa,4
133103,slr,0
133103,sst,6
133104,oa,4
133104,slr,0
133104,sst,6
133105,oa,4
133105,slr,0
133105,sst,6
133106,oa,4
133106,slr,0
133106,sst,6
133107,oa,4
133107,slr,0
133107,sst,6
133108,oa,4
133108,slr,0
133108,sst,6
133109,oa,4
133109,slr,0
133109,sst,6
133110,oa,4
133110,slr,0
133110,sst,6
133111,oa,4
133111,slr,0
133111,sst,6
133112,oa,4
133112,slr,0
133112,sst,6
133113,oa,4
133113,slr,0
133113,sst,6
133114,oa,4
133114,slr,0
133114,sst,6
133115,oa,4
133115,slr,0
133115,sst,6
133116,oa,4
133116,slr,0
133116,sst,6
133117,oa,4
133117,slr,0
133117,sst,6
133118,oa,4
133118,slr,0
133118,sst,6
133119,oa,4
133119,slr,0
133119,sst,6
133120,oa,4
133120,slr,0
133120,sst,6
133121,oa,4
133121,slr,0
133121,sst,6
133122,oa,4
133122,slr,0
133122,sst,6
133123,oa,4
133123,slr,0
133123,sst,6
133124,oa,4
133124,slr,0
133124,sst,2
133125,oa,4
133125,slr,0
133125,sst,6
133126,oa,4
133126,slr,0
133126,sst,6
133127,oa,4
133127,slr,0
133127,sst,6
133128,oa,4
133128,slr,0
133128,sst,6
133129,oa,4
133129,slr,0
133129,sst,6
133130,oa,4
133130,slr,0
133130,sst,6
133131,oa,4
133131,slr,0
133131,sst,6
133132,oa,4
133132,slr,0
133132,sst,6
133133,oa,4
133133,slr,0
133133,sst,6
133134,oa,4
133134,slr,0
133134,sst,2
133135,oa,4
133135,slr,0
133135,sst,2
133137,oa,4
133137,slr,0
133137,sst,6
133138,oa,4
133138,slr,0
133138,sst,6
133139,oa,4
133139,slr,0
133139,sst,6
133140,oa,4
133140,slr,0
133140,sst,6
133141,oa,4
133141,slr,0
133141,sst,6
133143,oa,4
133143,slr,0
133143,sst,2
133144,oa,2
133144,slr,0
133144,sst,6
133145,oa,4
133145,slr,0
133145,sst,6
133146,oa,4
133146,slr,0
133146,sst,6
133147,oa,4
133147,slr,0
133147,sst,6
133148,oa,4
133148,slr,0
133148,sst,6
133149,oa,2
133149,slr,0
133149,sst,2
133150,oa,4
133150,slr,0
133150,sst,6
133151,oa,4
133151,slr,0
133151,sst,6
133152,oa,4
133152,slr,0
133152,sst,6
133153,oa,4
133153,slr,0
133153,sst,6
133154,oa,4
133154,slr,0
133154,sst,6
133155,oa,4
133155,slr,0
133155,sst,2
133156,oa,2
133156,slr,0
133156,sst,2
133157,oa,4
133157,slr,0
133157,sst,6
133158,oa,4
133158,slr,0
133158,sst,6
133159,oa,4
133159,slr,0
133159,sst,6
133160,oa,4
133160,slr,0
133160,sst,6
133161,oa,4
133161,slr,0
133161,sst,6
133162,oa,4
133162,slr,0
133162,sst,6
133163,oa,4
133163,slr,0
133163,sst,6
133164,oa,4
133164,slr,0
133164,sst,6
133165,oa,4
133165,slr,0
133165,sst,6
133166,oa,4
