iucn_sid,assess_gp,kingdom,phylum,class,order,family,rank
41793,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Chondrichthyes
41799,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
41800,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
42710,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
16727327,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Centrophoridae,Chondrichthyes
42838,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Centrophoridae,Chondrichthyes
44170,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
44186,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rhinopristiformes,Trygonorrhinidae,Chondrichthyes
44209,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
44210,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
44514,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Chondrichthyes
44565,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Lamniformes,Mitsukurinidae,Chondrichthyes
44566,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pseudotriakidae,Chondrichthyes
44567,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Chondrichthyes
44592,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
44595,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Rhinopteridae,Chondrichthyes
44597,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
44599,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Pentanchidae,Chondrichthyes
44606,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Chondrichthyes
44611,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Proscylliidae,Chondrichthyes
44619,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Chondrichthyes
44642,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Rajiformes,Arhynchobatidae,Chondrichthyes
45925,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Chondrichthyes
60084,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,Chondrichthyes
60087,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,Chondrichthyes
60088,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,Chondrichthyes
60090,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,Chondrichthyes
60091,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,Chondrichthyes
60093,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,Chondrichthyes
60096,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,Chondrichthyes
60097,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,Chondrichthyes
60098,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,Chondrichthyes
60101,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,Chondrichthyes
60105,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urolophidae,Chondrichthyes
60109,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urotrygonidae,Chondrichthyes
60110,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Urotrygonidae,Chondrichthyes
60111,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Plesiobatidae,Chondrichthyes
60112,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Torpediniformes,Platyrhinidae,Chondrichthyes
60120,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Chondrichthyes
60124,sharks_and_rays,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Chondrichthyes
