iucn_sid,cat_score,sens,code,stressor,score_num
65371194,0,FALSE,11.3,oa,NA
65372036,0,FALSE,11.1,sst,NA
65372036,0,FALSE,11.1,slr,NA
65372036,0,FALSE,11.1,oa,NA
65372036,0,FALSE,11.3,sst,NA
65372036,0,FALSE,11.3,oa,NA
65372127,0,FALSE,11.1,sst,NA
65372127,0,FALSE,11.1,slr,NA
65372127,0,FALSE,11.1,oa,NA
65372127,0,FALSE,11.3,sst,NA
65372127,0,FALSE,11.3,oa,NA
65372290,NA,FALSE,11.1,sst,NA
65372290,NA,FALSE,11.1,slr,NA
65372290,NA,FALSE,11.1,oa,NA
65372290,NA,FALSE,11.3,sst,NA
65372290,NA,FALSE,11.3,oa,NA
65372675,0,FALSE,11.1,sst,NA
65372675,0,FALSE,11.1,slr,NA
65372675,0,FALSE,11.1,oa,NA
65372675,0,FALSE,11.3,sst,NA
65372675,0,FALSE,11.3,oa,NA
65372732,0,FALSE,11.1,sst,NA
65372732,0,FALSE,11.1,slr,NA
65372732,0,FALSE,11.1,oa,NA
65372732,0,FALSE,11.3,sst,NA
65372732,0,FALSE,11.3,oa,NA
65372876,0,FALSE,11.1,sst,NA
65372876,0,FALSE,11.1,slr,NA
65372876,0,FALSE,11.1,oa,NA
65372876,0,FALSE,11.3,sst,NA
65372876,0,FALSE,11.3,oa,NA
65374054,NA,FALSE,11.1,sst,NA
65374054,NA,FALSE,11.1,slr,NA
65374054,NA,FALSE,11.1,oa,NA
65374054,NA,FALSE,11.3,sst,NA
65374054,NA,FALSE,11.3,oa,NA
65374110,NA,FALSE,11.1,sst,NA
65374110,NA,FALSE,11.1,slr,NA
65374110,NA,FALSE,11.1,oa,NA
65374110,NA,FALSE,11.3,sst,NA
65374110,NA,FALSE,11.3,oa,NA
65374417,NA,FALSE,11.1,sst,NA
65374417,NA,FALSE,11.1,slr,NA
65374417,NA,FALSE,11.1,oa,NA
65374417,NA,FALSE,11.3,sst,NA
65374417,NA,FALSE,11.3,oa,NA
67871116,0,FALSE,11.3,sst,NA
67871116,0,FALSE,11.3,oa,NA
67968365,NA,FALSE,11.1,sst,NA
67968365,NA,FALSE,11.1,slr,NA
67968365,NA,FALSE,11.1,oa,NA
67968365,NA,FALSE,11.3,sst,NA
67968365,NA,FALSE,11.3,oa,NA
68328081,0,FALSE,11.1,sst,NA
68328081,0,FALSE,11.1,slr,NA
68328081,0,FALSE,11.1,oa,NA
68398868,0,TRUE,11.1,sst,3
68398868,0,TRUE,11.1,slr,3
68398868,0,TRUE,11.1,oa,3
69115853,0,TRUE,11.1,sst,NA
69115853,0,TRUE,11.1,slr,NA
69115853,0,TRUE,11.1,oa,NA
69583348,0,TRUE,11.1,sst,7
69583348,0,TRUE,11.1,slr,7
69583348,0,TRUE,11.1,oa,7
69583371,NA,TRUE,11.1,sst,7
69583371,NA,TRUE,11.1,slr,7
69583371,NA,TRUE,11.1,oa,7
69583382,0,TRUE,11.1,sst,7
69583382,0,TRUE,11.1,slr,7
69583382,0,TRUE,11.1,oa,7
69583393,0,TRUE,11.1,sst,7
69583393,0,TRUE,11.1,slr,7
69583393,0,TRUE,11.1,oa,7
69583400,0,TRUE,11.1,sst,7
69583400,0,TRUE,11.1,slr,7
69583400,0,TRUE,11.1,oa,7
69583407,0,TRUE,11.1,sst,7
69583407,0,TRUE,11.1,slr,7
69583407,0,TRUE,11.1,oa,7
69583414,0,TRUE,11.1,sst,7
69583414,0,TRUE,11.1,slr,7
69583414,0,TRUE,11.1,oa,7
69583417,0,TRUE,11.1,sst,7
69583417,0,TRUE,11.1,slr,7
69583417,0,TRUE,11.1,oa,7
69583420,0,TRUE,11.1,sst,7
69583420,0,TRUE,11.1,slr,7
69583420,0,TRUE,11.1,oa,7
69583426,0,TRUE,11.1,sst,7
69583426,0,TRUE,11.1,slr,7
69583426,0,TRUE,11.1,oa,7
69583433,0,TRUE,11.1,sst,7
69583433,0,TRUE,11.1,slr,7
69583433,0,TRUE,11.1,oa,7
69583436,NA,TRUE,11.1,sst,7
69583436,NA,TRUE,11.1,slr,7
69583436,NA,TRUE,11.1,oa,7
69583442,0,TRUE,11.1,sst,7
69583442,0,TRUE,11.1,slr,7
69583442,0,TRUE,11.1,oa,7
69583454,0,TRUE,11.1,sst,7
69583454,0,TRUE,11.1,slr,7
69583454,0,TRUE,11.1,oa,7
69583457,0,TRUE,11.1,sst,7
69583457,0,TRUE,11.1,slr,7
69583457,0,TRUE,11.1,oa,7
69583460,0,TRUE,11.1,sst,7
69583460,0,TRUE,11.1,slr,7
69583460,0,TRUE,11.1,oa,7
69583463,0,TRUE,11.1,sst,7
69583463,0,TRUE,11.1,slr,7
69583463,0,TRUE,11.1,oa,7
69583466,0,TRUE,11.1,sst,7
69583466,0,TRUE,11.1,slr,7
69583466,0,TRUE,11.1,oa,7
69689424,0,TRUE,11.1,sst,7
69689424,0,TRUE,11.1,slr,7
69689424,0,TRUE,11.1,oa,7
69690275,0.4,FALSE,11.1,sst,NA
69690275,0.4,FALSE,11.1,slr,NA
69690275,0.4,FALSE,11.1,oa,NA
69738927,0.2,FALSE,11.1,sst,NA
