rgn_id,rgn_label,m49_code,iso3c,georgn,geosubrgn
77,Syria,NA,NA,Asia,Western Asia
85,Ascension,NA,NA,Europe,Northern Europe
88,Tristan da Cunha,NA,NA,Europe,Northern Europe
90,Prince Edward Islands,NA,NA,Southern Islands,Southern Islands
91,Crozet Islands,NA,NA,Southern Islands,Southern Islands
92,Amsterdam Island and Saint Paul Island,NA,NA,Southern Islands,Southern Islands
93,Kerguelen Islands,NA,NA,Southern Islands,Southern Islands
94,Heard and McDonald Islands,NA,NA,Southern Islands,Southern Islands
100,Republique du Congo,NA,NA,Africa,Middle Africa
107,Clipperton Island,NA,NA,Latin America and the Caribbean,Central America
116,Puerto Rico and Virgin Islands of the United States,NA,NA,Latin America and the Caribbean,Caribbean
140,Guadeloupe and Martinique,NA,NA,Latin America and the Caribbean,Caribbean
141,Faeroe Islands,NA,NA,Europe,Northern Europe
144,Jan Mayen,NA,NA,Europe,Northern Europe
148,Line Group,NA,NA,Oceania,Micronesia
149,Jarvis Island,NA,NA,Oceania,Micronesia
150,Palmyra Atoll,NA,NA,Oceania,Micronesia
157,Phoenix Group,NA,NA,Oceania,Micronesia
158,Howland Island and Baker Island,NA,NA,Oceania,Micronesia
159,Johnston Atoll,NA,NA,Oceania,Micronesia
161,Wallis and Futuna,NA,NA,Oceania,Polynesia
180,United Kingdom,NA,NA,Europe,Northern Europe
195,Ivory Coast,NA,NA,Africa,Western Africa
221,Northern Saint-Martin,NA,NA,Latin America and the Caribbean,Caribbean
231,East Timor,NA,NA,Asia,South-Eastern Asia
237,Oecussi Ambeno,NA,NA,Asia,South-Eastern Asia
245,Bonaire,NA,NA,Latin America and the Caribbean,Caribbean
247,Brunei,NA,NA,Asia,South-Eastern Asia
248,Saba,NA,NA,Latin America and the Caribbean,Caribbean
249,Sint Eustatius,NA,NA,Latin America and the Caribbean,Caribbean
255,disputed,NA,NA,disputed,disputed
260,Arctic Sea,NA,NA,Arctic Sea,Arctic Sea
261,Atlantic Northwest,NA,NA,Atlantic Ocean,Atlantic Northwest
262,Atlantic Northeast,NA,NA,Atlantic Ocean,Atlantic Northeast
263,Atlantic Western Central,NA,NA,Atlantic Ocean,Atlantic Western Central
264,Atlantic Eastern Central,NA,NA,Atlantic Ocean,Atlantic Eastern Central
266,Atlantic Southwest,NA,NA,Atlantic Ocean,Atlantic Southwest
267,Atlantic Southeast,NA,NA,Atlantic Ocean,Atlantic Southeast
269,Indian Ocean Western,NA,NA,Indian Ocean,Indian Ocean Western
270,Indian Ocean Eastern,NA,NA,Indian Ocean,Indian Ocean Eastern
272,Pacific Northwest,NA,NA,Pacific Ocean,Pacific Northwest
273,Pacific Northeast,NA,NA,Pacific Ocean,Pacific Northeast
274,Pacific Western Central,NA,NA,Pacific Ocean,Pacific Western Central
275,Pacific Eastern Central,NA,NA,Pacific Ocean,Pacific Eastern Central
276,Pacific Southwest,NA,NA,Pacific Ocean,Pacific Southwest
277,Pacific Southeast,NA,NA,Pacific Ocean,Pacific Southeast
