stressor,iucn_sid,taxon,var_priority,priority
cum_climate,132909,reef_building_corals,4.838823860743265e-6,0.06231334083325576
cum_climate,132910,reef_building_corals,3.628827206005606e-6,0.05479436399836003
cum_climate,132913,reef_building_corals,1.442430135299012e-6,0.07304015692656914
cum_climate,132918,reef_building_corals,3.0834635027359426e-7,0.07582146933500966
cum_climate,132920,reef_building_corals,5.440450035497098e-6,0.06404625214820259
cum_climate,132921,reef_building_corals,2.8637537539602613e-7,0.07521200732755355
cum_climate,132924,reef_building_corals,7.473295751481382e-8,0.07047486838021014
cum_climate,132927,reef_building_corals,4.9083577095341755e-6,0.06222660159907923
cum_climate,132928,reef_building_corals,4.445990312322602e-6,0.05432228485668266
cum_climate,132929,reef_building_corals,3.6095829698680724e-7,0.06690497355961504
cum_climate,132930,reef_building_corals,5.323213759125175e-7,0.06809144732475415
cum_climate,132931,reef_building_corals,5.611758995346555e-6,0.05356497449498176
cum_climate,132932,reef_building_corals,5.278506523359173e-7,0.06665853179610873
cum_climate,132933,reef_building_corals,4.632704758039573e-7,0.06567619272770851
cum_climate,132935,reef_building_corals,4.99441373188186e-7,0.06722537119823854
cum_climate,132940,reef_building_corals,4.727626308678309e-6,0.054079047207361904
cum_climate,132942,reef_building_corals,0,0.09937311558884022
cum_climate,132943,reef_building_corals,0,0.08983459783729424
cum_climate,132944,reef_building_corals,5.47748275690726e-6,0.05359740853788146
cum_climate,132948,reef_building_corals,6.2099412842353344e-6,0.05314918030377635
cum_climate,132956,reef_building_corals,5.460986838074127e-7,0.06388293307857502
cum_climate,132957,reef_building_corals,6.815471987215113e-6,0.052920622046096315
cum_climate,132959,reef_building_corals,2.3911763848576674e-6,0.09218451301853442
cum_climate,132964,reef_building_corals,0,0.08445829079787912
cum_climate,132967,reef_building_corals,2.308039353178179e-7,0.06591208141031961
cum_climate,132968,reef_building_corals,2.8620040943197685e-10,0.08176101581192496
cum_climate,132969,reef_building_corals,4.784645614344457e-6,0.05404114540870195
cum_climate,132970,reef_building_corals,2.7210908772708812e-8,0.07248510649292508
cum_climate,132972,reef_building_corals,5.297674382218227e-7,0.06402853098004503
cum_climate,132973,reef_building_corals,1.0519504785669744e-6,0.06494020786212193
cum_climate,132974,reef_building_corals,5.31877514562519e-7,0.06728674770604523
cum_climate,132976,reef_building_corals,3.3894552392426045e-7,0.0634997452457977
cum_climate,132977,reef_building_corals,4.023602169394602e-7,0.07140722764927766
cum_climate,132978,reef_building_corals,4.060307731654606e-6,0.054527416127497653
cum_climate,132979,reef_building_corals,3.5044546144751647e-6,0.05481151118008107
cum_climate,132980,reef_building_corals,3.3691143376273574e-6,0.05492344029912327
cum_climate,132981,reef_building_corals,2.2711466464622357e-7,0.07021075723433459
cum_climate,132983,reef_building_corals,4.113517265846758e-6,0.060560580639538376
cum_climate,132984,reef_building_corals,5.4150639660614e-7,0.06735953147077943
cum_climate,132985,reef_building_corals,3.5318885278752853e-6,0.06161686935488385
cum_climate,132990,reef_building_corals,8.359167526987019e-7,0.06470838931271532
cum_climate,132991,reef_building_corals,8.106317876039363e-7,0.06430410571640176
