iucn_sid,stressor,code,sens
4160,dem_nondest_lb,5.4.2,FALSE
4160,dem_nondest_lb,5.4.4,FALSE
4160,pel_hb,5.4.2,FALSE
4160,pel_hb,5.4.4,TRUE
4160,pel_lb,5.4.2,FALSE
4160,pel_lb,5.4.4,FALSE
4161,art_fish,5.4.3,TRUE
4161,dem_dest,5.4.4,TRUE
4161,dem_nondest_hb,NA,FALSE
4161,dem_nondest_lb,NA,FALSE
4161,pel_hb,5.4.4,TRUE
4161,pel_lb,5.4.4,TRUE
4162,art_fish,NA,FALSE
4162,dem_dest,5.4.4,TRUE
4162,dem_nondest_hb,NA,FALSE
4162,dem_nondest_lb,NA,FALSE
4162,pel_hb,5.4.4,TRUE
4162,pel_lb,5.4.4,FALSE
4292,art_fish,5.4.1,FALSE
4292,art_fish,5.4.3,FALSE
4292,dem_dest,5.4.2,FALSE
4292,dem_dest,5.4.4,FALSE
4292,dem_nondest_hb,NA,FALSE
4292,dem_nondest_lb,NA,FALSE
4292,pel_hb,5.4.2,FALSE
4292,pel_hb,5.4.4,FALSE
4292,pel_lb,5.4.2,FALSE
4292,pel_lb,5.4.4,FALSE
4361,art_fish,5.4.1,TRUE
4361,dem_dest,NA,FALSE
4361,dem_nondest_hb,NA,FALSE
4361,dem_nondest_lb,NA,FALSE
4361,pel_hb,NA,FALSE
4361,pel_lb,NA,FALSE
4362,art_fish,5.4.1,TRUE
4362,dem_dest,NA,FALSE
4362,dem_nondest_hb,NA,FALSE
4362,dem_nondest_lb,NA,FALSE
4362,pel_hb,NA,FALSE
4362,pel_lb,NA,FALSE
4592,art_fish,5.4.1,TRUE
4592,dem_dest,5.4.2,FALSE
4592,dem_nondest_hb,5.4.2,TRUE
4592,dem_nondest_lb,5.4.2,TRUE
4592,pel_hb,5.4.2,TRUE
4592,pel_lb,5.4.2,TRUE
4615,art_fish,5.4.1,TRUE
4615,dem_dest,5.4.4,TRUE
4615,dem_nondest_hb,5.4.4,TRUE
4615,dem_nondest_lb,5.4.4,FALSE
4615,pel_hb,5.4.4,TRUE
4615,pel_lb,5.4.4,FALSE
5272,art_fish,5.4.1,FALSE
5272,dem_dest,NA,FALSE
5272,dem_nondest_hb,NA,FALSE
5272,dem_nondest_lb,NA,FALSE
5272,pel_hb,NA,FALSE
5272,pel_lb,NA,FALSE
6069,art_fish,5.4.1,TRUE
6069,dem_dest,NA,FALSE
6069,dem_nondest_hb,NA,FALSE
6069,dem_nondest_lb,NA,FALSE
6069,pel_hb,NA,FALSE
6069,pel_lb,NA,FALSE
6204,art_fish,5.4.1,TRUE
6204,dem_dest,5.4.2,FALSE
6204,dem_dest,5.4.4,TRUE
6204,dem_nondest_hb,5.4.2,FALSE
6204,dem_nondest_hb,5.4.4,FALSE
6204,dem_nondest_lb,5.4.2,FALSE
6204,dem_nondest_lb,5.4.4,FALSE
6204,pel_hb,5.4.2,FALSE
6204,pel_hb,5.4.4,FALSE
6204,pel_lb,5.4.2,FALSE
6204,pel_lb,5.4.4,FALSE
6229,art_fish,5.4.3,TRUE
6229,dem_dest,5.4.2,TRUE
6229,dem_dest,5.4.4,TRUE
6229,dem_nondest_hb,5.4.2,TRUE
6229,dem_nondest_hb,5.4.4,TRUE
6229,dem_nondest_lb,5.4.2,FALSE
6229,dem_nondest_lb,5.4.4,FALSE
6229,pel_hb,5.4.2,TRUE
6229,pel_hb,5.4.4,TRUE
6229,pel_lb,5.4.2,FALSE
6229,pel_lb,5.4.4,FALSE
6335,art_fish,5.4.1,TRUE
6335,dem_dest,NA,FALSE
6335,dem_nondest_hb,NA,FALSE
6335,dem_nondest_lb,NA,FALSE
6335,pel_hb,NA,FALSE
6335,pel_lb,NA,FALSE
6336,art_fish,NA,FALSE
6336,dem_dest,5.4.2,FALSE
6336,dem_dest,5.4.4,TRUE
6336,dem_nondest_hb,NA,FALSE
6336,dem_nondest_lb,NA,FALSE
6336,pel_hb,5.4.2,FALSE
6336,pel_hb,5.4.4,TRUE
6336,pel_lb,5.4.2,FALSE
6336,pel_lb,5.4.4,TRUE
6337,art_fish,NA,FALSE
6337,dem_dest,5.4.2,TRUE
6337,dem_dest,5.4.4,TRUE
6337,dem_nondest_hb,NA,FALSE
6337,dem_nondest_lb,NA,FALSE
6337,pel_hb,5.4.2,TRUE
6337,pel_hb,5.4.4,TRUE
6337,pel_lb,5.4.2,TRUE
6337,pel_lb,5.4.4,TRUE
6494,art_fish,5.4.3,TRUE
6494,dem_dest,5.4.2,FALSE
6494,dem_dest,5.4.4,FALSE
6494,dem_nondest_hb,5.4.2,TRUE
6494,dem_nondest_hb,5.4.4,TRUE
6494,dem_nondest_lb,5.4.2,FALSE
6494,dem_nondest_lb,5.4.4,FALSE
6494,pel_hb,5.4.2,TRUE
6494,pel_hb,5.4.4,TRUE
6494,pel_lb,5.4.2,FALSE
6494,pel_lb,5.4.4,FALSE
6814,art_fish,5.4.1,FALSE
6814,art_fish,5.4.3,FALSE
6814,dem_dest,5.4.4,FALSE
6814,dem_nondest_hb,5.4.4,FALSE
6814,dem_nondest_lb,5.4.4,FALSE
6814,pel_hb,NA,FALSE
6814,pel_lb,NA,FALSE
6909,art_fish,5.4.1,TRUE
6909,art_fish,5.4.3,TRUE
6909,dem_dest,NA,FALSE
6909,dem_nondest_hb,NA,FALSE
6909,dem_nondest_lb,NA,FALSE
6909,pel_hb,NA,FALSE
6909,pel_lb,NA,FALSE
7750,art_fish,NA,FALSE
7750,dem_dest,5.4.4,FALSE
7750,dem_nondest_hb,5.4.4,TRUE
7750,dem_nondest_lb,5.4.4,FALSE
7750,pel_hb,5.4.4,FALSE
7750,pel_lb,5.4.4,FALSE
7854,art_fish,5.4.1,FALSE
7854,dem_dest,5.4.2,FALSE
7854,dem_dest,5.4.4,FALSE
7854,dem_nondest_hb,5.4.2,FALSE
7854,dem_nondest_hb,5.4.4,FALSE
7854,dem_nondest_lb,5.4.2,FALSE
7854,dem_nondest_lb,5.4.4,FALSE
7854,pel_hb,NA,FALSE
7854,pel_lb,NA,FALSE
7858,art_fish,5.4.1,FALSE
7858,dem_dest,5.4.2,FALSE
7858,dem_nondest_hb,5.4.2,FALSE
7858,dem_nondest_lb,5.4.2,FALSE
7858,pel_hb,NA,FALSE
7858,pel_lb,NA,FALSE
7859,art_fish,5.4.1,TRUE
7859,dem_dest,5.4.2,FALSE
7859,dem_nondest_hb,5.4.2,TRUE
7859,dem_nondest_lb,5.4.2,TRUE
7859,pel_hb,NA,FALSE
7859,pel_lb,NA,FALSE
7860,art_fish,5.4.1,TRUE
7860,dem_dest,5.4.2,FALSE
7860,dem_dest,5.4.4,FALSE
7860,dem_nondest_hb,5.4.2,TRUE
7860,dem_nondest_hb,5.4.4,TRUE
7860,dem_nondest_lb,5.4.2,TRUE
7860,dem_nondest_lb,5.4.4,TRUE
7860,pel_hb,NA,FALSE
7860,pel_lb,NA,FALSE
7861,art_fish,5.4.1,TRUE
7861,dem_dest,5.4.2,TRUE
7861,dem_nondest_hb,5.4.2,TRUE
7861,dem_nondest_lb,5.4.2,TRUE
7861,pel_hb,NA,FALSE
7861,pel_lb,NA,FALSE
7862,art_fish,5.4.1,FALSE
7862,dem_dest,5.4.2,FALSE
7862,dem_nondest_hb,5.4.2,TRUE
7862,dem_nondest_lb,5.4.2,FALSE
7862,pel_hb,NA,FALSE
7862,pel_lb,NA,FALSE
8005,art_fish,5.4.1,FALSE
8005,dem_dest,5.4.2,FALSE
8005,dem_dest,5.4.4,FALSE
8005,dem_nondest_hb,5.4.2,TRUE
8005,dem_nondest_hb,5.4.4,FALSE
8005,dem_nondest_lb,5.4.2,FALSE
8005,dem_nondest_lb,5.4.4,FALSE
8005,pel_hb,5.4.2,TRUE
8005,pel_hb,5.4.4,FALSE
8005,pel_lb,5.4.2,FALSE
8005,pel_lb,5.4.4,FALSE
8010,art_fish,5.4.1,TRUE
8010,dem_dest,NA,FALSE
8010,dem_nondest_hb,NA,FALSE
8010,dem_nondest_lb,NA,FALSE
8010,pel_hb,NA,FALSE
8010,pel_lb,NA,FALSE
8012,art_fish,5.4.1,TRUE
8012,dem_dest,NA,FALSE
8012,dem_nondest_hb,NA,FALSE
8012,dem_nondest_lb,NA,FALSE
8012,pel_hb,NA,FALSE
8012,pel_lb,NA,FALSE
8013,art_fish,5.4.1,TRUE
8013,dem_dest,NA,FALSE
8013,dem_nondest_hb,NA,FALSE
8013,dem_nondest_lb,NA,FALSE
8013,pel_hb,NA,FALSE
8013,pel_lb,NA,FALSE
8097,art_fish,NA,FALSE
8097,dem_dest,5.4.2,FALSE
8097,dem_dest,5.4.4,FALSE
8097,dem_nondest_hb,NA,FALSE
8097,dem_nondest_lb,NA,FALSE
8097,pel_hb,5.4.2,FALSE
8097,pel_hb,5.4.4,TRUE
8097,pel_lb,5.4.2,FALSE
8097,pel_lb,5.4.4,FALSE
8099,art_fish,5.4.1,FALSE
8099,art_fish,5.4.3,TRUE
8099,dem_dest,5.4.2,FALSE
8099,dem_dest,5.4.4,FALSE
8099,dem_nondest_hb,NA,FALSE
8099,dem_nondest_lb,NA,FALSE
8099,pel_hb,5.4.2,FALSE
8099,pel_hb,5.4.4,TRUE
8099,pel_lb,5.4.2,FALSE
8099,pel_lb,5.4.4,FALSE
8153,art_fish,NA,FALSE
8153,dem_dest,5.4.2,FALSE
8153,dem_dest,5.4.4,FALSE
8153,dem_nondest_hb,NA,FALSE
8153,dem_nondest_lb,NA,FALSE
8153,pel_hb,5.4.2,FALSE
8153,pel_hb,5.4.4,TRUE
8153,pel_lb,5.4.2,FALSE
8153,pel_lb,5.4.4,FALSE
8239,art_fish,5.4.1,TRUE
8239,dem_dest,NA,FALSE
8239,dem_nondest_hb,NA,FALSE
8239,dem_nondest_lb,NA,FALSE
8239,pel_hb,NA,FALSE
8239,pel_lb,NA,FALSE
8407,art_fish,5.4.1,FALSE
8407,art_fish,5.4.3,FALSE
8407,dem_dest,5.4.4,FALSE
8407,dem_nondest_hb,5.4.4,FALSE
8407,dem_nondest_lb,5.4.4,FALSE
8407,pel_hb,NA,FALSE
8407,pel_lb,NA,FALSE
8408,art_fish,NA,FALSE
8408,dem_dest,5.4.4,FALSE
8408,dem_nondest_hb,5.4.4,FALSE
8408,dem_nondest_lb,5.4.4,FALSE
8408,pel_hb,NA,FALSE
8408,pel_lb,NA,FALSE
8551,art_fish,5.4.1,TRUE
8551,art_fish,5.4.3,TRUE
8551,dem_dest,NA,FALSE
8551,dem_nondest_hb,NA,FALSE
8551,dem_nondest_lb,NA,FALSE
8551,pel_hb,NA,FALSE
8551,pel_lb,NA,FALSE
9249,art_fish,5.4.1,TRUE
9249,art_fish,5.4.3,TRUE
9249,dem_dest,5.4.2,FALSE
9249,dem_nondest_hb,NA,FALSE
9249,dem_nondest_lb,NA,FALSE
9249,pel_hb,5.4.2,FALSE
9249,pel_lb,5.4.2,FALSE
9250,art_fish,5.4.1,TRUE
9250,art_fish,5.4.3,TRUE
9250,dem_dest,NA,FALSE
9250,dem_nondest_hb,NA,FALSE
9250,dem_nondest_lb,NA,FALSE
9250,pel_hb,NA,FALSE
9250,pel_lb,NA,FALSE
9281,art_fish,5.4.3,TRUE
9281,dem_dest,5.4.4,FALSE
9281,dem_nondest_hb,5.4.4,TRUE
9281,dem_nondest_lb,5.4.4,FALSE
9281,pel_hb,NA,FALSE
9281,pel_lb,NA,FALSE
9461,art_fish,5.4.1,TRUE
9461,art_fish,5.4.3,TRUE
9461,dem_dest,NA,FALSE
9461,dem_nondest_hb,NA,FALSE
9461,dem_nondest_lb,NA,FALSE
9461,pel_hb,NA,FALSE
9461,pel_lb,NA,FALSE
9660,art_fish,5.4.1,TRUE
9660,dem_dest,5.4.2,FALSE
9660,dem_dest,5.4.4,FALSE
9660,dem_nondest_hb,5.4.2,FALSE
9660,dem_nondest_hb,5.4.4,TRUE
9660,dem_nondest_lb,5.4.2,FALSE
9660,dem_nondest_lb,5.4.4,FALSE
9660,pel_hb,5.4.2,FALSE
9660,pel_hb,5.4.4,TRUE
9660,pel_lb,5.4.2,FALSE
9660,pel_lb,5.4.4,FALSE
10030,art_fish,5.4.1,TRUE
10030,dem_dest,5.4.2,FALSE
10030,dem_dest,5.4.4,TRUE
10030,dem_nondest_hb,5.4.2,FALSE
10030,dem_nondest_hb,5.4.4,TRUE
10030,dem_nondest_lb,5.4.2,FALSE
10030,dem_nondest_lb,5.4.4,FALSE
10030,pel_hb,NA,FALSE
10030,pel_lb,NA,FALSE
10056,art_fish,5.4.3,FALSE
10056,dem_dest,NA,FALSE
10056,dem_nondest_hb,NA,FALSE
10056,dem_nondest_lb,NA,FALSE
10056,pel_hb,NA,FALSE
10056,pel_lb,NA,FALSE
10057,art_fish,5.4.1,FALSE
10057,art_fish,5.4.3,FALSE
10057,dem_dest,5.4.4,FALSE
10057,dem_nondest_hb,5.4.4,FALSE
10057,dem_nondest_lb,5.4.4,FALSE
10057,pel_hb,5.4.4,FALSE
10057,pel_lb,5.4.4,FALSE
