eez,impact,adj_r2,term,estimate,std.error,statistic,p.value,sig
12,fishing,0.6107150515877524,year,0.31309303969044794,0.07664249864013999,4.085110027016678,0.0027369919420969138,TRUE
12,land-based,NaN,year,0,0,NaN,NaN,NA
12,ocean,0.9849507644645682,year,0.020145154209486035,7.868447025104891e-4,25.60245261258207,1.0188407379010347e-9,TRUE
13,all,0.4253118806594949,year,0.9696106112357199,0.3345326589633196,2.898403445093935,0.0176411751401859,TRUE
13,climate,0.1812337281901223,year,0.5529123243789134,0.3084375692718625,1.7926231414810767,0.10662785473700108,FALSE
13,fishing,0.7145556952706429,year,0.4303801093549825,0.08435080182916026,5.102264590521049,6.431828892233877e-4,TRUE
13,land-based,-0.039513189019596995,year,1.0284982717008792e-4,1.306312565122795e-4,0.7873293874381428,0.4513243314553882,FALSE
13,ocean,0.2651848286150861,year,0.00723961019146534,0.0033722380090514736,2.146826579865773,0.06034742233042948,FALSE
14,all,0.41594785106447063,year,-0.24824456204328207,0.08710732977280966,-2.849869955728697,0.01909323580704768,TRUE
14,climate,0.6667641173555314,year,0.19727913404502137,0.04304084681462531,4.583532821616925,0.001321146906086852,TRUE
14,fishing,0.800609329093269,year,-1.292228100227625,0.20143711724390376,-6.415044644741275,1.2307892451632503e-4,TRUE
14,land-based,0.2176763843445947,year,0.001024467087971697,5.267594436017341e-4,1.9448480713831562,0.08365586724433179,FALSE
14,ocean,0.5098039215686501,year,-1.07118347819504e-15,6.184480694872844e-16,-1.7320508075691619,0.1173068030141858,FALSE
15,all,0.7103930311861909,year,0.21131694583045288,0.04182276057478643,5.052678085478866,6.87839452053097e-4,TRUE
15,climate,0.7491354732250981,year,0.34518856419303834,0.062136000216325496,5.555371491426385,3.5397450502932094e-4,TRUE
15,fishing,0.24299337047086944,year,-0.057043451571734696,0.027801528324876378,-2.0518099186904446,0.07040727235526716,FALSE
15,land-based,0.9110389180254276,year,0.022050186670333826,0.002168371653229143,10.16900706919713,3.1117898751309558e-6,TRUE
15,ocean,0.780451782057136,year,0.5343732612226773,0.08839189200385641,6.045500883716385,1.9153496911481513e-4,TRUE
16,all,0.8974799142316237,year,0.7479333723963995,0.07948562393612517,9.409668508074372,5.923691825168178e-6,TRUE
