eez,intens_mean,intens_var,a_km2,impact
60,0,0,420.90687413977173,fishing
61,-17.92667675733195,541.2733002292908,99719.1253557578,fishing
62,1.9486304295807721,117.35583983124764,274777.96100855886,fishing
63,-2.901067941327734,131.83411896321613,252913.50822788282,fishing
64,4.730514079021722,196.24358475013753,156380.00167969576,fishing
65,-1.791659621759967,76.26150929747278,20668.09925731595,fishing
66,-3.9680103818590844,190.67953076257862,160129.7404779088,fishing
67,4.243019457896622,143.6333239838071,357310.63797690766,fishing
68,0.6194178153413693,12.629076311464148,54928.34677923298,fishing
69,-0.17227917561872325,0.9418911152537842,29302.802892077827,fishing
70,0.11934931093987079,0.24596012151395827,36181.399209337986,fishing
71,0,0,35077.6102501091,fishing
72,0,0,29220.717319840445,fishing
73,0.5077509860064134,4.282809977301469,7668814.0500031235,fishing
74,0,0,22800.57765015656,fishing
75,0.05945305555244192,0.1512211240826548,132677.3559912722,fishing
76,-1.620317460446434,46.378830589539334,255982.11142171288,fishing
77,4.013053297422255,98.79325773073194,10436.219964995365,fishing
78,1.3608097688613272,134.79138017977374,19238.587742940446,fishing
79,3.8803354069395892,102.14117798158362,27701.260966673646,fishing
80,-0.8310552678626444,72.04691128517976,493026.0333702453,fishing
81,0.442591343242161,14.368575265156238,98279.13483994301,fishing
82,6.416915656570803,141.64480495664844,11398.542307125199,fishing
84,5.436733971876105,137.8559026833529,127890.19524225696,fishing
85,0.3321115161519272,9.366128381613834,444314.35883383604,fishing
86,0,0,447550.62619722233,fishing
88,0,0,756548.6652133735,fishing
89,0.27297259929166023,3.197808586362759,1446146.0670200028,fishing
90,0,0,473534.20289585623,fishing
91,0,0,575481.8642266805,fishing
92,0,0,509323.512528336,fishing
93,0,0,567116.1218169155,fishing
94,0,0,416219.26175783615,fishing
95,0.3624356411708402,4.6337821102958054,548163.9603456538,fishing
96,10.367619957995897,398.3306510344837,160642.33867203808,fishing
97,3.69807877650744,147.31417235364324,249308.72902884654,fishing
98,-3.8089513534556847,238.88018891002747,15472.257173283844,fishing
99,6.7996837766885685,376.9562557574836,30376.028093295517,fishing
100,8.17297544919233,272.51653843849977,40049.0268926921,fishing
101,0.26777449635456296,7.16917292247287,562077.4649074952,fishing
102,0.3107142246393499,12.616084571416518,1069909.4651309822,fishing
103,3.6059984162855727,99.24272058557425,131487.98841602725,fishing
104,2.8802598379423765,94.77273239135431,310399.60650976264,fishing
105,0,0,439819.73711912334,fishing
106,-2.577457911493522,254.299411610529,227078.38415114532,fishing
107,0.10075768394525468,1.8039252198522178,434156.70585782686,fishing
108,0.5082725903147436,8.38238222700593,451530.90320767596,fishing
110,-0.1890606176069292,18.42032754767499,595855.6779561948,fishing
111,-0.7984869679430407,35.41898415191443,154215.2130139907,fishing
112,-1.0120716309563962,45.76569380981842,366252.7258963628,fishing
113,0,0,118893.09254785218,fishing
114,5.66505475917884,162.3635418207912,124240.88031172997,fishing
115,1.092756189801246,34.343612198469586,271240.42217968695,fishing
116,1.6107837679512762,29.937055439091615,212082.04861819273,fishing
117,-0.22965657970155545,13.075614209513926,80656.93428017793,fishing
118,0.5430645145994154,24.65951234585341,93003.82692820275,fishing
119,3.5336748405912024,45.72624632788955,10398.670188705073,fishing
120,1.223217738816019,25.760500592379117,108380.89975946628,fishing
121,9.317669394908656,188.6620053665917,7823.453666438211,fishing
122,0,0,15260.93048479013,fishing
123,-0.6139282084666139,15.019707735442454,29241.675337873658,fishing
124,0.010875787063433132,0.20663987626682964,184593.86085378358,fishing
125,-3.306208499752267,59.32240509999039,26302.31323668232,fishing
126,-4.028499646697193,166.0950933087171,75774.58920154162,fishing
127,0,0,36778.70275152717,fishing
129,-0.6042081444874589,15.742914802333907,330280.033584935,fishing
130,-0.8843464103124908,19.63114479517743,576146.4080375767,fishing
131,3.4839011546177217,116.82770321397034,222098.23498615628,fishing
132,-0.30511129216241356,9.881305595456665,730389.5651084468,fishing
133,0.03756319201887862,4.286570359856266,219200.7889466171,fishing
134,-1.7354914130544619,77.20496702216973,94119.84140628278,fishing
135,1.72232692476379,178.58537694750848,3282822.977876072,fishing
136,0.478484766798329,35.90490812703741,119043.29167968156,fishing
137,4.167137172560738,74.26777731334094,1077088.4596856267,fishing
138,6.125738298767935,239.1556147893085,836377.7577110757,fishing
139,-11.626023578368079,318.3618818953176,473597.9502217499,fishing
140,0.28941721446947166,20.560512549577272,138363.09174008973,fishing
141,0.9061739089425741,16.162976068440987,266109.20061835664,fishing
143,0.744012815429146,11.487774984962112,752858.307454905,fishing
144,0.10240172393354588,0.35429711377777556,291783.646569206,fishing
145,0.09242922389522647,0.47477445846153216,2267485.573094356,fishing
146,0.11346702249615452,1.6183858067099839,839965.0719223757,fishing
147,0.05922024348691388,1.1207328843946187,4796046.929757404,fishing
