tx1,tx2,area_km2,str
myxini,actinopterygii,7227.896628769599,fishing
actinopterygii,myxini,7227.896628769599,fishing
myxini,mammalia,6400.054893824284,fishing
mammalia,myxini,6400.054893824284,fishing
myxini,aves,5304.125172316163,fishing
aves,myxini,5304.125172316163,fishing
mollusca,chondrichthyes,1909.7994431192067,fishing
mollusca,aves,1909.7994431192067,fishing
mollusca,mammalia,1909.7994431192067,fishing
mollusca,actinopterygii,1909.7994431192067,fishing
mollusca,reptilia,1909.7994431192067,fishing
mollusca,cnidaria,1909.7994431192067,fishing
chondrichthyes,mollusca,1909.7994431192067,fishing
aves,mollusca,1909.7994431192067,fishing
mammalia,mollusca,1909.7994431192067,fishing
actinopterygii,mollusca,1909.7994431192067,fishing
reptilia,mollusca,1909.7994431192067,fishing
cnidaria,mollusca,1909.7994431192067,fishing
mollusca,mollusca,1909.7994431192067,fishing
myxini,cnidaria,1162.2967769731736,fishing
cnidaria,myxini,1162.2967769731736,fishing
myxini,plantae,90.81807722544664,fishing
plantae,myxini,90.81807722544664,fishing
reptilia,reptilia,200062831.98201054,climate
aves,aves,148569059.0725948,climate
reptilia,aves,101563479.8892093,climate
aves,reptilia,101563479.8892093,climate
mammalia,mammalia,10372236.88751444,climate
cnidaria,cnidaria,10367186.878721604,climate
mammalia,aves,8635037.2116250135,climate
aves,mammalia,8635037.2116250135,climate
cnidaria,reptilia,8619565.827936152,climate
reptilia,cnidaria,8619565.827936152,climate
cnidaria,aves,5182459.523046399,climate
aves,cnidaria,5182459.523046399,climate
plantae,plantae,2449964.4210643307,climate
plantae,cnidaria,2423591.374474727,climate
cnidaria,plantae,2423591.374474727,climate
reptilia,mammalia,2384049.7060021195,climate
mammalia,reptilia,2384049.7060021195,climate
plantae,reptilia,2083118.7578770337,climate
reptilia,plantae,2083118.7578770337,climate
plantae,aves,1631269.9912892913,climate
aves,plantae,1631269.9912892913,climate
cnidaria,mammalia,204485.64017778722,climate
mammalia,cnidaria,204485.64017778722,climate
actinopterygii,reptilia,63822.40591623563,climate
actinopterygii,cnidaria,63822.40591623563,climate
reptilia,actinopterygii,63822.40591623563,climate
cnidaria,actinopterygii,63822.40591623563,climate
actinopterygii,actinopterygii,63822.40591623563,climate
actinopterygii,aves,63413.72455612505,climate
aves,actinopterygii,63413.72455612505,climate
actinopterygii,plantae,39094.563817608214,climate
plantae,actinopterygii,39094.563817608214,climate
actinopterygii,mammalia,1734.27602678884,climate
mammalia,actinopterygii,1734.27602678884,climate
plantae,mammalia,1417.2859967052473,climate
mammalia,plantae,1417.2859967052473,climate
mammalia,mammalia,202947094.5760682,ocean
cnidaria,mammalia,8281127.011959364,ocean
mammalia,cnidaria,8281127.011959364,ocean
cnidaria,cnidaria,8281127.011959364,ocean
plantae,mammalia,1358703.1009743754,ocean
mammalia,plantae,1358703.1009743754,ocean
plantae,plantae,1358703.1009743754,ocean
plantae,cnidaria,1237694.1217946813,ocean
cnidaria,plantae,1237694.1217946813,ocean
aves,aves,82994.62648070247,ocean
aves,mammalia,74657.70137865024,ocean
mammalia,aves,74657.70137865024,ocean
cnidaria,aves,14191.198263288366,ocean
aves,cnidaria,14191.198263288366,ocean
reptilia,reptilia,2558938.257903896,land-based
aves,aves,1646597.289101079,land-based
reptilia,aves,1377407.2596895578,land-based
aves,reptilia,1377407.2596895578,land-based
plantae,plantae,1283453.3360593969,land-based
mammalia,mammalia,1123121.874203674,land-based
plantae,reptilia,1074900.9670619357,land-based
reptilia,plantae,1074900.9670619357,land-based
reptilia,mammalia,1061214.5073475488,land-based
mammalia,reptilia,1061214.5073475488,land-based
cnidaria,cnidaria,1004042.7800623057,land-based
cnidaria,reptilia,1003914.4121949145,land-based
reptilia,cnidaria,1003914.4121949145,land-based
mammalia,aves,859249.9422997802,land-based
aves,mammalia,859249.9422997802,land-based
cnidaria,aves,805862.0101263459,land-based
