stressor,impact_km2,incr2_km2,incr3_km2,decr2_km2,decr3_km2,impact_2plus_km2,impact_3plus_km2,range_km2,iucn_sid
cum_ocean,3497200.8028763966,2405199.839747073,393169.80767044943,238303.14953238858,62206.89200751062,0,0,5095695.073101055,133642
art_fish,3231255.773737393,1307397.8718237753,9682.60455413556,377432.08228603174,30160.335158408983,NA,NA,7441260.617810252,133644
direct_human,635787.6900187584,66981.82722606274,210.45343392087284,9149.048367755633,0,NA,NA,7441260.617810252,133644
oa,5088063.734771378,4251905.162962702,177369.4572303157,0,0,NA,NA,7441260.617810252,133644
shipping,5329479.149685199,3806916.6540378374,701188.9325893627,275089.71159140684,66775.74002141193,NA,NA,7441260.617810252,133644
sst,6347309.685668572,5656346.519447814,5357164.692289698,56342.13983401043,47447.20745995196,NA,NA,7441260.617810252,133644
cum_all,7231346.850839842,6050631.468231654,4884511.599237533,91904.40421940136,23448.529723362753,NA,NA,7441260.617810252,133644
oa,5088063.734771378,4251905.162962702,177369.4572303157,0,0,NA,NA,7441260.617810252,133644
sst,6347309.685668572,5656346.519447814,5357164.692289698,56342.13983401043,47447.20745995196,NA,NA,7441260.617810252,133644
cum_climate,6710471.977080589,6188291.593318925,5372026.547166657,49470.52947913439,42315.112648673894,NA,0,7441260.617810252,133644
art_fish,3231255.773737393,1307397.8718237753,9682.60455413556,377432.08228603174,30160.335158408983,NA,NA,7441260.617810252,133644
cum_fishing,3231255.773737393,1307397.8718237753,9682.60455413556,377432.08228603174,30160.335158408983,0,0,7441260.617810252,133644
direct_human,635787.6900187584,66981.82722606274,210.45343392087284,9149.048367755633,0,NA,NA,7441260.617810252,133644
cum_land-based,635787.6900187584,66981.82722606274,210.45343392087284,9149.048367755633,0,0,0,7441260.617810252,133644
shipping,5329479.149685199,3806916.6540378374,701188.9325893627,275089.71159140684,66775.74002141193,NA,NA,7441260.617810252,133644
cum_ocean,5329479.149685199,3806916.6540378374,701188.9325893627,275089.71159140684,66775.74002141193,0,0,7441260.617810252,133644
art_fish,70160.45999183523,20291.728167314468,0,11924.239293474111,0,NA,NA,174978.49664078242,133645
direct_human,20670.719004600567,1086.3239595854523,0,0,0,NA,NA,174978.49664078242,133645
oa,91006.7024222132,57449.42175376598,0,0,0,NA,NA,174978.49664078242,133645
shipping,81937.99315474698,35232.17562754404,1162.296776973174,31469.33806948716,17609.101811828426,NA,NA,174978.49664078242,133645
sst,162150.44280442232,127394.18883895739,121606.28271675235,3990.7560259651164,1176.2687903074025,NA,NA,174978.49664078242,133645
cum_all,169654.28668552137,110379.77079625099,99593.37726428767,11781.026167819813,4206.448970397098,147323.51794072456,80864.76794309818,174978.49664078242,133645
oa,91006.7024222132,57449.42175376598,0,0,0,NA,NA,174978.49664078242,133645
sst,162150.44280442232,127394.18883895739,121606.28271675235,3990.7560259651164,1176.2687903074025,NA,NA,174978.49664078242,133645
cum_climate,164028.805215965,129129.33811854775,121606.28271675235,3990.7560259651164,1176.2687903074025,89128.34001067051,0,174978.49664078242,133645
art_fish,70160.45999183523,20291.728167314468,0,11924.239293474111,0,NA,NA,174978.49664078242,133645
cum_fishing,70160.45999183523,20291.728167314468,0,11924.239293474111,0,0,0,174978.49664078242,133645
direct_human,20670.719004600567,1086.3239595854523,0,0,0,NA,NA,174978.49664078242,133645
cum_land-based,20670.719004600567,1086.3239595854523,0,0,0,0,0,174978.49664078242,133645
shipping,81937.99315474698,35232.17562754404,1162.296776973174,31469.33806948716,17609.101811828426,NA,NA,174978.49664078242,133645
cum_ocean,81937.99315474698,35232.17562754404,1162.296776973174,31469.33806948716,17609.101811828426,0,0,174978.49664078242,133645
art_fish,2468715.7348498795,1101961.2615250375,9682.60455413556,161789.79017362525,4577.580535618508,NA,NA,6127088.939636668,133647
direct_human,492070.6975559442,55436.57876633209,0,7851.397715149759,0,NA,NA,6127088.939636668,133647
oa,4222469.625721353,3755144.235838866,177369.4572303157,0,0,NA,NA,6127088.939636668,133647
shipping,4448885.212238626,3199619.6444023973,564374.1144667552,186253.03730791688,43098.418599382516,NA,NA,6127088.939636668,133647
sst,5150929.057596103,4740309.079757629,4469279.984247049,34856.67780461305,31238.799855770412,NA,NA,6127088.939636668,133647
cum_all,5923924.5278871395,5172874.722649472,4186944.910961788,40951.09492643241,10079.060406514938,NA,NA,6127088.939636668,133647
oa,4222469.625721353,3755144.235838866,177369.4572303157,0,0,NA,NA,6127088.939636668,133647
sst,5150929.057596103,4740309.079757629,4469279.984247049,34856.67780461305,31238.799855770412,NA,NA,6127088.939636668,133647
cum_climate,5414957.301647064,5114352.075786104,4484141.839124007,34186.02120865626,30761.13168179023,NA,0,6127088.939636668,133647
art_fish,2468715.7348498795,1101961.2615250375,9682.60455413556,161789.79017362525,4577.580535618508,NA,NA,6127088.939636668,133647
cum_fishing,2468715.7348498795,1101961.2615250375,9682.60455413556,161789.79017362525,4577.580535618508,0,0,6127088.939636668,133647
direct_human,492070.6975559442,55436.57876633209,0,7851.397715149759,0,NA,NA,6127088.939636668,133647
cum_land-based,492070.6975559442,55436.57876633209,0,7851.397715149759,0,0,0,6127088.939636668,133647
shipping,4448885.212238626,3199619.6444023973,564374.1144667552,186253.03730791688,43098.418599382516,NA,NA,6127088.939636668,133647
cum_ocean,4448885.212238626,3199619.6444023973,564374.1144667552,186253.03730791688,43098.418599382516,0,0,6127088.939636668,133647
art_fish,1883002.8645480569,950535.2114540356,3036.2929371043,76162.31254027314,138.8468679447112,NA,NA,3754611.5527647627,133650
direct_human,415494.4639776597,46667.394505294804,0,6943.216901958123,0,NA,NA,3754611.5527647627,133650
oa,2691020.057046886,2522111.5266148034,177369.4572303157,0,0,NA,NA,3754611.5527647627,133650
shipping,2692398.0465506157,1999041.3001037478,396719.5720960121,80759.10461233303,30070.39032808066,NA,NA,3754611.5527647627,133650
sst,3550134.6451183395,3275079.8636004184,3138764.544859252,36042.55235054509,30114.92611389186,NA,NA,3754611.5527647627,133650
cum_all,3732495.6037493846,3407762.4589272346,3025113.5765887345,20360.715009525204,7570.210946011156,NA,NA,3754611.5527647627,133650
oa,2691020.057046886,2522111.5266148034,177369.4572303157,0,0,NA,NA,3754611.5527647627,133650
