iucn_sid,taxon,var_priority,priority
63104,sharks_and_rays,9.322836683640136e-7,0.011749226933521865
63106,sharks_and_rays,1.1612505978067439e-4,0.09487945723432988
63109,sharks_and_rays,3.417206937321195e-6,0.07614917114292144
63110,sharks_and_rays,5.8964103470382625e-6,0.0599405953900392
63113,sharks_and_rays,9.165719992708841e-6,0.04404066149327683
63114,sharks_and_rays,6.755679125461878e-8,0.047653123420314664
63116,sharks_and_rays,1.887738812085617e-7,0.001288466274617296
63117,sharks_and_rays,4.516821683960646e-6,0.0499561129871531
63120,sharks_and_rays,4.752295514825119e-7,0.031016140240692124
63124,sharks_and_rays,2.34010633594008e-5,0.009112585604178736
63128,sharks_and_rays,3.204080452434555e-7,0.015025872538190235
63129,sharks_and_rays,9.751719802808077e-7,0.03282544499370992
63130,sharks_and_rays,3.697659652899747e-7,0.028520523227121102
63131,sharks_and_rays,7.581495846827523e-8,0.06068773029752845
63141,sharks_and_rays,5.414033962560092e-7,0.029261234696399022
63144,sharks_and_rays,2.50060208317759e-6,0.057532692441293935
63145,sharks_and_rays,3.88930413561064e-6,0.05180931658993023
63147,sharks_and_rays,9.740798028899878e-7,0.04820489071599407
63149,sharks_and_rays,1.3436056511902411e-5,0.03925334133492076
63153,sharks_and_rays,7.531730440240284e-7,0.05247751763413269
63154,sharks_and_rays,4.348842353780643e-6,0.007447651545646691
63155,sharks_and_rays,4.163726549638094e-6,0.043605575052877175
63156,sharks_and_rays,2.3592836003911597e-4,0.07452896157351022
63166,sharks_and_rays,1.3328330869807525e-6,0.07710473604380158
63167,sharks_and_rays,0,0.09250931055443876
63571,wrasses_and_parrotfishes,3.8298805071028515e-8,0.034401290639922553
64400,groupers,6.462384212314802e-7,0.045245982794544184
64409,groupers,7.473062433978344e-6,0.02155953035834611
64410,groupers,3.627285473356326e-6,0.03218361881526939
64411,groupers,2.0482280877282187e-7,0.061362039684580635
132722,groupers,8.551262940139598e-7,0.05678852830069333
132724,groupers,1.8190867496546004e-6,0.03514342934876047
132730,groupers,1.0341156825554417e-7,0.04829643476930349
132765,groupers,5.2858258185425047e-8,0.06577711138964396
132795,groupers,3.2958940853581245e-8,0.002796934198864354
132860,reef_building_corals,3.4343580786514195e-8,0.07384523821710669
132865,reef_building_corals,0,0.07907411517442639
132866,reef_building_corals,2.074866501817054e-7,0.061358472332988065
