iucn_sid,stressor,sensitive
10708,pel_lb,NA
11047,art_fish,TRUE
11047,dem_dest,NA
11047,dem_nondest_hb,NA
11047,dem_nondest_lb,NA
11047,pel_hb,NA
11047,pel_lb,NA
11130,art_fish,FALSE
11130,dem_dest,FALSE
11130,dem_nondest_hb,FALSE
11130,dem_nondest_lb,TRUE
11130,pel_hb,NA
11130,pel_lb,NA
11140,art_fish,TRUE
11140,dem_dest,NA
11140,dem_nondest_hb,NA
11140,dem_nondest_lb,NA
11140,pel_hb,NA
11140,pel_lb,NA
11141,art_fish,TRUE
11141,dem_dest,NA
11141,dem_nondest_hb,NA
11141,dem_nondest_lb,NA
11141,pel_hb,NA
11141,pel_lb,NA
11142,art_fish,TRUE
11142,dem_dest,NA
11142,dem_nondest_hb,NA
11142,dem_nondest_lb,NA
11142,pel_hb,FALSE
11142,pel_lb,FALSE
11143,art_fish,TRUE
11143,dem_dest,FALSE
11143,dem_nondest_hb,FALSE
11143,dem_nondest_lb,FALSE
11143,pel_hb,FALSE
11143,pel_lb,FALSE
11145,art_fish,FALSE
11145,art_fish,TRUE
11145,dem_dest,NA
11145,dem_nondest_hb,NA
11145,dem_nondest_lb,NA
11145,pel_hb,NA
11145,pel_lb,NA
11146,art_fish,TRUE
11146,dem_dest,NA
11146,dem_nondest_hb,NA
11146,dem_nondest_lb,NA
11146,pel_hb,TRUE
11146,pel_lb,TRUE
11150,art_fish,FALSE
11150,dem_dest,FALSE
11150,dem_nondest_hb,FALSE
11150,dem_nondest_lb,FALSE
11150,pel_hb,NA
11150,pel_lb,NA
11200,art_fish,TRUE
11200,dem_dest,NA
11200,dem_nondest_hb,NA
11200,dem_nondest_lb,NA
11200,pel_hb,TRUE
11200,pel_lb,TRUE
11534,art_fish,TRUE
11534,art_fish,FALSE
11534,dem_dest,FALSE
11534,dem_nondest_hb,FALSE
11534,dem_nondest_lb,FALSE
11534,pel_hb,FALSE
11534,pel_lb,FALSE
11696,art_fish,FALSE
11696,dem_dest,NA
11696,dem_nondest_hb,NA
11696,dem_nondest_lb,NA
11696,pel_hb,NA
11696,pel_lb,NA
12125,art_fish,TRUE
12125,dem_dest,NA
12125,dem_nondest_hb,NA
12125,dem_nondest_lb,NA
12125,pel_hb,TRUE
12125,pel_lb,TRUE
12126,art_fish,TRUE
12126,dem_dest,NA
12126,dem_nondest_hb,NA
12126,dem_nondest_lb,NA
12126,pel_hb,NA
12126,pel_lb,NA
12137,art_fish,FALSE
12137,dem_dest,FALSE
12137,dem_nondest_hb,FALSE
12137,dem_nondest_lb,FALSE
12137,pel_hb,FALSE
12137,pel_lb,FALSE
12246,art_fish,FALSE
12246,dem_dest,NA
12246,dem_nondest_hb,NA
12246,dem_nondest_lb,NA
12246,pel_hb,NA
12246,pel_lb,NA
12303,art_fish,NA
12303,dem_dest,FALSE
12303,dem_nondest_hb,TRUE
12303,dem_nondest_lb,FALSE
12303,pel_hb,FALSE
12303,pel_lb,FALSE
12419,art_fish,NA
12419,dem_dest,FALSE
12419,dem_nondest_hb,TRUE
12419,dem_nondest_lb,FALSE
12419,pel_hb,FALSE
12419,pel_lb,FALSE
12427,art_fish,NA
12427,dem_dest,FALSE
12427,dem_nondest_hb,TRUE
12427,dem_nondest_lb,FALSE
12427,pel_hb,FALSE
12427,pel_lb,FALSE
13006,art_fish,TRUE
13006,dem_dest,NA
13006,dem_nondest_hb,NA
13006,dem_nondest_lb,NA
13006,pel_hb,NA
13006,pel_lb,NA
13241,art_fish,TRUE
13241,dem_dest,NA
13241,dem_nondest_hb,NA
13241,dem_nondest_lb,NA
13241,pel_hb,NA
13241,pel_lb,NA
13242,art_fish,TRUE
13242,dem_dest,NA
13242,dem_nondest_hb,NA
13242,dem_nondest_lb,NA
13242,pel_hb,NA
13242,pel_lb,NA
13243,art_fish,TRUE
13243,dem_dest,NA
13243,dem_nondest_hb,NA
13243,dem_nondest_lb,NA
13243,pel_hb,NA
13243,pel_lb,NA
13244,art_fish,TRUE
13244,dem_dest,NA
13244,dem_nondest_hb,NA
13244,dem_nondest_lb,NA
13244,pel_hb,NA
13244,pel_lb,NA
13245,art_fish,TRUE
13245,dem_dest,NA
13245,dem_nondest_hb,NA
13245,dem_nondest_lb,NA
13245,pel_hb,NA
13245,pel_lb,NA
13246,art_fish,TRUE
13246,dem_dest,NA
13246,dem_nondest_hb,NA
13246,dem_nondest_lb,NA
13246,pel_hb,NA
13246,pel_lb,NA
13247,art_fish,TRUE
13247,dem_dest,NA
13247,dem_nondest_hb,NA
13247,dem_nondest_lb,NA
13247,pel_hb,NA
13247,pel_lb,NA
13248,art_fish,TRUE
13248,dem_dest,NA
13248,dem_nondest_hb,NA
13248,dem_nondest_lb,NA
13248,pel_hb,NA
13248,pel_lb,NA
13249,art_fish,TRUE
13249,dem_dest,NA
13249,dem_nondest_hb,NA
13249,dem_nondest_lb,NA
13249,pel_hb,NA
13249,pel_lb,NA
13250,art_fish,TRUE
13250,dem_dest,NA
13250,dem_nondest_hb,NA
13250,dem_nondest_lb,NA
13250,pel_hb,NA
13250,pel_lb,NA
13251,art_fish,TRUE
13251,dem_dest,NA
13251,dem_nondest_hb,NA
13251,dem_nondest_lb,NA
13251,pel_hb,NA
13251,pel_lb,NA
13252,art_fish,FALSE
13252,art_fish,TRUE
13252,dem_dest,NA
13252,dem_nondest_hb,NA
13252,dem_nondest_lb,NA
13252,pel_hb,NA
13252,pel_lb,NA
13581,art_fish,TRUE
13581,dem_dest,NA
13581,dem_nondest_hb,NA
13581,dem_nondest_lb,NA
13581,pel_hb,NA
13581,pel_lb,NA
13653,art_fish,NA
13653,dem_dest,FALSE
13653,dem_nondest_hb,TRUE
13653,dem_nondest_lb,FALSE
13653,pel_hb,TRUE
13653,pel_lb,TRUE
13654,art_fish,FALSE
13654,dem_dest,FALSE
13654,dem_nondest_hb,FALSE
13654,dem_nondest_lb,FALSE
13654,pel_hb,FALSE
13654,pel_lb,FALSE
13704,art_fish,TRUE
13704,dem_dest,NA
13704,dem_nondest_hb,NA
13704,dem_nondest_lb,NA
13704,pel_hb,NA
13704,pel_lb,NA
14048,art_fish,FALSE
14048,dem_dest,NA
14048,dem_nondest_hb,NA
14048,dem_nondest_lb,NA
14048,pel_hb,NA
14048,pel_lb,NA
14049,art_fish,TRUE
14049,dem_dest,TRUE
14049,dem_nondest_hb,TRUE
14049,dem_nondest_lb,TRUE
14049,pel_hb,TRUE
14049,pel_lb,TRUE
14050,art_fish,TRUE
14050,dem_dest,TRUE
14050,dem_nondest_hb,TRUE
14050,dem_nondest_lb,TRUE
14050,pel_hb,TRUE
14050,pel_lb,TRUE
14051,art_fish,TRUE
