meow,pct_impact_mean,a_km2,impact
9,0.03214404687146022,245499.6091407016,land-based
10,0,588498.5401936525,land-based
11,0.048833228670459056,469027.3556703618,land-based
12,0.15327093244750292,363002.4864674868,land-based
13,0.2049374414104245,625989.8156198129,land-based
14,0.16733139850618317,991917.6922279028,land-based
15,8.842754940071365e-4,912735.6785137028,land-based
16,0.1521944844147475,554690.6367060692,land-based
17,0.08101041659786394,1006751.6030658919,land-based
18,0.008672027441341278,1808482.2632537503,land-based
19,0.5754029642993772,86379.34652876822,land-based
20,0.16786757942720335,375562.4523208267,land-based
21,0.09990094586782355,205458.4415290292,land-based
22,1.265147883099964,250887.56641851045,land-based
23,0.7039589343785255,293347.638679646,land-based
24,5.6927108866583565,373629.9483770984,land-based
25,2.1833743287866105,700661.4890127811,land-based
26,1.1720491605151557,759877.4971220953,land-based
27,0.9430763982982484,664622.4297342574,land-based
28,0.33197428323256745,550990.6730757578,land-based
29,0.10533603065004539,1638499.634232241,land-based
30,3.0328350741138608,131434.72017669465,land-based
31,2.0863209317618217,315020.8496070272,land-based
32,0.9112583186468598,475275.4649369879,land-based
33,0.4355711611957737,392320.13464174065,land-based
34,1.1553217044674986,368722.2789928037,land-based
35,1.5561325138719777,756074.4900246201,land-based
36,1.9103772193431494,83455.7029989649,land-based
37,1.1540055636042885,415035.1337133741,land-based
38,0.2458834627648282,336529.88936936663,land-based
39,0.2959606547686805,260798.0894264821,land-based
40,1.1671109508244022,186315.0381580247,land-based
41,1.7847122086927143,313904.83501272893,land-based
42,0.6010326647615167,335514.2986818218,land-based
43,0.7105197775165822,602698.4710451809,land-based
44,10.441254000191503,458185.0741050381,land-based
45,0.619189393827677,1051098.77028853,land-based
46,0.0316868155645507,833331.8590369456,land-based
47,0.3509027788435188,914561.6457683725,land-based
48,2.0192805220704226,239318.74019729983,land-based
49,1.6898523308771636,989108.4444543401,land-based
50,2.7619912670213598,438180.64540827705,land-based
51,6.8384500771827685,582576.1534791223,land-based
52,1.9214733928735448,699524.5165283782,land-based
53,0.027662963298526477,1204842.4278165721,land-based
54,0.3821581535154317,779564.9358326622,land-based
55,0.39111239269164455,391315.0229728563,land-based
56,14.021757198521998,14591.147141733269,land-based
57,0.7081163532015955,344603.96595393796,land-based
58,0.4210068248095534,332440.45597944874,land-based
59,0.3114571520178026,526969.2908619803,land-based
60,1.2273107150923657,263791.59308810177,land-based
61,0.1403067099140678,180821.41750349477,land-based
62,0.032863575199423664,379679.8297220616,land-based
63,0.30461239388882866,944174.4527247056,land-based
64,0.5198147315917564,850844.903300597,land-based
65,1.8719114646356803,1078948.4838970767,land-based
66,1.5798486221535086,583249.4298869185,land-based
67,0.7525458118553888,799503.8706593511,land-based
68,1.6354952547124972,246979.769276333,land-based
69,0.5817807698956462,745649.6223095356,land-based
70,1.4257374192625183,170113.6165654306,land-based
71,0.525028634055405,449381.8330580544,land-based
72,0.6038340622278516,554182.4046587453,land-based
73,0,406592.5452538885,land-based
74,0.0071785266689252895,312096.3327580963,land-based
75,0.7228950660506341,661075.2851048874,land-based
76,0.49639124029496945,633614.1680736048,land-based
77,0,437432.269502024,land-based
78,0.004308828915848568,863547.2090102574,land-based
79,0.09633205353248456,768070.3358888923,land-based
80,0.32454039136449647,332359.24366119376,land-based
81,0.4997453206324728,640231.662407033,land-based
82,0.48583110754710196,360724.1752317213,land-based
83,1.1374676212201646,394299.79417180276,land-based
84,0.03278937216210938,414771.4119673981,land-based
85,0.6787756098344521,232195.63367227642,land-based
86,0.4392832486132401,387274.4916703486,land-based
87,3.6129102737494563,229343.59663120002,land-based
88,4.974587857414162,228033.72049280765,land-based
89,1.8287054314524671,551402.8474694128,land-based
90,4.22039865943676,239659.30804761217,land-based
91,1.5904532888431189,276494.7720439704,land-based
92,0.488273266503092,540087.2639581981,land-based
93,0.45179757723514274,442847.29753372323,land-based
94,2.137259687841549,309179.67518270615,land-based
95,6.672998040444181,471943.1400006261,land-based
96,0.15887883842698436,1182895.016196785,land-based
97,0,827607.7002533287,land-based
98,0.7894726087260374,1009187.9726887239,land-based
99,1.9704214038129657,430308.2897307923,land-based
100,2.7413393760695453,1159827.2237952524,land-based
101,2.1518861297610723,264919.83306377707,land-based
102,1.5909051801869178,336756.93452847993,land-based
103,2.1467982090740527,630420.6899636602,land-based
104,3.2910858306307347,658738.4660392737,land-based
105,2.987078861968994,1303584.3854967542,land-based
106,0.0022683035829473702,632067.640984556,land-based
107,1.4394593582537982,433802.1660193724,land-based
108,3.5192126837054034,478104.79747529025,land-based
109,2.2746678623129153,777921.4778746357,land-based
110,7.2576926792489855,258384.42428674278,land-based
111,6.859037460652593,727616.9939375902,land-based
112,3.28474784177454,305387.14706167486,land-based
113,2.526673940293158,278257.86532671005,land-based
114,0,1268100.7136890253,land-based
115,3.1348862721227206,271402.8467712251,land-based
116,3.4730649787450947,185194.6573842501,land-based
117,2.4269069221576296,1351277.8497120922,land-based
118,9.548563677099121,163302.26057424862,land-based
119,8.739419107214468,603518.4535269557,land-based
120,0.044750750564323975,833064.6443210944,land-based
121,3.0020623819908754,1011278.5350560276,land-based
122,0.06244640825027399,1125070.0965791508,land-based
123,0.23307386809986808,987827.3855647149,land-based
124,0.6933324436448975,2240625.252718024,land-based
125,0.6580947903546585,994360.1745867889,land-based
126,8.55710878638386,561347.4272912784,land-based
127,20.88219768020103,916929.9019559001,land-based
128,6.09007620181382,774832.7899368298,land-based
129,14.745233804773752,267337.86446437496,land-based
130,4.762456590935315,609483.6295501335,land-based
131,13.112685738795127,906384.525614196,land-based
132,18.513832640299054,631057.2898156901,land-based
133,15.707060201831698,69325.63220997447,land-based
134,5.576091337668522,711858.3104490334,land-based
135,4.509102998449833,1654693.1965407648,land-based
136,4.028399158930535,660078.9059531935,land-based
137,2.1997021325365496,226835.62044081735,land-based
138,1.5420315762833143,72787.19832941075,land-based
139,0.780329922271997,372284.2689380048,land-based
140,0.20454830681021938,591339.2249854084,land-based
141,0.19470870837925827,357619.7686888723,land-based
142,0.07127793068886507,184572.02956031534,land-based
143,1.4672712624258657,209813.34316403122,land-based
144,0.1490605634254471,592562.6492981836,land-based
145,1.1039779097429128e-4,148432.546399443,land-based
146,0.6392942384228647,767990.8700853921,land-based
147,2.990890561004281,772907.2719177959,land-based
148,1.2616781417018732,1497647.7778206936,land-based
149,0.7835202183914761,1167964.1744443544,land-based
150,0,733801.3558584446,land-based
151,0.0206441277835147,745394.6331085009,land-based
152,0.06001909448013216,2661470.123846186,land-based
153,1.1059319355584583,2194960.350186288,land-based
154,0.7453426554390419,2255878.3240125254,land-based
155,0.030070451468788,1498691.312437189,land-based
156,0.06008453118210799,2499131.9321985925,land-based
157,0.5100381973461511,762967.0584032369,land-based
158,0.26057971915410677,2410767.6866919356,land-based
159,0,1180456.0267651642,land-based
160,0.04426610738308874,1697786.3756136943,land-based
161,0.7152944193762288,480019.8363764698,land-based
162,0.00918054320437648,741373.313301399,land-based
163,0.019372660660549327,665277.3678252506,land-based
164,3.361864282974992e-4,641033.3066576186,land-based
165,0,435952.9826949672,land-based
166,0.35168307452747627,657427.7166649073,land-based
167,0.8852089366480298,391566.51918069343,land-based
168,0.8591511860201222,285779.1742522276,land-based
169,0,337066.06532222044,land-based
170,0.8554418928482596,515295.67456201883,land-based
171,0.8450472436418779,254414.62629868902,land-based
172,0,214484.361509202,land-based
173,0.0882786752894278,396393.84949382715,land-based
174,0.03086660283006317,231849.82634953634,land-based
175,0.44117685105774684,315164.9359442506,land-based
176,0.2586238125816077,656299.4766310736,land-based
177,0.20311623056353456,297618.708236414,land-based
178,0.6096923999902282,295999.7012567507,land-based
179,0.0015444150323487586,889916.7625583553,land-based
180,0.4863121301726706,374922.35952440876,land-based
181,0.5814116801814244,261392.7731864523,land-based
182,2.8421172347401567,31290.321629748276,land-based
183,0.32437171212923016,366022.1876598157,land-based
184,0.1687342419214189,208326.19709484885,land-based
185,0.03903878629986423,437307.3946444613,land-based
186,0.016135206232276718,415662.127770712,land-based
187,0.28944970716000556,655007.0655288335,land-based
188,0.4576832340798784,214039.0036292437,land-based
189,0,964177.1349181269,land-based
190,0.05139802165384763,417200.7956468385,land-based
191,0.15652250905378667,418342.13441955537,land-based
192,0.2983104366914866,366358.3892092179,land-based
193,0.9050440741875054,325647.43824395916,land-based
194,0,396052.40844513214,land-based
195,0,550838.7274356685,land-based
196,0.2309405868089959,355401.7117683848,land-based
197,0.0011506708910631249,236299.0390370515,land-based
198,0,368307.4849206504,land-based
199,0.26386350401259734,706968.9793570383,land-based
200,0.0961768980999607,261802.3278232772,land-based
201,0,107243.05400740252,land-based
202,2.6806845807539386,246025.30614997927,land-based
203,1.2644697875752635,190126.7777424796,land-based
204,0.24148887581383124,251738.1126809299,land-based
205,0.21415740367457411,441679.7612338397,land-based
206,0.18643005562892617,322244.3799664752,land-based
207,0.9112965832550588,185669.70579155957,land-based
208,0.04089147539837261,304048.4536507994,land-based
209,0.36285693769109684,541476.6059485067,land-based
210,0.0698589028409178,188414.3329821956,land-based
211,0.46144183469324235,182501.5519759565,land-based
212,0,262832.76373001776,land-based
213,0,255082.66313200977,land-based
214,0,400907.68270975165,land-based
215,0,429349.4603581441,land-based
216,0.011143918490432066,327084.8089972363,land-based
217,0,256493.83638744548,land-based
218,0,122191.36071135566,land-based
219,0,405401.43119429634,land-based
220,0,403383.3486709624,land-based
221,0,277083.3430798923,land-based
222,0,365234.51545838435,land-based
223,0,444173.76560779987,land-based
224,0,2222803.9511057204,land-based
225,0,233511.62259110418,land-based
226,0,724539.6581941938,land-based
227,0,1253450.1856690329,land-based
228,0,1054900.0308235232,land-based
229,0,1021146.2689656466,land-based
230,0,388993.922393804,land-based
231,0,214670.36392451148,land-based
232,0,168165.39408977533,land-based
1,2.2576471502507878,437003.50330887956,ocean
2,20.564153407283225,381146.8910440207,ocean
3,17.549963076898813,619647.3951630028,ocean
4,18.775872198533087,585307.6819241835,ocean
5,18.329685414864734,368163.3985622695,ocean
