eez,pct_intens_mean,a_km2,impact
51,32.00070394889962,11817.702683632866,fishing
52,16.486157521269778,7269.81267851454,fishing
53,-15.58273175071844,222582.8891656227,fishing
54,46.920766481794274,53629.82290118264,fishing
55,1.0549406480018828,956835.715671176,fishing
56,2.9665061546283744,800403.3189574188,fishing
57,1.7087544690086536,455325.17781000386,fishing
58,4.643357900012189,449816.71195999417,fishing
59,16.813479371855326,3437.1150296768797,fishing
60,0,420.90687413977173,fishing
61,-31.32308804952831,99719.1253557578,fishing
62,3.96618754972932,274777.96100855886,fishing
63,-6.33878525134185,252913.50822788282,fishing
64,10.396445876057813,156380.00167969576,fishing
65,-3.695785552565372,20668.09925731595,fishing
66,-8.591390989642093,160129.7404779088,fishing
67,11.67464902203017,357310.63797690766,fishing
68,1.6311995275945572,54928.34677923298,fishing
69,-3.397690215360346,29302.802892077827,fishing
70,2.1932937105259294,36181.399209337986,fishing
71,0,35077.6102501091,fishing
72,0,29220.717319840445,fishing
73,5.436929149000937,7668814.0500031235,fishing
74,0,22800.57765015656,fishing
75,2.4658095145660317,132677.3559912722,fishing
76,-12.954240471498107,255982.11142171288,fishing
77,12.028340323833822,10436.219964995365,fishing
78,4.079449943803911,19238.587742940446,fishing
79,11.577578093588546,27701.260966673646,fishing
80,-2.3601694104852236,493026.0333702453,fishing
81,1.545196481482669,98279.13483994301,fishing
82,13.273978667146435,11398.542307125199,fishing
84,12.110967648911153,127890.19524225696,fishing
85,1.0187248105567805,444314.35883383604,fishing
86,0,447550.62619722233,fishing
88,0,756548.6652133735,fishing
89,1.5796942464060721,1446146.0670200028,fishing
90,0,473534.20289585623,fishing
91,0,575481.8642266805,fishing
92,0,509323.512528336,fishing
93,0,567116.1218169155,fishing
94,0,416219.26175783615,fishing
95,1.4823520039683442,548163.9603456538,fishing
96,23.95691862569697,160642.33867203808,fishing
97,9.520479507938044,249308.72902884654,fishing
98,-9.776304058643834,15472.257173283844,fishing
99,16.96978003227906,30376.028093295517,fishing
100,19.688423810605187,40049.0268926921,fishing
101,0.7004177290524601,562077.4649074952,fishing
102,0.6062350157937925,1069909.4651309822,fishing
103,10.049257392018685,131487.98841602725,fishing
104,8.239234662985233,310399.60650976264,fishing
105,0,439819.73711912334,fishing
106,-6.589756339435795,227078.38415114532,fishing
107,0.2490530995595522,434156.70585782686,fishing
108,1.5263242319985029,451530.90320767596,fishing
110,-0.4481568901297759,595855.6779561948,fishing
111,-2.3211672279807214,154215.2130139907,fishing
