iucn_sid,sens,stressor,code
10060,FALSE,direct_human,1.3
10060,FALSE,nutrient,9.1.1
10060,FALSE,nutrient,9.1.2
10060,FALSE,organic,9.1.2
10060,FALSE,nutrient,9.3.1
10063,FALSE,direct_human,1.1
10063,FALSE,direct_human,1.2
10063,FALSE,direct_human,1.3
10064,FALSE,direct_human,1.1
10064,FALSE,direct_human,1.2
10064,FALSE,direct_human,1.3
10064,FALSE,nutrient,9.1.1
10064,FALSE,nutrient,9.1.2
10064,FALSE,organic,9.1.2
10064,FALSE,nutrient,9.3.1
10065,FALSE,direct_human,1.1
10065,FALSE,direct_human,1.2
10066,FALSE,direct_human,1.1
10066,FALSE,direct_human,1.2
10066,FALSE,direct_human,1.3
10066,FALSE,nutrient,9.1.1
10066,FALSE,nutrient,9.1.2
10066,FALSE,organic,9.1.2
10066,FALSE,nutrient,9.3.1
10069,FALSE,direct_human,1.1
10069,FALSE,direct_human,1.2
10069,FALSE,direct_human,1.3
10069,FALSE,nutrient,9.1.1
10069,FALSE,nutrient,9.1.2
10069,FALSE,organic,9.1.2
10069,FALSE,nutrient,9.3.1
10070,FALSE,direct_human,1.1
10070,FALSE,direct_human,1.2
10070,FALSE,direct_human,1.3
10070,FALSE,nutrient,9.1.1
10070,FALSE,nutrient,9.1.2
10070,FALSE,organic,9.1.2
10070,FALSE,nutrient,9.3.1
10072,FALSE,direct_human,1.1
10072,FALSE,direct_human,1.2
10072,FALSE,direct_human,1.3
10072,FALSE,direct_human,6.1
10074,FALSE,direct_human,1.1
10074,FALSE,direct_human,1.2
10074,FALSE,direct_human,1.3
10074,FALSE,nutrient,9.1.1
10074,FALSE,nutrient,9.1.2
10074,FALSE,organic,9.1.2
10074,FALSE,nutrient,9.3.1
10082,FALSE,direct_human,1.1
10082,FALSE,direct_human,1.2
10082,FALSE,direct_human,1.3
10083,FALSE,direct_human,1.1
10083,FALSE,direct_human,1.2
10083,FALSE,direct_human,1.3
10083,FALSE,nutrient,9.1.1
10083,FALSE,nutrient,9.1.2
10083,FALSE,organic,9.1.2
10083,FALSE,nutrient,9.3.1
10088,TRUE,direct_human,1.1
10088,TRUE,direct_human,1.2
10088,FALSE,direct_human,1.3
10088,FALSE,nutrient,9.1.1
10088,FALSE,nutrient,9.1.2
10088,FALSE,organic,9.1.2
10088,FALSE,nutrient,9.3.1
10089,FALSE,direct_human,1.1
10089,FALSE,direct_human,1.2
10089,FALSE,direct_human,1.3
10089,FALSE,nutrient,9.1.1
10089,FALSE,nutrient,9.1.2
10089,FALSE,organic,9.1.2
10089,FALSE,nutrient,9.3.1
10268,TRUE,direct_human,1.2
10268,TRUE,shipping,4.3
10268,TRUE,nutrient,9.1.1
10268,TRUE,organic,9.2.1
10269,TRUE,shipping,4.3
10269,TRUE,organic,9.3.3
10340,FALSE,direct_human,6.1
11140,FALSE,direct_human,6.1
11143,TRUE,nutrient,2.4.2
11146,FALSE,direct_human,6.1
11150,FALSE,direct_human,1.1
11150,FALSE,direct_human,1.2
11150,FALSE,direct_human,1.3
11150,FALSE,nutrient,2.4.1
11150,FALSE,nutrient,2.4.2
11150,FALSE,nutrient,9.1.1
11150,FALSE,nutrient,9.1.2
11150,FALSE,organic,9.1.2
11150,FALSE,organic,9.2.1
11150,FALSE,organic,9.2.2
11150,FALSE,nutrient,9.3.1
11150,FALSE,organic,9.3.3
11534,TRUE,direct_human,1.1
11534,TRUE,direct_human,1.2
11534,TRUE,direct_human,1.3
11534,FALSE,nutrient,2.4.1
11534,FALSE,nutrient,2.4.2
11534,TRUE,direct_human,6.1
11534,FALSE,direct_human,6.3
11534,TRUE,nutrient,9.1.1
11534,TRUE,light,9.6.1
11696,FALSE,direct_human,6.1
12246,TRUE,direct_human,6.1
12302,TRUE,direct_human,1.1
12302,TRUE,direct_human,1.2
12302,TRUE,nutrient,2.4.3
12302,FALSE,nutrient,9.1.1
12302,TRUE,organic,9.2.1
12303,TRUE,direct_human,1.1
12303,TRUE,direct_human,1.2
12303,TRUE,direct_human,1.3
12303,FALSE,direct_human,6.1
12303,TRUE,direct_human,6.3
12303,FALSE,organic,9.2.1
12305,TRUE,direct_human,1.1
12305,TRUE,direct_human,1.2
12305,FALSE,direct_human,1.3
12305,TRUE,nutrient,2.4.3
12305,FALSE,direct_human,6.1
12416,FALSE,direct_human,1.1
12416,FALSE,direct_human,1.2
12416,FALSE,direct_human,1.3
12417,FALSE,direct_human,1.1
12417,FALSE,direct_human,1.2
12417,FALSE,direct_human,1.3
12417,FALSE,nutrient,9.1.1
12417,FALSE,nutrient,9.1.2
12417,FALSE,organic,9.1.2
12419,TRUE,direct_human,1.1
12419,TRUE,direct_human,1.2
12419,TRUE,direct_human,1.3
12419,TRUE,nutrient,2.4.3
12419,TRUE,shipping,4.3
12419,TRUE,direct_human,6.1
12419,TRUE,nutrient,9.1.1
12419,TRUE,organic,9.2.1
12421,TRUE,direct_human,1.1
12421,TRUE,nutrient,2.4.3
12421,TRUE,nutrient,9.1.1
12427,TRUE,direct_human,1.1
12427,TRUE,nutrient,2.4.3
12427,TRUE,nutrient,9.1.1
12695,TRUE,direct_human,1.1
12695,TRUE,direct_human,1.2
12695,TRUE,direct_human,1.3
12695,TRUE,shipping,4.3
12695,FALSE,direct_human,6.1
12695,FALSE,nutrient,9.1.1
12695,TRUE,nutrient,9.1.2
12695,TRUE,organic,9.1.2
12695,TRUE,organic,9.2.1
12695,TRUE,nutrient,9.3.1
12695,TRUE,organic,9.3.3
13006,TRUE,shipping,4.3
13145,FALSE,direct_human,1.1
13145,FALSE,direct_human,1.2
13145,FALSE,direct_human,1.3
13232,TRUE,nutrient,9.3.1
13581,TRUE,direct_human,6.1
13653,TRUE,direct_human,1.1
13653,TRUE,direct_human,1.2
13653,TRUE,direct_human,1.3
13653,TRUE,shipping,4.3
13653,TRUE,direct_human,6.1
13653,TRUE,organic,9.2.1
13654,TRUE,direct_human,6.1
13654,TRUE,direct_human,6.3
13704,FALSE,direct_human,1.2
13704,TRUE,shipping,4.3
13704,TRUE,organic,9.2.1
13704,TRUE,organic,9.3.3
14549,TRUE,direct_human,1.2
14549,TRUE,direct_human,1.3
14549,TRUE,nutrient,2.4.2
14549,TRUE,shipping,4.3
14549,TRUE,direct_human,6.1
14549,TRUE,organic,9.2.1
14562,TRUE,direct_human,6.3
15106,FALSE,shipping,4.3
15106,TRUE,direct_human,6.1
15106,TRUE,direct_human,6.3
15106,TRUE,organic,9.2.1
15108,TRUE,shipping,4.3
15108,TRUE,direct_human,6.3
15108,FALSE,organic,9.2.1
15239,FALSE,shipping,4.3
15419,TRUE,shipping,4.3
15419,TRUE,nutrient,9.1.1
15419,TRUE,nutrient,9.1.2
15419,TRUE,organic,9.1.2
15421,TRUE,shipping,4.3
15421,TRUE,direct_human,6.1
15421,TRUE,organic,9.2.1
15421,TRUE,organic,9.3.3
16869,FALSE,direct_human,1.1
16869,FALSE,direct_human,6.1
16869,FALSE,nutrient,9.1.2
16869,FALSE,organic,9.1.2
17013,TRUE,direct_human,1.2
17013,TRUE,direct_human,6.3
17013,TRUE,organic,9.2.1
17014,TRUE,organic,9.2.1
17014,TRUE,organic,9.3.3
17021,TRUE,organic,9.3.3
17022,TRUE,organic,9.2.1
17022,TRUE,organic,9.3.3
