eez,impact_mean,impact_var,a_km2,impact
71,0.1827445708209095,0.3223413518854833,35077.6102501091,fishing
72,0.38036180341683534,0.537390834815282,29220.717319840445,fishing
73,2.801940275366679,18.261813591485478,7668814.0500031235,fishing
74,0.26703689521546786,0.0857622553292689,22800.57765015656,fishing
75,0.6995381797860085,0.7616760889327286,132677.3559912722,fishing
76,8.297590090770852,167.81797900098744,255982.11142171288,fishing
77,17.591916990130642,171.15291146489002,10436.219964995365,fishing
78,15.559968522960098,192.8955308254803,19238.587742940446,fishing
79,12.343767708678332,262.79285662229006,27701.260966673646,fishing
80,11.752478655278747,144.08652985689585,493026.0333702453,fishing
81,6.951340513658702,66.75818456051084,98279.13483994301,fishing
82,20.126790777994405,163.3635687703384,11398.542307125199,fishing
84,22.640899581179234,208.3696587095588,127890.19524225696,fishing
85,1.1262081413480718,17.89171469938913,444314.35883383604,fishing
86,0.26434489535928596,4.254530563345325,447550.62619722233,fishing
88,0.12403480159763586,0.855582196747267,756548.6652133735,fishing
89,0.6361796460852052,6.711885410058198,1446146.0670200028,fishing
90,0,0,473534.20289585623,fishing
91,0,0,575481.8642266805,fishing
92,0,0,509323.512528336,fishing
93,0.043925631324147695,0.13126449345021396,567116.1218169155,fishing
94,0,0,416219.26175783615,fishing
95,2.651550247074503,20.495568074781055,548163.9603456538,fishing
96,14.386519097367872,472.96975336518244,160642.33867203808,fishing
97,7.4298312280781635,256.88302097077286,249308.72902884654,fishing
98,17.025416720421873,307.51670578334483,15472.257173283844,fishing
99,11.687096933668057,394.9733278529056,30376.028093295517,fishing
100,18.040789037893393,568.9668689306208,40049.0268926921,fishing
101,2.057539605931524,32.848333888865575,562077.4649074952,fishing
102,3.3123787111338747,56.89715703037828,1069909.4651309822,fishing
103,5.102163067398528,99.79151606633651,131487.98841602725,fishing
104,5.773883842387142,135.6982434015094,310399.60650976264,fishing
105,0,0,439819.73711912334,fishing
106,24.547880184364832,201.26200252104627,227078.38415114532,fishing
107,1.4938421837100804,15.987563359311745,434156.70585782686,fishing
108,0.6747326436805606,6.997033488420639,451530.90320767596,fishing
110,0.9387535868547008,20.325214732629565,595855.6779561948,fishing
111,1.6220590153300727,33.281514845807166,154215.2130139907,fishing
112,2.35269213470295,64.04665708103389,366252.7258963628,fishing
113,0,0,118893.09254785218,fishing
114,7.749544316657871,194.46519529120187,124240.88031172997,fishing
115,4.06400094672852,117.44925000276176,271240.42217968695,fishing
116,3.3698323465343685,39.360521792381846,212082.04861819273,fishing
117,1.860226933750722,51.437252269274936,80656.93428017793,fishing
118,2.3987774996882405,54.40593660837491,93003.82692820275,fishing
119,7.930942782730136,125.0421063743587,10398.670188705073,fishing
120,3.5224823814152297,79.00204474917633,108380.89975946628,fishing
121,7.174721894382406,149.9157811331525,7823.453666438211,fishing
122,11.088635846320527,107.21597403218985,15260.93048479013,fishing
123,7.435366025229117,62.931142445255844,29241.675337873658,fishing
124,1.238537216933486,20.83163551337226,184593.86085378358,fishing
125,5.04057105113556,75.471565356697,26302.31323668232,fishing
126,5.348580009561508,177.2858376894363,75774.58920154162,fishing
127,1.6251315776900876,23.630582548581906,36778.70275152717,fishing
129,5.084314467851778,124.60452840546249,330280.033584935,fishing
130,2.770871351417267,63.82329359306867,576146.4080375767,fishing
131,7.792896506674897,193.38905844604997,222098.23498615628,fishing
132,1.416553185330817,28.257924387970377,730389.5651084468,fishing
133,6.691155050331108,222.7688810804714,219200.7889466171,fishing
134,5.022632312876172,114.92319530888612,94119.84140628278,fishing
135,9.806117323815702,285.8269101807056,3282822.977876072,fishing
