iucn_sid,cat_score,sens,code,stressor
185181,0,0,1.2,direct_human
185181,0,0,1.3,direct_human
185163,0.4,0,9.2.1,organic
47143176,0.4,1,6.1,direct_human
184022,NA,1,1.1,direct_human
184022,NA,1,1.2,direct_human
184022,NA,1,1.3,direct_human
48342120,0.4,0,9.2.1,organic
179100,0,0,4.3,shipping
185134,0,0,1.1,direct_human
185134,0,0,1.2,direct_human
185134,0,0,1.3,direct_human
194908,0,0,1.1,direct_human
194908,0,0,1.2,direct_human
194908,0,0,1.3,direct_human
179020,0,1,1.1,direct_human
179020,0,1,1.2,direct_human
179020,0,1,1.3,direct_human
185137,0,0,1.1,direct_human
185137,0,0,1.2,direct_human
185137,0,0,1.3,direct_human
185187,NA,0,1.1,direct_human
185187,NA,0,1.2,direct_human
185187,NA,0,1.3,direct_human
183535,0.2,1,1.1,direct_human
183535,0.2,1,1.2,direct_human
183535,0.2,1,1.3,direct_human
194906,0,0,1.1,direct_human
194906,0,0,1.2,direct_human
194906,0,0,1.3,direct_human
194912,0,0,1.1,direct_human
194912,0,0,1.2,direct_human
194912,0,0,1.3,direct_human
184012,0,1,1.1,direct_human
179067,NA,0,1.2,direct_human
179067,NA,0,1.3,direct_human
179067,NA,0,4.3,shipping
179067,NA,0,9.1.2,nutrient
179067,NA,0,9.1.2,organic
183480,0,1,1.1,direct_human
183480,0,1,1.2,direct_human
183480,0,1,1.3,direct_human
194905,0,0,1.1,direct_human
194905,0,0,1.2,direct_human
194905,0,0,1.3,direct_human
185145,NA,0,1.1,direct_human
185145,NA,0,1.2,direct_human
185145,NA,0,1.3,direct_human
47400952,NA,1,2.4.3,nutrient
47400952,NA,1,6.1,direct_human
47400952,NA,1,9.1.1,nutrient
47400952,NA,1,9.2.1,organic
185196,0,0,1.1,direct_human
185196,0,0,1.2,direct_human
185196,0,0,1.3,direct_human
155013,0,0,1.2,direct_human
155013,0,0,1.3,direct_human
48342104,0.4,1,1.1,direct_human
46079519,0,1,1.1,direct_human
46079519,0,1,1.2,direct_human
46079519,0,1,1.3,direct_human
192429,0.2,0,9.3.1,nutrient
192429,0.2,0,9.3.3,organic
192733,0,0,9.1.1,nutrient
192733,0,0,9.1.2,nutrient
192733,0,0,9.1.2,organic
192733,0,0,9.3.1,nutrient
192733,0,0,9.3.3,organic
192347,0,0,1.2,direct_human
192332,NA,0,9.2.2,organic
192487,0.6,0,9.1.1,nutrient
192808,0,0,6.1,direct_human
192530,0.4,1,9.2.1,organic
192476,0,0,9.1.1,nutrient
192476,0,0,9.1.2,nutrient
192476,0,0,9.1.2,organic
192476,0,0,9.2.1,organic
192476,0,0,9.3.1,nutrient
192476,0,0,9.3.3,organic
192412,0.4,0,1.3,direct_human
192466,NA,0,4.3,shipping
192565,NA,0,9.1.1,nutrient
192565,NA,0,9.1.2,nutrient
192565,NA,0,9.1.2,organic
192260,0,0,1.2,direct_human
192260,0,0,9.2.1,organic
192584,0.2,0,9.2.1,organic
192445,NA,0,6.3,direct_human
192877,0,0,9.2.1,organic
192830,0,0,9.2.1,organic
192338,0,0,9.1.1,nutrient
192338,0,0,9.2.1,organic
192713,0,0,9.2.2,organic
192406,0.4,0,9.2.1,organic
192688,0,0,9.1.1,nutrient
192688,0,0,9.1.2,nutrient
192688,0,0,9.1.2,organic
192688,0,0,9.2.1,organic
192703,0.2,1,1.3,direct_human
192703,0.2,1,9.2.1,organic
192613,0.4,0,6.1,direct_human
192613,0.4,0,9.1.1,nutrient
192613,0.4,0,9.2.1,organic
192544,0.6,1,1.3,direct_human
192544,0.6,0,6.1,direct_human
192748,0.6,0,9.1.1,nutrient
192748,0.6,0,9.1.2,nutrient
192748,0.6,0,9.1.2,organic
192548,0,0,9.2.1,organic
192643,0.2,0,1.2,direct_human
192612,0,2,9.2.1,organic
192687,0.6,0,4.3,shipping
192687,0.6,0,9.1.1,nutrient
192687,0.6,0,9.1.2,nutrient
192687,0.6,0,9.1.2,organic
192687,0.6,0,9.2.1,organic
192736,0,0,9.2.1,organic
192469,0.2,1,6.1,direct_human
192306,0,0,6.1,direct_human
192437,0.4,0,1.3,direct_human
192403,0.6,0,1.3,direct_human
192403,0.6,0,6.1,direct_human
192522,0.6,0,9.1.1,nutrient
192522,0.6,0,9.1.2,nutrient
192522,0.6,0,9.1.2,organic
192522,0.6,0,9.2.1,organic
192340,0,0,9.2.1,organic
192497,0.6,0,9.1.1,nutrient
192497,0.6,0,9.1.2,nutrient
192497,0.6,0,9.1.2,organic
192497,0.6,0,9.2.1,organic
192768,0.4,0,1.3,direct_human
192389,0,0,9.1.1,nutrient
192389,0,0,9.1.2,nutrient
192389,0,0,9.1.2,organic
192389,0,0,9.2.1,organic
192283,0,0,9.2.1,organic
192698,0.4,0,1.3,direct_human
192572,0.4,1,9.2.1,organic
192715,0.4,0,9.2.1,organic
192828,NA,0,9.1.1,nutrient
192828,NA,0,9.1.2,nutrient
192828,NA,0,9.1.2,organic
192828,NA,0,9.2.1,organic
192823,0.6,2,9.2.1,organic
192404,NA,0,6.3,direct_human
192785,0.4,2,9.2.1,organic
192495,0,0,9.2.1,organic
192532,0.4,0,1.1,direct_human
192532,0.4,0,1.2,direct_human
192532,0.4,0,1.3,direct_human
192501,0,0,9.2.1,organic
192826,NA,0,6.3,direct_human
192744,0.6,0,6.1,direct_human
192516,0,0,9.2.1,organic
192554,0,0,9.1.1,nutrient
192554,0,0,9.1.2,nutrient
192554,0,0,9.1.2,organic
192554,0,0,9.2.1,organic
192602,0.8,3,6.1,direct_human
192494,0,0,9.1.1,nutrient
192494,0,0,9.2.1,organic
192720,0,0,9.2.1,organic
192484,0,0,1.2,direct_human
192546,0,0,9.2.1,organic
192618,0,0,9.1.1,nutrient
192618,0,0,9.1.2,nutrient
192618,0,0,9.1.2,organic
192618,0,0,9.2.1,organic
192618,0,0,9.3.1,nutrient
192618,0,0,9.3.3,organic
192343,0.2,2,9.2.1,organic
192339,0,0,6.3,direct_human
192293,0,0,9.2.1,organic
192609,0,0,9.1.1,nutrient
192609,0,0,9.1.2,nutrient
192609,0,0,9.1.2,organic
192609,0,0,9.3.1,nutrient
192609,0,0,9.3.3,organic
192725,0,0,9.1.1,nutrient
192421,0,0,9.1.1,nutrient
192421,0,0,9.1.2,nutrient
192421,0,0,9.1.2,organic
192421,0,0,9.2.1,organic
192421,0,0,9.3.1,nutrient
192421,0,0,9.3.3,organic
192559,0,0,1.1,direct_human
192385,0,0,9.2.2,organic
192492,0.4,0,9.1.1,nutrient
192492,0.4,1,9.1.2,nutrient
192492,0.4,1,9.1.2,organic
192492,0.4,1,9.2.1,organic
192791,0,0,9.2.1,organic
192467,0,0,9.2.1,organic
192661,NA,0,6.3,direct_human
192358,0.2,0,9.2.1,organic
192354,0.2,0,9.1.1,nutrient
192354,0.2,0,9.2.1,organic
192684,0.4,0,9.1.2,nutrient
192684,0.4,0,9.1.2,organic
192684,0.4,0,9.3.1,nutrient
192459,NA,0,9.1.1,nutrient
192459,NA,0,9.1.2,nutrient
192459,NA,0,9.1.2,organic
192459,NA,0,9.2.1,organic
192878,0.4,0,9.1.1,nutrient
192878,0.4,0,9.1.2,nutrient
192878,0.4,0,9.1.2,organic
192878,0.4,0,9.2.1,organic
192418,0,0,9.2.1,organic
192475,0.2,1,9.2.1,organic
192365,NA,0,9.1.1,nutrient
192365,NA,0,9.1.2,nutrient
192365,NA,0,9.1.2,organic
192669,0,0,9.2.1,organic
