meow,impact,adj_r2,term,estimate,std.error,statistic,p.value,sig
11,land-based,0.6640604247500306,year,1.7992080452567378e-5,3.948133284227688e-6,4.5571107045558845,0.0013719206808378744,TRUE
11,ocean,0.9796332488137126,year,4.879202269353343e-4,2.222424205472915e-5,21.95441472126644,3.983834846135285e-9,TRUE
12,climate,0.8024537332983732,year,0.04310260206758594,0.0066810844008042295,6.451438042362929,1.1794318425104325e-4,TRUE
12,fishing,-0.09931030328613044,year,-2.2824935882425536e-4,7.343322330846396e-4,-0.31082573873336594,0.7630113681952578,FALSE
12,land-based,0.04140097731939196,year,-1.1395270160103772e-4,9.522911056900943e-5,-1.1966162544221173,0.26202591392868047,FALSE
12,ocean,0.9649481894843704,year,7.059464978497459e-4,4.2470527803075535e-5,16.622032603951396,4.610522366759756e-8,TRUE
13,climate,-0.09598518591667782,year,-0.0019937423942082955,0.00565703879127426,-0.3524356943218345,0.7326239136868639,FALSE
13,fishing,-0.05082113317752657,year,0.001059038396025792,0.0014737787422480244,0.718587102437365,0.49062906320004895,FALSE
13,land-based,0.4245104642981663,year,6.575128655366644e-5,2.2718135454460462e-5,2.894220200661621,0.017761762447898302,TRUE
13,ocean,0.9761526138249417,year,0.001042890347974051,5.148376938680846e-5,20.256682064955168,8.113405720162473e-9,TRUE
14,climate,0.7805592941901696,year,-0.04178611141568734,0.006909826180104181,-6.047346246712291,1.911041320980456e-4,TRUE
14,fishing,0.4741818897794229,year,0.001254394059452965,3.963180373536575e-4,3.165119780641214,0.01145550912429503,TRUE
14,land-based,-0.04801585962615307,year,-3.046352496088818e-5,4.138514578168312e-5,-0.736098046424454,0.4804154803030444,FALSE
14,ocean,0.8613714953962851,year,0.0024453960623597453,3.0776079975929505e-4,7.945768480821245,2.337003170474048e-5,TRUE
15,climate,0.4740988395235596,year,-0.03439524727799016,0.010868594727243072,-3.164645305227501,0.01146425244156138,TRUE
15,fishing,NaN,year,0,0,NaN,NaN,NA
15,land-based,0.01083181996702276,year,4.2357490850343164e-7,4.02129306404894e-7,1.0533301148584893,0.3196463232970946,FALSE
15,ocean,0.9589497093639334,year,3.2770127224416575e-5,2.1394924556299154e-6,15.316776246714225,9.407288044209337e-8,TRUE
16,climate,0.5025682520935757,year,0.022099804573270165,0.006632284828483678,3.3321555308297555,0.008768946024318722,TRUE
16,fishing,NaN,year,0,0,NaN,NaN,NA
16,land-based,-0.06915002547456539,year,6.468951329212011e-6,1.0884502821047944e-5,0.5943267630656178,0.5669314445554345,FALSE
16,ocean,NaN,year,0,0,NaN,NaN,NA
17,climate,-0.0900399121151465,year,0.004038538851037002,0.009682323438812401,0.41710431143502,0.6863753661890946,FALSE
