eez,stressor,n_spp,n_imp,mean_imp_pct,a_wt_mean_imp_pct,med_imp_pct,sd_imp_pct
177,climate,33,6,0.17107040800432533,0.15052000275472013,0,0.368813798014134
177,cumulative,33,29,0.8762694073443292,0.8477690068684838,1,0.330531349844703
177,fishing,33,26,0.7856059234195174,0.7650369125464372,1,0.4139871659728797
177,land-based,33,9,0.07225379753742837,0.02307531916780773,0,0.1934641603734783
177,ocean,33,4,0.12121212121212122,0.11284521037602736,0,0.33143398263980844
178,climate,10,3,0.27341463922054693,0.1846495307297486,0,0.4433778536120072
178,cumulative,10,9,0.9,0.8388079416624173,1,0.31622776601683794
178,fishing,10,8,0.706984608209598,0.7710189465181039,1,0.4721824168135977
178,land-based,10,6,0.20507889559828005,0.0780597828829551,0.0862380258475238,0.3163390636436589
178,ocean,10,1,0.1,0.0031585142743630547,0,0.31622776601683794
179,climate,90,10,0.10394587402473932,0.1264561591801507,0,0.29621250468484456
179,cumulative,90,75,0.6322092611817989,0.6368582214639612,0.6699479744313571,0.3487675285310691
179,fishing,90,74,0.551438264169233,0.5223561357394695,0.6477582542559374,0.3278550057935286
179,land-based,90,17,0.03999588348206183,0.02050731035006377,0,0.13593572844597052
179,ocean,90,4,0.04391408895452003,0.06511241420470704,0,0.20480430276235845
180,climate,67,9,0.12322715220698596,0.14908422218188774,0,0.3165030341184509
180,cumulative,67,56,0.7810215513180788,0.8235712973020889,0.973702049704636,0.38045925852049356
180,fishing,67,55,0.714573627683058,0.7219642130300451,0.9425403226940138,0.39788290345795635
180,land-based,67,14,0.04197710116894485,0.013554710473736804,0,0.14575048255015838
180,ocean,67,4,0.05868845546856596,0.09915889767436838,0,0.23474622712178897
181,climate,62,7,0.1096993038438865,0.16046336501100444,0,0.3101941919336335
181,cumulative,62,54,0.698443718462164,0.6639093069482841,0.9225590583295145,0.37695115277305896
181,fishing,62,47,0.5881832990479327,0.4935623114746246,0.6520190054418347,0.3892258931712057
181,land-based,62,14,0.03234190842272584,0.006448638407111478,0,0.13911341391407459
181,ocean,62,4,0.06320200342597274,0.09303511705018108,0,0.2427802198080253
182,climate,94,10,0.09969507131985168,0.11420974676195955,0,0.2909381351309788
