stressor,impact_km2,coastal_km2,iucn_sid
light,382168.595,12513225.974,11534
nutrient,1232587.352,12513225.974,11534
cum_land-based,1725374.115,12513225.974,11534
cum_ocean,0,12513225.974,11534
cum_all,0,316315.007,116880357
cum_climate,0,316315.007,116880357
cum_fishing,0,316315.007,116880357
cum_land-based,0,316315.007,116880357
cum_ocean,0,316315.007,116880357
dem_dest,422.653,7924.751,117636167
pel_hb,0,7924.751,117636167
shipping,7819.087,7924.751,117636167
cum_all,7819.087,7924.751,117636167
cum_climate,0,7924.751,117636167
dem_dest,422.653,7924.751,117636167
pel_hb,0,7924.751,117636167
cum_fishing,422.653,7924.751,117636167
cum_land-based,0,7924.751,117636167
shipping,7819.087,7924.751,117636167
cum_ocean,7819.087,7924.751,117636167
art_fish,137891.536,228079.13,118360372
cum_all,137891.536,228079.13,118360372
cum_climate,0,228079.13,118360372
art_fish,137891.536,228079.13,118360372
cum_fishing,137891.536,228079.13,118360372
cum_land-based,0,228079.13,118360372
cum_ocean,0,228079.13,118360372
cum_all,0,146252.039,12137
cum_climate,0,146252.039,12137
cum_fishing,0,146252.039,12137
cum_land-based,0,146252.039,12137
cum_ocean,0,146252.039,12137
dem_dest,52816.826,120647.453,12303
dem_nondest_hb,20569.422,120647.453,12303
direct_human,18023.023,120647.453,12303
pel_hb,102364.202,120647.453,12303
cum_all,105060.8,120647.453,12303
cum_climate,0,120647.453,12303
dem_dest,52816.826,120647.453,12303
dem_nondest_hb,20569.422,120647.453,12303
pel_hb,102364.202,120647.453,12303
cum_fishing,103513.4,120647.453,12303
direct_human,18023.023,120647.453,12303
cum_land-based,18023.023,120647.453,12303
cum_ocean,0,120647.453,12303
direct_human,3279.057,12364.358,12305
nutrient,3273.817,12364.358,12305
cum_all,6042.022,12364.358,12305
cum_climate,0,12364.358,12305
cum_fishing,0,12364.358,12305
direct_human,3279.057,12364.358,12305
nutrient,3273.817,12364.358,12305
cum_land-based,6042.022,12364.358,12305
cum_ocean,0,12364.358,12305
dem_nondest_hb,76121.27,105710.499,12419
direct_human,80077.096,105710.499,12419
nutrient,67461.242,105710.499,12419
organic,44820.469,105710.499,12419
pel_hb,91084.422,105710.499,12419
shipping,76906.322,105710.499,12419
cum_all,103372.806,105710.499,12419
cum_climate,0,105710.499,12419
dem_nondest_hb,76121.27,105710.499,12419
pel_hb,91084.422,105710.499,12419
cum_fishing,95881.188,105710.499,12419
direct_human,80077.096,105710.499,12419
nutrient,67461.242,105710.499,12419
organic,44820.469,105710.499,12419
cum_land-based,82696.848,105710.499,12419
shipping,76906.322,105710.499,12419
cum_ocean,76906.322,105710.499,12419
direct_human,8157.909,8632.957,12421
nutrient,7359.758,8632.957,12421
cum_all,8388.447,8632.957,12421
cum_climate,0,8632.957,12421
cum_fishing,0,8632.957,12421
direct_human,8157.909,8632.957,12421
nutrient,7359.758,8632.957,12421
cum_land-based,8388.447,8632.957,12421
cum_ocean,0,8632.957,12421
dem_nondest_hb,15610.231,21878.425,12427
direct_human,21138.781,21878.425,12427
nutrient,19562.564,21878.425,12427
cum_all,21773.635,21878.425,12427
cum_climate,0,21878.425,12427
dem_nondest_hb,15610.231,21878.425,12427
cum_fishing,15610.231,21878.425,12427
direct_human,21138.781,21878.425,12427
nutrient,19562.564,21878.425,12427
cum_land-based,21703.775,21878.425,12427
cum_ocean,0,21878.425,12427
art_fish,1010503.089,3188420.203,126710128
dem_dest,1411395.053,3188420.203,126710128
pel_hb,546728.336,3188420.203,126710128
pel_lb,2211470.029,3188420.203,126710128
cum_all,2561781.562,3188420.203,126710128
cum_climate,0,3188420.203,126710128
art_fish,1010503.089,3188420.203,126710128
dem_dest,1411395.053,3188420.203,126710128
pel_hb,546728.336,3188420.203,126710128
pel_lb,2211470.029,3188420.203,126710128
cum_fishing,2561781.562,3188420.203,126710128
cum_land-based,0,3188420.203,126710128
cum_ocean,0,3188420.203,126710128
art_fish,217.439,217.439,130391495
cum_all,217.439,217.439,130391495
cum_climate,0,217.439,130391495
art_fish,217.439,217.439,130391495
cum_fishing,217.439,217.439,130391495
cum_land-based,0,217.439,130391495
cum_ocean,0,217.439,130391495
art_fish,80650.822,590150.731,130393378
dem_dest,429624.534,590150.731,130393378
dem_nondest_hb,8631.211,590150.731,130393378
cum_all,444406.05,590150.731,130393378
cum_climate,0,590150.731,130393378
art_fish,80650.822,590150.731,130393378
dem_dest,429624.534,590150.731,130393378
dem_nondest_hb,8631.211,590150.731,130393378
cum_fishing,444406.05,590150.731,130393378
cum_land-based,0,590150.731,130393378
cum_ocean,0,590150.731,130393378
direct_human,170758.076,3456529.148,132438298
cum_all,170758.076,3456529.148,132438298
cum_climate,0,3456529.148,132438298
cum_fishing,0,3456529.148,132438298
direct_human,170758.076,3456529.148,132438298
cum_land-based,170758.076,3456529.148,132438298
cum_ocean,0,3456529.148,132438298
cum_all,0,4450.959,132441735
cum_climate,0,4450.959,132441735
cum_fishing,0,4450.959,132441735
cum_land-based,0,4450.959,132441735
cum_ocean,0,4450.959,132441735
cum_all,0,11307.724,132450926
cum_climate,0,11307.724,132450926
cum_fishing,0,11307.724,132450926
cum_land-based,0,11307.724,132450926
cum_ocean,0,11307.724,132450926
light,2786.543,27947.518,132467692
cum_all,2786.543,27947.518,132467692
cum_climate,0,27947.518,132467692
cum_fishing,0,27947.518,132467692
light,2786.543,27947.518,132467692
cum_land-based,2786.543,27947.518,132467692
