iucn_sid,sens,stressor,code,score_num,category
12305,TRUE,direct_human,1.1,3,land-based
12305,TRUE,direct_human,1.2,3,land-based
12305,FALSE,direct_human,1.3,1,land-based
12305,TRUE,nutrient,2.4.3,3,land-based
12305,FALSE,direct_human,6.1,1,land-based
12416,FALSE,direct_human,1.1,NA,land-based
12416,FALSE,direct_human,1.2,NA,land-based
12416,FALSE,direct_human,1.3,NA,land-based
12417,FALSE,direct_human,1.1,NA,land-based
12417,FALSE,direct_human,1.2,NA,land-based
12417,FALSE,direct_human,1.3,NA,land-based
12417,FALSE,nutrient,9.1.1,NA,land-based
12417,FALSE,nutrient,9.1.2,NA,land-based
12417,FALSE,organic,9.1.2,NA,land-based
12419,TRUE,direct_human,1.1,3,land-based
12419,TRUE,direct_human,1.2,3,land-based
12419,TRUE,direct_human,1.3,3,land-based
12419,TRUE,nutrient,2.4.3,3,land-based
12419,TRUE,direct_human,6.1,3,land-based
12419,TRUE,nutrient,9.1.1,3,land-based
12419,TRUE,organic,9.2.1,3,land-based
12421,TRUE,direct_human,1.1,3,land-based
12421,TRUE,nutrient,2.4.3,3,land-based
12421,TRUE,nutrient,9.1.1,3,land-based
12427,TRUE,direct_human,1.1,3,land-based
12427,TRUE,nutrient,2.4.3,3,land-based
12427,TRUE,nutrient,9.1.1,3,land-based
12695,TRUE,direct_human,1.1,5,land-based
12695,TRUE,direct_human,1.2,5,land-based
12695,TRUE,direct_human,1.3,5,land-based
12695,FALSE,direct_human,6.1,NA,land-based
12695,FALSE,nutrient,9.1.1,NA,land-based
12695,TRUE,nutrient,9.1.2,6,land-based
12695,TRUE,organic,9.1.2,6,land-based
12695,TRUE,organic,9.2.1,3,land-based
12695,TRUE,nutrient,9.3.1,5,land-based
12695,TRUE,organic,9.3.3,6,land-based
13145,FALSE,direct_human,1.1,NA,land-based
13145,FALSE,direct_human,1.2,NA,land-based
13145,FALSE,direct_human,1.3,NA,land-based
13232,TRUE,nutrient,9.3.1,3,land-based
13581,TRUE,direct_human,6.1,4,land-based
13653,TRUE,direct_human,1.1,6,land-based
