eez,val_mean,val_var,a_km2,year,impact
85,0.008677738593840374,4.8010706544955183e-4,444314.35883383604,2003,climate
86,0.007311782003086384,0.00044027266435905026,447550.62619722233,2003,climate
88,0.08731849507958282,0.009963358049277346,756548.6652133735,2003,climate
89,0.0875201404471514,0.014584536826364826,1446146.0670200028,2003,climate
90,0.18554353939523016,0.015419502481293113,473534.20289585623,2003,climate
91,0.214417910811916,0.013947535778597305,575481.8642266805,2003,climate
92,0.011225780241787218,0.0019951294105984584,509323.512528336,2003,climate
93,0.0706283723362116,0.014140908686645727,567116.1218169155,2003,climate
94,0.15444415123819288,0.017459975718769075,416219.26175783615,2003,climate
95,0.14055245777636885,0.015241802606917286,548163.9603456538,2003,climate
96,0.030700564641444602,0.0022818115003811774,160642.33867203808,2003,climate
