iucn_sid,cat_score,sens,code,stressor
165717,0.2,1,11.1,slr
165717,0.2,1,11.1,oa
165717,0.2,1,11.1,uv
165717,0.2,1,5.4.1,art_fish
165684,0,0,11.1,sst
165684,0,0,11.1,slr
165684,0,0,11.1,oa
165684,0,0,11.1,uv
165684,0,1,5.4.1,art_fish
165672,0,0,11.5,oa
165672,0,0,11.5,uv
165672,0,1,5.4.1,art_fish
165610,0,1,5.4.1,art_fish
165635,0,1,5.4.1,art_fish
165705,0,0,11.1,sst
165705,0,0,11.1,slr
165705,0,0,11.1,oa
165705,0,0,11.1,uv
165705,0,1,5.4.1,art_fish
165636,0,1,5.4.1,art_fish
165702,0,1,5.4.1,art_fish
165641,0,1,11.1,sst
165641,0,1,11.1,slr
165641,0,1,11.1,oa
165641,0,1,11.1,uv
165641,0,0,5.4.1,art_fish
165713,NA,0,11.1,sst
165713,NA,0,11.1,slr
165713,NA,0,11.1,oa
165713,NA,0,11.1,uv
165713,NA,0,5.4.1,art_fish
165720,0,1,5.4.1,art_fish
165671,0,1,5.4.1,art_fish
165701,0,1,5.4.1,art_fish
165660,0,1,5.4.1,art_fish
165663,0,1,5.4.1,art_fish
165690,0,1,5.4.1,art_fish
165615,0,1,5.4.1,art_fish
165639,0,1,5.4.1,art_fish
165679,0,1,5.4.1,art_fish
165619,0,0,11.1,sst
165619,0,0,11.1,slr
165619,0,0,11.1,oa
165619,0,0,11.1,uv
165619,0,0,5.4.1,art_fish
165704,0,1,11.1,sst
165704,0,1,11.1,slr
165704,0,1,11.1,oa
165704,0,1,11.1,uv
165652,0,1,5.4.1,art_fish
165665,0,0,11.1,sst
165665,0,0,11.1,slr
165665,0,0,11.1,oa
165665,0,0,11.1,uv
165665,0,0,5.4.1,art_fish
165716,0,1,5.4.1,art_fish
165714,0,0,11.1,sst
165714,0,0,11.1,slr
165714,0,0,11.1,oa
165714,0,0,11.1,uv
165714,0,0,5.4.1,art_fish
165680,0,0,11.1,sst
165680,0,0,11.1,slr
165680,0,0,11.1,oa
165680,0,0,11.1,uv
165680,0,0,5.4.1,art_fish
165696,0,0,11.1,sst
165696,0,0,11.1,slr
165696,0,0,11.1,oa
165696,0,0,11.1,uv
165696,0,0,5.4.1,art_fish
165630,0,0,11.1,sst
165630,0,0,11.1,slr
165630,0,0,11.1,oa
165630,0,0,11.1,uv
165630,0,0,5.4.1,art_fish
165664,0,0,11.1,sst
165664,0,0,11.1,slr
165664,0,0,11.1,oa
165664,0,0,11.1,uv
165664,0,0,5.4.1,art_fish
165626,0,0,5.4.2,dem_nondest_hb
165626,0,0,5.4.2,dem_nondest_lb
165626,0,0,5.4.2,pel_hb
165626,0,0,5.4.2,pel_lb
165719,0,0,11.5,oa
165719,0,0,11.5,uv
165719,0,1,5.4.1,art_fish
165633,0,0,11.1,sst
165633,0,0,11.1,slr
165633,0,0,11.1,oa
165633,0,0,11.1,uv
165633,0,1,5.4.1,art_fish
165707,NA,0,11.1,sst
165707,NA,0,11.1,slr
165707,NA,0,11.1,oa
165707,NA,0,11.1,uv
165653,0,0,11.1,sst
165653,0,0,11.1,slr
165653,0,0,11.1,oa
165653,0,0,11.1,uv
165653,0,1,5.4.1,art_fish
165658,0.2,0,11.5,oa
165658,0.2,0,11.5,uv
165723,0,0,11.1,sst
165723,0,0,11.1,slr
165723,0,0,11.1,oa
165723,0,0,11.1,uv
165723,0,0,5.4.1,art_fish
165706,0,1,5.4.1,art_fish
165708,0,1,5.4.1,art_fish
165620,0,1,5.4.1,art_fish
165622,0,1,5.4.1,art_fish
165611,0,0,5.4.3,art_fish
60116,NA,1,5.4.3,art_fish
60116,NA,1,5.4.4,dem_nondest_hb
60116,NA,1,5.4.4,dem_nondest_lb
60116,NA,1,5.4.4,pel_hb
60116,NA,1,5.4.4,pel_lb
161507,0,1,5.4.3,art_fish
161507,0,1,5.4.4,dem_nondest_hb
161507,0,1,5.4.4,dem_nondest_lb
