iucn_sid,subpop,poly_km2
22698030,NA,44060886.10799498
45048990,NA,16400601.245176727
22698027,NA,87299058.06785005
22698001,NA,22290948.30132046
22698097,NA,0.973146601868052
22697957,NA,67284625.41251281
22697990,NA,1766659.348955831
22698092,NA,7451677.195932549
22698012,NA,50656688.937979676
22697967,NA,18787814.687813777
22693472,NA,15117475.9423173
22698055,NA,74962982.19272964
22697997,NA,47471621.10107096
45048812,NA,47147490.287949815
22698235,NA,2806331.7996722544
22734070,NA,45969800.757445194
22698222,NA,50917573.32066737
22694903,NA,4083741.3796992465
22693712,NA,23341667.09373724
22698272,NA,1382461.892297674
22698246,NA,1884049.534675142
22698267,NA,3305264.5951658282
22733979,NA,5679160.772910283
22693720,NA,3538477.507940148
45354718,NA,3114525.5637931414
45959186,NA,13897070.575930815
22698249,NA,10247533.249433985
22698277,NA,422924.8065196961
22680029,NA,2173785.403488599
62155296,NA,227121.95268419728
62154828,NA,359148.1542658233
22731577,NA,57343.00829493516
22693717,NA,6016871.466697656
22735692,NA,1391159.8218943954
22735810,NA,24950994.822098978
22694502,NA,12249911.095585348
22694436,NA,276484.03905915254
22694256,NA,14192250.496146975
22689032,NA,4649310.204939213
22680412,NA,1412181.4745537485
22680405,NA,8669598.023270307
22680409,NA,7316615.716040215
22680247,NA,50153053.99845855
22680229,NA,14961027.542193947
22680313,NA,34165137.393055394
22680243,NA,4454068.383356906
22680236,NA,2430691.949013694
22697825,NA,5628.658272639574
22694705,NA,1498340.7824610437
22694251,NA,52268431.78498588
22694245,NA,21986116.109469935
22694240,NA,84401564.76258796
22694607,NA,231480.4044430155
22694612,NA,41179311.14124017
22694537,NA,5428999.727402676
22694646,NA,10875481.76363634
22694618,NA,1717672.8761951851
22694623,NA,50920928.85306914
22694651,NA,539946.3511526287
22694641,NA,1445964.8529199176
22694635,NA,4187708.255980353
62101215,NA,1799985.2797462305
22694685,NA,196297.82643846897
22694691,NA,816752.2428526068
22694666,NA,763008.5114552489
22694656,NA,24751885.87473759
22694673,NA,3520113.3839447447
22694699,NA,739971.845341185
22696683,NA,4287194.458520739
62101249,NA,801071.7451019206
22694899,NA,919606.8528803495
22696545,NA,37525877.22127524
22680047,NA,12033.796467848493
22680038,NA,49163.71568244142
22680052,NA,1006665.134634157
22680033,NA,350580.5304419985
22680024,NA,11206686.25540308
22680011,NA,3300063.222513956
22680015,NA,268823.50173989974
22694561,NA,24346029.2175138
22694571,NA,47809209.07345752
22694552,NA,2159166.975509967
103798418,NA,2.584256360695675
103798407,NA,196470.8339861782
22731855,NA,28069.479793116538
22697519,NA,5697444.187719692
22683368,NA,2877.1527457140432
22683442,NA,8193818.919213707
22693289,NA,4918509.343339691
22693207,NA,17465708.122775853
22693225,NA,413621.6423023036
22693319,NA,3922835.4731571586
22693305,NA,2865975.632593255
22693231,NA,34095629.95662982
22693220,NA,46520227.98314589
22693211,NA,46612797.96075131
22693978,NA,5662037.204059933
22693983,NA,8392007.785145422
22693251,NA,14279426.64634991
22698005,NA,47409362.67637647
22692705,NA,2288129.0932123894
22728442,NA,9327823.812047377
22698425,NA,21606238.42664913
22728349,NA,32047303.682729714
22729686,NA,442451.1860492163
22696883,NA,710006.0022246004
103670928,NA,12926.554128542619
103670944,NA,11030.130499576031
103727590,NA,13313192.580639066
22718379,NA,22111916.80862115
104006526,NA,3415869.8546722056
104006414,NA,1208.54731618725
22709707,NA,33204812.59313683
22710886,NA,40392153.86723997
22716976,NA,3520911.929907933
22716971,NA,7953278.249659953
22716984,NA,1420763.3060536995
103818044,NA,6273807.66389947
22698106,NA,50803001.778539166
22696637,NA,24731953.893348012
22696657,NA,18270116.056697194
22694524,NA,13923797.755555265
22697852,NA,100193518.62169148
22697859,NA,91967384.37892987
22698320,NA,1736846.6080856204
22696599,NA,23965764.784778956
22698140,NA,107346807.89716867
22698159,NA,83049745.68159938
22728437,NA,12020747.419096338
22698150,NA,39453265.53797766
22698155,NA,18867090.55100155
62289271,NA,157.36004569853094
22697949,NA,30397124.0694571
22698035,NA,26305029.878774673
22698088,NA,15874369.635582307
22697975,NA,120250835.85515894
22736135,NA,43967640.59483073
22698084,NA,19854482.975714955
22697963,NA,119601845.0284647
22697954,NA,118358787.53002538
22697970,NA,122022870.01083818
22698062,NA,31437943.44991211
22698080,NA,52198187.39134683
45959182,NA,24672889.750659022
22697984,NA,75938832.0284652
22698017,NA,19212039.46950125
22698042,NA,59746330.790541634
22698039,NA,66311108.88401586
45959011,NA,21735983.4146235
22728432,NA,3816236.3582391823
22698226,NA,69101740.74679756
22697758,NA,16913738.852681875
22697761,NA,33818728.33489363
22697755,NA,26559580.03515622
22694497,NA,41662415.41689787
22697810,NA,330067.2138260996
22697822,NA,2637173.8166430607
22736173,NA,188444925.34771124
22696698,NA,136904984.89628315
22696694,NA,122461347.45014434
