iucn_sid,stressor,pct_imp,pct_incr3,pct_decr3,pct_incr2,pct_decr2,pct_incr1,pct_decr1,range_km2,assess_gp,rank,desc
132920,cumulative,0.9968466793885703,0.8688674722456167,4.98756226411034e-5,0.09269253220897253,7.940724134131622e-5,3.806297492430586e-5,0,2661302.45998661,reef_building_corals,Cnidaria,reef-building corals
132929,art_fish,0.6750297532700282,0.001086111086492235,7.75927504197549e-4,0.33171556821578835,0.024872787244922475,0.1130904967427988,0.007753027648530606,2795563.8929259814,reef_building_corals,Cnidaria,reef-building corals
132929,direct_human,0.13939050342919243,0,0,0.016854244955177188,0.002341214438645284,0.11065088579466847,0.008559255089490398,2795563.8929259814,reef_building_corals,Cnidaria,reef-building corals
132929,oa,0.9137492854460542,0.06344675493882977,0,0.7709345803223513,0,0,0,2795563.8929259814,reef_building_corals,Cnidaria,reef-building corals
132929,shipping,0.7083552773023756,0.11967026204683706,0.001964183638662641,0.3868157921689626,0.020644856973279984,2.3865081128609985e-4,7.856109794833187e-4,2795563.8929259814,reef_building_corals,Cnidaria,reef-building corals
132929,sst,0.9595449391436137,0.8847072935312353,6.712834980582366e-4,0.02191776543813311,3.529783028490028e-5,0,0,2795563.8929259814,reef_building_corals,Cnidaria,reef-building corals
132929,cumulative,0.9997469801612338,0.8333811259477624,3.7796790704219936e-5,0.09304882656848251,6.42545441971739e-4,0.0014300306513441898,0,2795563.8929259814,reef_building_corals,Cnidaria,reef-building corals
132933,art_fish,0.4544769610657145,2.408582515657056e-4,0.008739903281934405,0.24374158364612145,0.06062262854157511,0.05178950049429389,0.004124780496630253,2632170.814352347,reef_building_corals,Cnidaria,reef-building corals
132933,direct_human,0.1447541505308246,0,0,0.0164321063399977,0.002735366789717188,0.11091091205888935,0.013048147454578638,2632170.814352347,reef_building_corals,Cnidaria,reef-building corals
132933,oa,0.9230195795217104,0,0,0.7021784401543774,0,0,0,2632170.814352347,reef_building_corals,Cnidaria,reef-building corals
132933,shipping,0.6203111848292749,0.10108316542677576,0.007679264399975437,0.35939965912677696,0.01696723630137767,1.9175767206861612e-4,8.02860838552352e-4,2632170.814352347,reef_building_corals,Cnidaria,reef-building corals
132933,sst,0.8870726466316252,0.8007803674256376,0.0013695080834223799,0.029165412899792353,7.000150312456064e-4,0,0,2632170.814352347,reef_building_corals,Cnidaria,reef-building corals
132933,cumulative,0.9901470396533424,0.7279529270786277,9.199723570304164e-4,0.13238379006148168,0.008214394365393108,0.0014089876069397977,1.2573729572084335e-4,2632170.814352347,reef_building_corals,Cnidaria,reef-building corals
132935,art_fish,0.6660754367429554,0.001223634841068624,3.026534187587188e-5,0.35367093971399,0.004878702846523926,0.12165682337258406,0.0015371978667045312,2481371.758303847,reef_building_corals,Cnidaria,reef-building corals
132935,direct_human,0.14926691016066285,0,0,0.017990634638985203,0.002664054000418674,0.11920181148068126,0.008648145712834523,2481371.758303847,reef_building_corals,Cnidaria,reef-building corals
132935,oa,0.9387316850541657,0.0714804045934485,0,0.766525053026903,0,0,0,2481371.758303847,reef_building_corals,Cnidaria,reef-building corals
132935,shipping,0.6885041670845138,0.13206880508882,0.0022825699099681108,0.3600351077890061,0.019237496358681303,2.0341125676072663e-4,8.516526635527139e-4,2481371.758303847,reef_building_corals,Cnidaria,reef-building corals
132935,sst,0.95425323083779,0.9034746724841248,0,0.024442431458874384,0,0,0,2481371.758303847,reef_building_corals,Cnidaria,reef-building corals
132935,cumulative,0.9995351102614949,0.8776639659825611,4.2582633177635696e-5,0.07597691950377994,0,9.87494788740322e-4,0,2481371.758303847,reef_building_corals,Cnidaria,reef-building corals
132940,art_fish,0.41577699451466915,5.862414453648586e-4,0.004395485760254759,0.17657277087883883,0.047418466341130845,0.06146817564673866,0.009544590962287667,6260684.955474652,reef_building_corals,Cnidaria,reef-building corals
132940,direct_human,0.0846306407954072,0,0,0.008350488416877654,0.001277233624911387,0.06449074344237737,0.009637904223614161,6260684.955474652,reef_building_corals,Cnidaria,reef-building corals
132940,oa,0.6878613708700914,0.028330679229469146,0,0.5535357835630165,0,0,0,6260684.955474652,reef_building_corals,Cnidaria,reef-building corals
132940,shipping,0.7122706624696251,0.09004336624803518,0.006772253360740991,0.42062105325134597,0.023173065637910245,1.6960970751204427e-4,3.507963910896509e-4,6260684.955474652,reef_building_corals,Cnidaria,reef-building corals
132940,sst,0.8381228780509573,0.7245903806930651,0.00548637187603857,0.045849995004264246,8.11364855456142e-4,0,0,6260684.955474652,reef_building_corals,Cnidaria,reef-building corals
132940,cumulative,0.967321537743846,0.6585089883816957,0.0019798027754936638,0.15999356152620514,0.0067629080867676345,0.004439143528759699,4.693558091348081e-4,6260684.955474652,reef_building_corals,Cnidaria,reef-building corals
132968,art_fish,0.35663688513465647,0,0,0.3143459042137981,0,0.039262672811352504,0,232131.8863923387,reef_building_corals,Cnidaria,reef-building corals
132968,direct_human,0.26538888381269443,0,0,0.0288498071607606,0,0.2303094142606624,0.005217718451418924,232131.8863923387,reef_building_corals,Cnidaria,reef-building corals
132968,oa,0.9546205210246917,0,0,0.6326982038292013,0,0,0,232131.8863923387,reef_building_corals,Cnidaria,reef-building corals
132968,shipping,0.5425637165870535,0.04418696507175025,7.448509307141863e-4,0.41811718228784317,0.001809461112241718,0.0017191761575202815,0,232131.8863923387,reef_building_corals,Cnidaria,reef-building corals
132968,sst,0.9728430358589651,0.9249694347042514,0,0.010356437587805046,0,0,0,232131.8863923387,reef_building_corals,Cnidaria,reef-building corals
132968,cumulative,0.9996840026313437,0.9179422551405907,0,0.06663782568340153,0,0.0014558450305390287,0,232131.8863923387,reef_building_corals,Cnidaria,reef-building corals
132997,art_fish,0.41864723829302114,0.004520978270177329,0.004196902854440145,0.17076807867245683,0.047278072120742025,0.06050709896202826,0.013208165903843968,6572108.011841977,reef_building_corals,Cnidaria,reef-building corals
132997,direct_human,0.08890548620164379,0,0,0.008777142149412925,0.0012952386865592734,0.0652497082072207,0.012492914610342626,6572108.011841977,reef_building_corals,Cnidaria,reef-building corals
132997,oa,0.735152257005286,0.026988213965857207,0,0.5834800464723632,0,0,0,6572108.011841977,reef_building_corals,Cnidaria,reef-building corals
132997,shipping,0.7080242613727923,0.08705524004642579,0.008154901410240533,0.4146528326874296,0.02629196336983721,1.0722790496927428e-4,7.644140491702301e-4,6572108.011841977,reef_building_corals,Cnidaria,reef-building corals
132997,sst,0.8408357877062282,0.7495415243004362,0.0015284294797088356,0.04396649706587745,3.232781793723297e-4,0,0,6572108.011841977,reef_building_corals,Cnidaria,reef-building corals
132997,cumulative,0.9688194008383717,0.6804522067655673,0.001394361379399459,0.14382238381421064,0.005690519803415139,0.003816356737246568,4.471151185769019e-4,6572108.011841977,reef_building_corals,Cnidaria,reef-building corals
133002,art_fish,0.49442679707226095,9.016114201771573e-4,0.006222762355767475,0.23869317062077197,0.03992495025297008,0.07660386456809053,0.0034096877661966224,3719210.839775086,reef_building_corals,Cnidaria,reef-building corals
133002,direct_human,0.11837383123699158,0,0,0.010840703345063558,0.002127474243979468,0.08970845792571146,0.01401113540516241,3719210.839775086,reef_building_corals,Cnidaria,reef-building corals
133002,oa,0.7745022882303143,0.04769007858695149,0,0.5960952243181631,0,0,0,3719210.839775086,reef_building_corals,Cnidaria,reef-building corals
133002,shipping,0.6820645774119423,0.10591774064256672,0.003121594744827679,0.4046119771698975,0.00706332716311699,1.3571130263690106e-4,5.682030296921132e-4,3719210.839775086,reef_building_corals,Cnidaria,reef-building corals
133002,sst,0.9330372729463129,0.8455004307169285,9.424656860478726e-4,0.04509395426186596,1.5073815983740292e-4,0,0,3719210.839775086,reef_building_corals,Cnidaria,reef-building corals
