stressor,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative,desc
cum_climate,0.04045296816041555,4.569803603217824,1.0038020257592888e-5,152,0.02296366435305723,0.057942271967773865,Paired t-test,two.sided,sea birds
cum_climate,0,NaN,NaN,14,NaN,NaN,Paired t-test,two.sided,seagrasses
cum_climate,0,NaN,NaN,316,NaN,NaN,Paired t-test,two.sided,sharks and rays
cum_fishing,3.2192358104583135e-4,0.08511908299188703,0.9322554107617295,192,-0.0071377543126535685,0.007781601474745232,Paired t-test,two.sided,bony fishes
cum_fishing,-4.1235918184096226e-4,-1,0.3209628088321795,66,-0.0012356608521329137,4.109424884509892e-4,Paired t-test,two.sided,cone snails
cum_fishing,0.03495555216813581,1.1955111088697,0.259467470867317,10,-0.030193005047776517,0.10010410938404814,Paired t-test,two.sided,hagfishes
cum_fishing,-0.011218554737031107,-1.1128083397299677,0.2703042666663265,59,-0.03139118948119266,0.008954080007130445,Paired t-test,two.sided,mammals
cum_fishing,0,NaN,NaN,16,NaN,NaN,Paired t-test,two.sided,mangrove plants
cum_fishing,-0.0017101239812739564,-0.8067903059717532,0.42739637212691084,25,-0.006075652723193402,0.0026554047606454885,Paired t-test,two.sided,marine reptiles
cum_fishing,0.013618048722310679,4.377495743764659,1.528991095234375e-5,406,0.007502522629628562,0.019733574814992792,Paired t-test,two.sided,reef-building corals
cum_fishing,-0.0025709439851987616,-0.5398862557624233,0.5900655561722146,152,-0.011979219091475146,0.006837331121077622,Paired t-test,two.sided,sea birds
cum_fishing,-0.0051622291161662285,-1.2032634864582565,0.24882771532885078,14,-0.01436377176492101,0.0040393135325885515,Paired t-test,two.sided,seagrasses
cum_fishing,-0.008357251071743238,-1.9648866658824675,0.050303174054161716,316,-0.0167256153890622,1.111324557572272e-5,Paired t-test,two.sided,sharks and rays
cum_land-based,1.4788547908767865e-4,0.32117340295743496,0.7484283251227536,192,-7.603117669579981e-4,0.0010560827251333556,Paired t-test,two.sided,bony fishes
cum_land-based,0.011379014643667756,1.4150760592218696,0.16174731826816188,66,-0.004675907360155262,0.027433936647490775,Paired t-test,two.sided,cone snails
cum_land-based,0,NaN,NaN,10,NaN,NaN,Paired t-test,two.sided,hagfishes
cum_land-based,0.0018995868184155265,1.9406010987473565,0.05708957122966305,59,-5.9117856326966046e-5,0.003858291493158019,Paired t-test,two.sided,mammals
cum_land-based,0.005896668553950009,4.12623621399703,7.917860378102328e-4,16,0.0028671815670280936,0.008926155540871923,Paired t-test,two.sided,mangrove plants
cum_land-based,4.011679762715595e-4,1.843196165164113,0.0771881752646191,25,-4.708649000644107e-5,8.4942244254956e-4,Paired t-test,two.sided,marine reptiles
cum_land-based,0.006437963707959811,34.225760375183505,1.0235339385377009e-121,406,0.006068186540751774,0.006807740875167849,Paired t-test,two.sided,reef-building corals
cum_land-based,8.015271487890484e-4,1.136501387660818,0.25753538647967045,152,-5.918475870755179e-4,0.0021949018846536147,Paired t-test,two.sided,sea birds
cum_land-based,0.0034255242745953964,1.0438998553791572,0.3142227526484874,14,-0.003612525233154532,0.010463573782345324,Paired t-test,two.sided,seagrasses
cum_land-based,-2.207420316117872e-4,-0.29061999975656494,0.7715325996713391,316,-0.0017151671962399332,0.0012736831330163586,Paired t-test,two.sided,sharks and rays
cum_ocean,0,NaN,NaN,192,NaN,NaN,Paired t-test,two.sided,bony fishes
cum_ocean,0,NaN,NaN,66,NaN,NaN,Paired t-test,two.sided,cone snails
cum_ocean,0,NaN,NaN,10,NaN,NaN,Paired t-test,two.sided,hagfishes
cum_ocean,0.015765945631801906,5.109590647181486,3.6512265193264415e-6,59,0.0095917554630007,0.02194013580060311,Paired t-test,two.sided,mammals
cum_ocean,0,NaN,NaN,16,NaN,NaN,Paired t-test,two.sided,mangrove plants
cum_ocean,0,NaN,NaN,25,NaN,NaN,Paired t-test,two.sided,marine reptiles
cum_ocean,0.054305042180181826,53.76786322746058,9.525458090588092e-187,406,0.05231957802889482,0.056290506331468836,Paired t-test,two.sided,reef-building corals
cum_ocean,0.0014026897871686225,1.4616418620045644,0.14590366807457802,152,-4.933189186280648e-4,0.0032986984929653097,Paired t-test,two.sided,sea birds
cum_ocean,0.008381392738134763,1.8131912491964146,0.09129286105523923,14,-0.0015327845881286854,0.018295570064398213,Paired t-test,two.sided,seagrasses
cum_ocean,2.412220515384189e-4,1,0.31807563188536003,316,-2.3338221879317243e-4,7.158263218700103e-4,Paired t-test,two.sided,sharks and rays
