scientific,common,order,family,iucn,seabird_all,seabird_pelagic,seabird_coastal
Puffinus puffinus,Manx Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Puffinus subalaris,Galapagos Shearwater,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Puffinus yelkouan,Yelkouan Shearwater,PROCELLARIIFORMES,Procellariidae,VU,1,1,0
Pygoscelis adeliae,Adelie Penguin,SPHENISCIFORMES,Spheniscidae,LC,1,1,0
Pygoscelis antarcticus,Chinstrap Penguin,SPHENISCIFORMES,Spheniscidae,LC,1,1,0
Pygoscelis papua,Gentoo Penguin,SPHENISCIFORMES,Spheniscidae,LC,1,1,0
Rhodostethia rosea,Ross's Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
Rissa brevirostris,Red-legged Kittiwake,CHARADRIIFORMES,Laridae,VU,1,0,1
Rissa tridactyla,Black-legged Kittiwake,CHARADRIIFORMES,Laridae,VU,1,0,1
Saundersilarus saundersi,Saunders's Gull,CHARADRIIFORMES,Laridae,VU,1,0,1
Somateria fischeri,Spectacled Eider,ANSERIFORMES,Anatidae,NT,1,0,1
Somateria mollissima,Common Eider,ANSERIFORMES,Anatidae,NT,1,0,1
Somateria spectabilis,King Eider,ANSERIFORMES,Anatidae,LC,1,0,1
Spheniscus demersus,African Penguin,SPHENISCIFORMES,Spheniscidae,EN,1,1,0
Spheniscus humboldti,Humboldt Penguin,SPHENISCIFORMES,Spheniscidae,VU,1,1,0
Spheniscus magellanicus,Magellanic Penguin,SPHENISCIFORMES,Spheniscidae,NT,1,1,0
Spheniscus mendiculus,Galapagos Penguin,SPHENISCIFORMES,Spheniscidae,EN,1,1,0
Stercorarius longicaudus,Long-tailed Jaeger,CHARADRIIFORMES,Stercorariidae,LC,1,1,0
Stercorarius parasiticus,Arctic Jaeger,CHARADRIIFORMES,Stercorariidae,LC,1,1,0
Stercorarius pomarinus,Pomarine Jaeger,CHARADRIIFORMES,Stercorariidae,LC,1,1,0
Sterna dougallii,Roseate Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Sterna forsteri,Forster's Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Sterna hirundinacea,South American Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Sterna hirundo,Common Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Sterna paradisaea,Arctic Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Sterna repressa,White-cheeked Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Sterna striata,White-fronted Tern,CHARADRIIFORMES,Laridae,NT,1,0,1
Sterna sumatrana,Black-naped Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Sterna trudeaui,Snowy-crowned Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Sterna virgata,Kerguelen Tern,CHARADRIIFORMES,Laridae,NT,1,0,1
Sterna vittata,Antarctic Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Sternula albifrons,Little Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Sternula antillarum,Least Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Sternula balaenarum,Damara Tern,CHARADRIIFORMES,Laridae,VU,1,0,1
Sternula lorata,Peruvian Tern,CHARADRIIFORMES,Laridae,EN,1,0,1
Sternula nereis,Fairy Tern,CHARADRIIFORMES,Laridae,VU,1,0,1
Sternula saundersi,Saunders's Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Sula dactylatra,Masked Booby,SULIFORMES,Sulidae,LC,1,1,0
Sula granti,Nazca Booby,SULIFORMES,Sulidae,LC,1,1,0
Sula leucogaster,Brown Booby,SULIFORMES,Sulidae,LC,1,1,0
Sula nebouxii,Blue-footed Booby,SULIFORMES,Sulidae,LC,1,1,0
Sula sula,Red-footed Booby,SULIFORMES,Sulidae,LC,1,1,0
Sula variegata,Peruvian Booby,SULIFORMES,Sulidae,LC,1,1,0
Synthliboramphus antiquus,Ancient Murrelet,CHARADRIIFORMES,Alcidae,LC,1,1,0
Synthliboramphus craveri,Craveri's Murrelet,CHARADRIIFORMES,Alcidae,VU,1,1,0
Synthliboramphus hypoleucus,Guadalupe Murrelet,CHARADRIIFORMES,Alcidae,EN,1,1,0
Synthliboramphus scrippsi,Scripps's Murrelet,CHARADRIIFORMES,Alcidae,VU,1,1,0
Synthliboramphus wumizusume,Japanese Murrelet,CHARADRIIFORMES,Alcidae,VU,1,1,0
Tachyeres brachypterus,Falkland Steamerduck,ANSERIFORMES,Anatidae,LC,1,0,1
Tachyeres leucocephalus,White-headed Steamerduck,ANSERIFORMES,Anatidae,VU,1,0,1
Tachyeres patachonicus,Flying Steamerduck,ANSERIFORMES,Anatidae,LC,1,0,1
Tachyeres pteneres,Magellanic Steamerduck,ANSERIFORMES,Anatidae,LC,1,0,1
Thalassarche bulleri,Buller's Albatross,PROCELLARIIFORMES,Diomedeidae,NT,1,1,0
Thalassarche carteri,Indian Yellow-nosed Albatross,PROCELLARIIFORMES,Diomedeidae,EN,1,1,0
Thalassarche cauta,Shy Albatross,PROCELLARIIFORMES,Diomedeidae,NT,1,1,0
Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,PROCELLARIIFORMES,Diomedeidae,EN,1,1,0
Thalassarche chrysostoma,Grey-headed Albatross,PROCELLARIIFORMES,Diomedeidae,EN,1,1,0
Thalassarche eremita,Chatham Albatross,PROCELLARIIFORMES,Diomedeidae,VU,1,1,0
Thalassarche impavida,Campbell Albatross,PROCELLARIIFORMES,Diomedeidae,VU,1,1,0
Thalassarche melanophris,Black-browed Albatross,PROCELLARIIFORMES,Diomedeidae,LC,1,1,0
Thalassarche salvini,Salvin's Albatross,PROCELLARIIFORMES,Diomedeidae,VU,1,1,0
Thalassarche steadi,White-capped Albatross,PROCELLARIIFORMES,Diomedeidae,NT,1,1,0
Thalasseus bengalensis,Lesser Crested Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Thalasseus bergii,Greater Crested Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Thalasseus bernsteini,Chinese Crested Tern,CHARADRIIFORMES,Laridae,CR,1,0,1
Thalasseus elegans,Elegant Tern,CHARADRIIFORMES,Laridae,NT,1,0,1
Thalasseus maximus,Royal Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Thalasseus sandvicensis,Sandwich Tern,CHARADRIIFORMES,Laridae,LC,1,0,1
Thalassoica antarctica,Antarctic Petrel,PROCELLARIIFORMES,Procellariidae,LC,1,1,0
Uria aalge,Common Murre,CHARADRIIFORMES,Alcidae,LC,1,1,0
Uria lomvia,Thick-billed Murre,CHARADRIIFORMES,Alcidae,LC,1,1,0
Urile pelagicus,Pelagic Cormorant,SULIFORMES,Phalacrocoracidae,LC,1,0,1
Urile penicillatus,Brandt's Cormorant,SULIFORMES,Phalacrocoracidae,LC,1,0,1
Urile urile,Red-faced Cormorant,SULIFORMES,Phalacrocoracidae,LC,1,0,1
Xema sabini,Sabine's Gull,CHARADRIIFORMES,Laridae,LC,1,0,1
