range_km2,eez,iucn_sid
14651.401425324311,116,10082
4320.8448291774675,117,10082
4081.5741094885893,118,10082
2078.336837037394,119,10082
5839.427908385314,120,10082
1019.9569041203991,121,10082
1936.8702138371289,122,10082
1740.3887901014716,123,10082
1720.3040197526382,124,10082
4120.870387937694,125,10082
23220.611268050576,126,10082
3946.220243302929,127,10082
13040.253756989949,129,10082
3750.6120566237287,130,10082
65638.76750640462,131,10082
36645.095398029836,132,10082
60103.230870719206,133,10082
4546.14351663804,135,10082
1574.4711482898256,136,10082
107375.78815769528,139,10082
8415.517667708633,140,10082
353873.522932765,163,10082
12240.356070756181,164,10082
16454.664297472904,166,10082
50098.39676181839,167,10082
53982.61620579134,168,10082
3018.827918862008,169,10082
362835.69560091954,171,10082
207.8336818143316,220,10082
3305.2541764686284,221,10082
2006.7302805082718,244,10082
1297.6506526058736,245,10082
3698.217017641917,248,10082
928.265567795404,249,10082
2073.9705856258342,250,10082
0,NA,10082
8274.924314629461,0,10083
8274.924314629461,210,10083
7802010.11696119,0,10087
1112.5214806508645,2,10087
8589.29458473398,8,10087
4125.236648796294,9,10087
87837.67536158275,14,10087
351468.59038008493,15,10087
1573403.1554155312,16,10087
77138.60691679623,17,10087
241712.32053874282,20,10087
37651.953540043025,21,10087
46974.77873192812,24,10087
234985.6698765299,25,10087
44723.53828577463,26,10087
35942.12852084402,40,10087
208440.59296484757,73,10087
227304.55604043277,203,10087
60147.76665574316,204,10087
220045.22246816062,205,10087
382354.5969099908,206,10087
386238.8162733687,207,10087
623.5010517410209,208,10087
814671.363263933,209,10087
397569.2450376311,210,10087
2134361.113063224,216,10087
7419.138567186248,231,10087
544.908482246758,237,10087
8867.86158916999,247,10087
207755.96431147036,255,10087
0,NA,10087
61632.292971736526,0,10088
61632.292971736526,16,10088
0,NA,10088
527199.8290723512,0,10089
1088.0704588904712,108,10089
69343.09725429454,110,10089
80472.67835472642,135,10089
376295.9830044398,163,10089
0,NA,10089
796580.2271118346,0,101729662
783160.9825049625,16,101729662
7290.770691922637,216,101729662
6128.473914949463,255,101729662
0,NA,101729662
182102.47639321844,0,101730467
62164.97592578351,7,101730467
84772.56516075353,17,101730467
35164.935306681415,216,101730467
404446.09484633594,0,101730582
380735.58988397795,16,101730582
20216.628621622345,17,101730582
3493.876340735649,255,101730582
19723.241925555878,0,103054942
5494.493854782277,41,103054942
5811.48388486587,43,103054942
2514.088971014891,47,103054942
5903.175214892839,202,103054942
86488.50291649855,0,103055306
2535.920240668743,44,103055306
83952.5826758298,47,103055306
87122.48297666573,0,103055459
3169.900300835929,44,103055459
83952.5826758298,47,103055459
21255409.308212776,0,10340
939669.3520232162,89,10340
94885.68233835547,105,10340
20131039.55874769,213,10340
89708.17851365679,266,10340
106.53658986469401,NA,10340
6673571.018925139,0,103422139
42891.458108963954,5,103422139
67197.52012552287,7,103422139
3702.5832753515033,9,103422139
87415.02198813795,14,103422139
351468.59038008493,15,103422139
1051788.6382796164,16,103422139
279978.16937539424,17,103422139
56219.01143894868,18,103422139
46974.77873192812,24,103422139
234985.6698765299,25,103422139
211.32668672239527,30,103422139
35942.12852084402,40,103422139
