iucn_sid,sciname,assess_gp
133698,Acropora nana,reef_building_corals
133239,Acropora nasuta,reef_building_corals
133480,Acropora natalensis,reef_building_corals
133280,Acropora navini,reef_building_corals
133266,Acropora nobilis,reef_building_corals
133000,Acropora ocellata,reef_building_corals
133265,Acropora orbicularis,reef_building_corals
133475,Acropora pagoensis,reef_building_corals
133006,Acropora palmata,reef_building_corals
133531,Acropora palmerae,reef_building_corals
132972,Acropora paniculata,reef_building_corals
133494,Acropora papillare,reef_building_corals
133130,Acropora paragemmifera,reef_building_corals
133385,Acropora parahemprichii,reef_building_corals
133138,Acropora parapharaonis,reef_building_corals
133279,Acropora parilis,reef_building_corals
132867,Acropora pectinatus,reef_building_corals
133247,Acropora pharaonis,reef_building_corals
133639,Acropora pichoni,reef_building_corals
133103,Acropora pinguis,reef_building_corals
133017,Acropora plana,reef_building_corals
133122,Acropora plantaginea,reef_building_corals
132935,Acropora plumosa,reef_building_corals
133647,Acropora polystoma,reef_building_corals
132863,Acropora prostrata,reef_building_corals
133598,Acropora proximalis,reef_building_corals
133128,Acropora pruinosa,reef_building_corals
133033,Acropora pulchra,reef_building_corals
132966,Acropora rambleri,reef_building_corals
133115,Acropora retusa,reef_building_corals
133350,Acropora ridzwani,reef_building_corals
133248,Acropora robusta,reef_building_corals
133462,Acropora rongelapensis,reef_building_corals
132908,Acropora rosaria,reef_building_corals
133206,Acropora roseni,reef_building_corals
132913,Acropora rudis,reef_building_corals
132951,Acropora rufus,reef_building_corals
133164,Acropora russelli,reef_building_corals
132998,Acropora samoensis,reef_building_corals
133271,Acropora sarmentosa,reef_building_corals
133355,Acropora scherzeriana,reef_building_corals
133626,Acropora schmitti,reef_building_corals
132888,Acropora secale,reef_building_corals
133274,Acropora sekiseiensis,reef_building_corals
133080,Acropora selago,reef_building_corals
132886,Acropora seriata,reef_building_corals
133427,Acropora simplex,reef_building_corals
133320,Acropora solitaryensis,reef_building_corals
132937,Acropora spathulata,reef_building_corals
133338,Acropora speciosa,reef_building_corals
133432,Acropora spicifera,reef_building_corals
133402,Acropora squarrosa,reef_building_corals
132919,Acropora stoddarti,reef_building_corals
133291,Acropora striata,reef_building_corals
133087,Acropora subglabra,reef_building_corals
133682,Acropora subulata,reef_building_corals
133254,Acropora suharsonoi,reef_building_corals
133181,Acropora sukarnoi,reef_building_corals
132934,Acropora tanegashimensis,reef_building_corals
133203,Acropora tenella,reef_building_corals
133020,Acropora tenuis,reef_building_corals
133393,Acropora teres,reef_building_corals
133061,Acropora tizardi,reef_building_corals
133318,Acropora torihalimeda,reef_building_corals
133681,Acropora torresiana,reef_building_corals
133252,Acropora tortuosa,reef_building_corals
132971,Acropora tumida,reef_building_corals
132909,Acropora turaki,reef_building_corals
133030,Acropora tutuilensis,reef_building_corals
133621,Acropora valenciennesi,reef_building_corals
133293,Acropora valida,reef_building_corals
132952,Acropora variabilis,reef_building_corals
133348,Acropora variolosa,reef_building_corals
133025,Acropora vaughani,reef_building_corals
133050,Acropora vermiculata,reef_building_corals
133532,Acropora verweyi,reef_building_corals
133441,Acropora walindii,reef_building_corals
133518,Acropora wallaceae,reef_building_corals
132931,Acropora willisae,reef_building_corals
133547,Acropora yongei,reef_building_corals
133535,Agaricia agaricites,reef_building_corals
133153,Agaricia fragilis,reef_building_corals
133288,Agaricia grahamae,reef_building_corals
133255,Agaricia humilis,reef_building_corals
132970,Agaricia lamarcki,reef_building_corals
133439,Agaricia tenuifolia,reef_building_corals
133100,Agaricia undata,reef_building_corals
133332,Alveopora allingi,reef_building_corals
132905,Alveopora catalai,reef_building_corals
133093,Alveopora daedalea,reef_building_corals
133464,Alveopora excelsa,reef_building_corals
133523,Alveopora fenestrata,reef_building_corals
133501,Alveopora gigas,reef_building_corals
132865,Alveopora japonica,reef_building_corals
132896,Alveopora marionensis,reef_building_corals
133467,Alveopora minuta,reef_building_corals
133339,Alveopora ocellata,reef_building_corals
133482,Alveopora spongiosa,reef_building_corals
133675,Alveopora tizardi,reef_building_corals
133156,Alveopora verrilliana,reef_building_corals
133567,Alveopora viridis,reef_building_corals
133341,Anacropora forbesi,reef_building_corals
132973,Anacropora matthai,reef_building_corals
133524,Anacropora pillai,reef_building_corals
133415,Anacropora puertogalerae,reef_building_corals
133689,Anacropora reticulata,reef_building_corals
133046,Anacropora spinosa,reef_building_corals
133005,Anacropora spumosa,reef_building_corals
133484,Anomastraea irregularis,reef_building_corals
133446,Astrangia poculata,reef_building_corals
133069,Astreopora cucullata,reef_building_corals
133214,Astreopora eliptica,reef_building_corals
133227,Astreopora expansa,reef_building_corals
133302,Astreopora gracilis,reef_building_corals
133092,Astreopora incrustans,reef_building_corals
133267,Astreopora listeri,reef_building_corals
133306,Astreopora macrostoma,reef_building_corals
133174,Astreopora moretonensis,reef_building_corals
133292,Astreopora myriophthalma,reef_building_corals
133129,Astreopora ocellata,reef_building_corals
133485,Astreopora randalli,reef_building_corals
133137,Astreopora scabra,reef_building_corals
133048,Astreopora suggesta,reef_building_corals
133620,Australogyra zelli,reef_building_corals
133573,Australomussa rowleyensis,reef_building_corals
133085,Balanophyllia europaea,reef_building_corals
133084,Barabattoia amicorum,reef_building_corals
133383,Barabattoia laddi,reef_building_corals
133528,Blastomussa merleti,reef_building_corals
133253,Blastomussa wellsi,reef_building_corals
132965,Boninastrea boninensis,reef_building_corals
132861,Calathiscus tantillus,reef_building_corals
133597,Cantharellus doederleini,reef_building_corals
133044,Cantharellus jebbi,reef_building_corals
133384,Cantharellus noumeae,reef_building_corals
132890,Catalaphyllia jardinei,reef_building_corals
133287,Caulastrea connata,reef_building_corals
133695,Caulastrea curvata,reef_building_corals
133497,Caulastrea echinulata,reef_building_corals
133417,Caulastrea furcata,reef_building_corals
133405,Caulastrea tumida,reef_building_corals
133575,Cladocora arbuscula,reef_building_corals
133142,Cladocora caespitosa,reef_building_corals
133171,Coeloseris mayeri,reef_building_corals
132884,Colpophyllia natans,reef_building_corals
133428,Coscinaraea columna,reef_building_corals
132991,Coscinaraea crassa,reef_building_corals
133176,Coscinaraea exesa,reef_building_corals
133684,Coscinaraea hahazimaensis,reef_building_corals
133163,Coscinaraea marshae,reef_building_corals
133077,Coscinaraea mcneilli,reef_building_corals
133323,Coscinaraea monile,reef_building_corals
133408,Coscinaraea wellsi,reef_building_corals
133667,Craterestrea levis,reef_building_corals
133083,Ctenactis albitentaculata,reef_building_corals
133110,Ctenactis crassa,reef_building_corals
133148,Ctenactis echinata,reef_building_corals
133701,Ctenella chagius,reef_building_corals
133413,Cynarina lacrymalis,reef_building_corals
133628,Cyphastrea agassizi,reef_building_corals
133325,Cyphastrea chalcidicum,reef_building_corals
133669,Cyphastrea decadia,reef_building_corals
133506,Cyphastrea hexasepta,reef_building_corals
133690,Cyphastrea japonica,reef_building_corals
133648,Cyphastrea microphthalma,reef_building_corals
133321,Cyphastrea ocellina,reef_building_corals
133167,Cyphastrea serailia,reef_building_corals
133124,Dendrogyra cylindrus,reef_building_corals
133436,Dichocoenia stellaris,reef_building_corals
133102,Dichocoenia stokesii,reef_building_corals
133231,Diploastrea heliopora,reef_building_corals
133377,Diploria clivosa,reef_building_corals
133257,Diploria labyrinthiformis,reef_building_corals
133155,Diploria strigosa,reef_building_corals
133114,Duncanopsammia axifuga,reef_building_corals
132907,Echinomorpha nishihirai,reef_building_corals
133172,Echinophyllia aspera,reef_building_corals
133656,Echinophyllia costata,reef_building_corals
133058,Echinophyllia echinata,reef_building_corals
132947,Echinophyllia echinoporoides,reef_building_corals
133609,Echinophyllia orpheensis,reef_building_corals
133089,Echinophyllia patula,reef_building_corals
133154,Echinophyllia pectinata,reef_building_corals
132920,Echinopora ashmorensis,reef_building_corals
133687,Echinopora forskaliana,reef_building_corals
133554,Echinopora fruticulosa,reef_building_corals
132987,Echinopora gemmacea,reef_building_corals
133487,Echinopora grandicula,reef_building_corals
133188,Echinopora hirsutissima,reef_building_corals
133429,Echinopora horrida,reef_building_corals
133052,Echinopora irregularis,reef_building_corals
133088,Echinopora lamellosa,reef_building_corals
133040,Echinopora mammiformis,reef_building_corals
133243,Echinopora pacificus,reef_building_corals
133369,Echinopora robusta,reef_building_corals
133447,Echinopora taylorae,reef_building_corals
133336,Echinopora tiranensis,reef_building_corals
132912,Enigmopora darveliensis,reef_building_corals
133631,Erythrastrea flabellata,reef_building_corals
133173,Euphyllia ancora,reef_building_corals
133588,Euphyllia cristata,reef_building_corals
133225,Euphyllia divisa,reef_building_corals
133256,Euphyllia glabrescens,reef_building_corals
133289,Euphyllia paraancora,reef_building_corals
133057,Euphyllia paradivisa,reef_building_corals
133228,Euphyllia paraglabrescens,reef_building_corals
132967,Euphyllia yaeyamaensis,reef_building_corals
133400,Eusmilia fastigiata,reef_building_corals
133009,Favia albidus,reef_building_corals
133426,Favia danae,reef_building_corals
133569,Favia favus,reef_building_corals
133594,Favia fragum,reef_building_corals
133601,Favia helianthoides,reef_building_corals
133151,Favia lacuna,reef_building_corals
133392,Favia laxa,reef_building_corals
133477,Favia leptophylla,reef_building_corals
133510,Favia lizardensis,reef_building_corals
133638,Favia maritima,reef_building_corals
133136,Favia marshae,reef_building_corals
133616,Favia matthaii,reef_building_corals
132878,Favia maxima,reef_building_corals
132936,Favia pallida,reef_building_corals
132899,Favia rosaria,reef_building_corals
133029,Favia rotumana,reef_building_corals
133307,Favia rotundata,reef_building_corals
133210,Favia speciosa,reef_building_corals
133593,Favia stelligera,reef_building_corals
133516,Favia truncatus,reef_building_corals
132894,Favia veroni,reef_building_corals
132872,Favia vietnamensis,reef_building_corals
133290,Favites abdita,reef_building_corals
133078,Favites acuticollis,reef_building_corals
133578,Favites bestae,reef_building_corals
133654,Favites chinensis,reef_building_corals
132979,Favites complanata,reef_building_corals
133244,Favites flexuosa,reef_building_corals
133055,Favites halicora,reef_building_corals
133630,Favites micropentagona,reef_building_corals
133650,Favites paraflexuosa,reef_building_corals
133209,Favites pentagona,reef_building_corals
133343,Favites russelli,reef_building_corals
133577,Favites spinosa,reef_building_corals
133629,Favites stylifera,reef_building_corals
132994,Favites vasta,reef_building_corals
133418,Fungia concinna,reef_building_corals
132864,Fungia costulata,reef_building_corals
133036,Fungia curvata,reef_building_corals
132954,Fungia cyclolites,reef_building_corals
133371,Fungia distorta,reef_building_corals
133034,Fungia fragilis,reef_building_corals
132877,Fungia fralinae,reef_building_corals
133503,Fungia fungites,reef_building_corals
133183,Fungia granulosa,reef_building_corals
132925,Fungia hexagonalis,reef_building_corals
133423,Fungia horrida,reef_building_corals
133437,Fungia moluccensis,reef_building_corals
133673,Fungia paumotensis,reef_building_corals
132902,Fungia puishani,reef_building_corals
132986,Fungia repanda,reef_building_corals
133179,Fungia scabra,reef_building_corals
133308,Fungia scruposa,reef_building_corals
133201,Fungia scutaria,reef_building_corals
132996,Fungia seychellensis,reef_building_corals
133299,Fungia sinensis,reef_building_corals
133397,Fungia somervillei,reef_building_corals
133008,Fungia spinifer,reef_building_corals
132964,Fungia taiwanensis,reef_building_corals
133215,Fungia tenuis,reef_building_corals
133230,Fungia vaughani,reef_building_corals
133109,Galaxea acrhelia,reef_building_corals
133354,Galaxea astreata,reef_building_corals
133019,Galaxea cryptoramosa,reef_building_corals
133662,Galaxea fascicularis,reef_building_corals
133495,Galaxea horrescens,reef_building_corals
133180,Galaxea longisepta,reef_building_corals
133236,Galaxea paucisepta,reef_building_corals
132917,Gardineroseris planulata,reef_building_corals
133452,Goniastrea aspera,reef_building_corals
132883,Goniastrea australensis,reef_building_corals
132868,Goniastrea columella,reef_building_corals
133074,Goniastrea deformis,reef_building_corals
133365,Goniastrea edwardsi,reef_building_corals
133060,Goniastrea favulus,reef_building_corals
133101,Goniastrea minuta,reef_building_corals
133560,Goniastrea palauensis,reef_building_corals
133414,Goniastrea pectinata,reef_building_corals
133627,Goniastrea peresi,reef_building_corals
133515,Goniastrea ramosa,reef_building_corals
133634,Goniastrea retiformis,reef_building_corals
133665,Goniastrea thecata,reef_building_corals
133368,Goniopora albiconus,reef_building_corals
133391,Goniopora burgosi,reef_building_corals
132898,Goniopora cellulosa,reef_building_corals
133149,Goniopora ciliatus,reef_building_corals
133448,Goniopora columna,reef_building_corals
133641,Goniopora djiboutiensis,reef_building_corals
133357,Goniopora eclipsensis,reef_building_corals
133198,Goniopora fruticosa,reef_building_corals
133459,Goniopora lobata,reef_building_corals
133607,Goniopora minor,reef_building_corals
133051,Goniopora norfolkensis,reef_building_corals
133232,Goniopora palmensis,reef_building_corals
133001,Goniopora pandoraensis,reef_building_corals
132955,Goniopora pearsoni,reef_building_corals
132949,Goniopora pendulus,reef_building_corals
132995,Goniopora planulata,reef_building_corals
133014,Goniopora polyformis,reef_building_corals
133297,Goniopora savignyi,reef_building_corals
133378,Goniopora somaliensis,reef_building_corals
133668,Goniopora stokesi,reef_building_corals
133615,Goniopora stutchburyi,reef_building_corals
133643,Goniopora sultani,reef_building_corals
132879,Goniopora tenella,reef_building_corals
133054,Goniopora tenuidens,reef_building_corals
133412,Gyrosmilia interrupta,reef_building_corals
132968,Halomitra clavator,reef_building_corals
133166,Halomitra pileus,reef_building_corals
133269,Heliofungia actiniformis,reef_building_corals
133193,Heliopora coerulea,reef_building_corals
133522,Helioseris cucullata,reef_building_corals
133538,Herpolitha limax,reef_building_corals
133431,Heterocyathus aequicostatus,reef_building_corals
133537,Heterocyathus alternatus,reef_building_corals
132939,Heterocyathus sulcatus,reef_building_corals
133679,Heteropsammia cochlea,reef_building_corals
133671,Heteropsammia eupsammides,reef_building_corals
133529,Horastrea indica,reef_building_corals
133108,Hydnophora bonsai,reef_building_corals
133478,Hydnophora exesa,reef_building_corals
132960,Hydnophora grandis,reef_building_corals
133458,Hydnophora microconos,reef_building_corals
132895,Hydnophora pilosa,reef_building_corals
132881,Hydnophora rigida,reef_building_corals
132941,Indophyllia macassarensis,reef_building_corals
133564,Isophyllastrea rigida,reef_building_corals
133591,Isophyllia sinuosa,reef_building_corals
133182,Isopora brueggemanni,reef_building_corals
133472,Isopora crateriformis,reef_building_corals
133660,Isopora cuneata,reef_building_corals
133653,Isopora cylindrica,reef_building_corals
133541,Isopora elizabethensis,reef_building_corals
133139,Isopora palifera,reef_building_corals
133602,Isopora togianensis,reef_building_corals
133542,Leptastrea aequalis,reef_building_corals
133003,Leptastrea bewickensis,reef_building_corals
132983,Leptastrea bottae,reef_building_corals
133424,Leptastrea inaequalis,reef_building_corals
133278,Leptastrea pruinosa,reef_building_corals
133090,Leptastrea purpurea,reef_building_corals
133652,Leptastrea transversa,reef_building_corals
133310,Leptoria irregularis,reef_building_corals
132980,Leptoria phrygia,reef_building_corals
132901,Leptoseris amitoriensis,reef_building_corals
133686,Leptoseris cailleti,reef_building_corals
132887,Leptoseris explanata,reef_building_corals
133330,Leptoseris foliosa,reef_building_corals
133636,Leptoseris gardineri,reef_building_corals
132885,Leptoseris hawaiiensis,reef_building_corals
133539,Leptoseris incrustans,reef_building_corals
133351,Leptoseris mycetoseroides,reef_building_corals
133098,Leptoseris papyracea,reef_building_corals
133091,Leptoseris scabra,reef_building_corals
132903,Leptoseris solida,reef_building_corals
132927,Leptoseris striata,reef_building_corals
132876,Leptoseris tubulifera,reef_building_corals
133147,Leptoseris yabei,reef_building_corals
133317,Lithophyllon mokai,reef_building_corals
133517,Lithophyllon ranjithi,reef_building_corals
133213,Lithophyllon undulatum,reef_building_corals
133551,Lobophyllia corymbosa,reef_building_corals
133565,Lobophyllia dentatus,reef_building_corals
133619,Lobophyllia diminuta,reef_building_corals
133032,Lobophyllia flabelliformis,reef_building_corals
133304,Lobophyllia hataii,reef_building_corals
133419,Lobophyllia hemprichii,reef_building_corals
133152,Lobophyllia pachysepta,reef_building_corals
133076,Lobophyllia robusta,reef_building_corals
133226,Lobophyllia serratus,reef_building_corals
132926,Madracis asanoi,reef_building_corals
133476,Madracis asperula,reef_building_corals
133618,Madracis auretenra,reef_building_corals
133544,Madracis carmabi,reef_building_corals
133663,Madracis decactis,reef_building_corals
133281,Madracis formosa,reef_building_corals
133380,Madracis kirbyi,reef_building_corals
133135,Madracis pharensis,reef_building_corals
133611,Madracis senaria,reef_building_corals
132963,Manicina areolata,reef_building_corals
133461,Meandrina braziliensis,reef_building_corals
133217,Meandrina danae,reef_building_corals
133224,Meandrina meandrites,reef_building_corals
133337,Merulina ampliata,reef_building_corals
133024,Merulina scabricula,reef_building_corals
132953,Merulina scheeri,reef_building_corals
133470,Micromussa amakusensis,reef_building_corals
133268,Micromussa diminuta,reef_building_corals
133670,Micromussa minuta,reef_building_corals
133144,Millepora alcicornis,reef_building_corals
133300,Millepora boschmai,reef_building_corals
133362,Millepora braziliensis,reef_building_corals
133042,Millepora complanata,reef_building_corals
133553,Millepora dichotoma,reef_building_corals
133140,Millepora exaesa,reef_building_corals
133612,Millepora foveolata,reef_building_corals
133536,Millepora intricata,reef_building_corals
133276,Millepora latifolia,reef_building_corals
133603,Millepora murrayi,reef_building_corals
132999,Millepora nitida,reef_building_corals
133595,Millepora platyphylla,reef_building_corals
133143,Millepora squarrosa,reef_building_corals
133466,Millepora striata,reef_building_corals
132975,Millepora tenera,reef_building_corals
133331,Millepora tuberosa,reef_building_corals
133134,Montastraea annularis,reef_building_corals
133237,Montastraea cavernosa,reef_building_corals
133373,Montastraea faveolata,reef_building_corals
133012,Montastraea franksi,reef_building_corals
133178,Montastrea annuligera,reef_building_corals
133070,Montastrea colemani,reef_building_corals
132922,Montastrea curta,reef_building_corals
132978,Montastrea magnistellata,reef_building_corals
133374,Montastrea multipunctata,reef_building_corals
133162,Montastrea salebrosa,reef_building_corals
133263,Montastrea serageldini,reef_building_corals
132997,Montastrea valenciennesi,reef_building_corals
132982,Montigyra kenti,reef_building_corals
133314,Montipora aequituberculata,reef_building_corals
133696,Montipora altasepta,reef_building_corals
132866,Montipora angulata,reef_building_corals
133199,Montipora aspergillus,reef_building_corals
133443,Montipora australiensis,reef_building_corals
133113,Montipora cactus,reef_building_corals
133185,Montipora calcarea,reef_building_corals
133220,Montipora caliculata,reef_building_corals
133622,Montipora capitata,reef_building_corals
133422,Montipora capricornis,reef_building_corals
133623,Montipora cebuensis,reef_building_corals
133416,Montipora circumvallata,reef_building_corals
133460,Montipora cocosensis,reef_building_corals
133367,Montipora confusa,reef_building_corals
133375,Montipora corbettensis,reef_building_corals
133433,Montipora crassituberculata,reef_building_corals
133342,Montipora cryptus,reef_building_corals
133451,Montipora danae,reef_building_corals
133489,Montipora delicatula,reef_building_corals
133194,Montipora digitata,reef_building_corals
133170,Montipora dilatata,reef_building_corals
133072,Montipora echinata,reef_building_corals
133175,Montipora efflorescens,reef_building_corals
133031,Montipora effusa,reef_building_corals
133229,Montipora flabellata,reef_building_corals
133064,Montipora florida,reef_building_corals
133186,Montipora floweri,reef_building_corals
133071,Montipora foliosa,reef_building_corals
133438,Montipora foveolata,reef_building_corals
133131,Montipora friabilis,reef_building_corals
132930,Montipora gaimardi,reef_building_corals
133420,Montipora grisea,reef_building_corals
133202,Montipora hemispherica,reef_building_corals
133580,Montipora hirsuta,reef_building_corals
133238,Montipora hispida,reef_building_corals
132892,Montipora hodgsoni,reef_building_corals
133700,Montipora hoffmeisteri,reef_building_corals
133196,Montipora incrassata,reef_building_corals
133066,Montipora informis,reef_building_corals
133282,Montipora kellyi,reef_building_corals
133117,Montipora lobulata,reef_building_corals
133434,Montipora mactanensis,reef_building_corals
133007,Montipora malampaya,reef_building_corals
133079,Montipora meandrina,reef_building_corals
133015,Montipora millepora,reef_building_corals
133674,Montipora mollis,reef_building_corals
133525,Montipora monasteriata,reef_building_corals
133022,Montipora niugini,reef_building_corals
132944,Montipora nodosa,reef_building_corals
132932,Montipora orientalis,reef_building_corals
133454,Montipora pachytuberculata,reef_building_corals
133285,Montipora palawanensis,reef_building_corals
132942,Montipora patula,reef_building_corals
133563,Montipora peltiformis,reef_building_corals
133191,Montipora porites,reef_building_corals
133404,Montipora samarensis,reef_building_corals
133111,Montipora saudii,reef_building_corals
133361,Montipora setosa,reef_building_corals
133056,Montipora spongiosa,reef_building_corals
133245,Montipora spongodes,reef_building_corals
133556,Montipora spumosa,reef_building_corals
133259,Montipora stellata,reef_building_corals
132977,Montipora stilosa,reef_building_corals
133505,Montipora taiwanensis,reef_building_corals
133345,Montipora tuberculosa,reef_building_corals
133298,Montipora turgescens,reef_building_corals
133450,Montipora turtlensis,reef_building_corals
133599,Montipora undata,reef_building_corals
133632,Montipora vaughani,reef_building_corals
133635,Montipora venosa,reef_building_corals
133305,Montipora verrilli,reef_building_corals
133646,Montipora verrucosa,reef_building_corals
133409,Montipora verruculosus,reef_building_corals
133190,Montipora vietnamensis,reef_building_corals
132870,Moseleya latistellata,reef_building_corals
133457,Mussa angulosa,reef_building_corals
133586,Mussismilia braziliensis,reef_building_corals
133527,Mussismilia harttii,reef_building_corals
133184,Mussismilia hispida,reef_building_corals
133559,Mycedium elephantotus,reef_building_corals
133026,Mycedium mancaoi,reef_building_corals
133316,Mycedium robokaki,reef_building_corals
133363,Mycedium spina,reef_building_corals
133335,Mycedium steeni,reef_building_corals
133295,Mycedium umbra,reef_building_corals
133047,Mycetophyllia aliciae,reef_building_corals
133519,Mycetophyllia danaana,reef_building_corals
133356,Mycetophyllia ferox,reef_building_corals
133062,Mycetophyllia lamarckiana,reef_building_corals
133037,Mycetophyllia reesi,reef_building_corals
133219,Nemenzophyllia turbida,reef_building_corals
133212,Oculina diffusa,reef_building_corals
133511,Oculina patagonica,reef_building_corals
133533,Oculina robusta,reef_building_corals
132961,Oculina tenella,reef_building_corals
133444,Oculina valenciennesi,reef_building_corals
133165,Oculina varicosa,reef_building_corals
132859,Oulastrea crispata,reef_building_corals
133333,Oulophyllia bennettae,reef_building_corals
133200,Oulophyllia crispa,reef_building_corals
133491,Oulophyllia levis,reef_building_corals
133562,Oxypora convoluta,reef_building_corals
133582,Oxypora crassispinosa,reef_building_corals
133608,Oxypora egyptensis,reef_building_corals
133192,Oxypora glabra,reef_building_corals
133442,Oxypora lacera,reef_building_corals
133218,Pachyseris foliosa,reef_building_corals
132924,Pachyseris gemmae,reef_building_corals
133664,Pachyseris involuta,reef_building_corals
133453,Pachyseris rugosa,reef_building_corals
133410,Pachyseris speciosa,reef_building_corals
133075,Palauastrea ramosa,reef_building_corals
133545,Paraclavarina triangularis,reef_building_corals
133692,Parasimplastrea sheppardi,reef_building_corals
133360,Pavona bipartita,reef_building_corals
133558,Pavona cactus,reef_building_corals
133520,Pavona chiriquiensis,reef_building_corals
133240,Pavona clavus,reef_building_corals
133261,Pavona danai,reef_building_corals
133041,Pavona decussata,reef_building_corals
133581,Pavona diffluens,reef_building_corals
133702,Pavona duerdeni,reef_building_corals
133382,Pavona explanulata,reef_building_corals
133242,Pavona frondifera,reef_building_corals
133168,Pavona gigantea,reef_building_corals
132911,Pavona maldivensis,reef_building_corals
132904,Pavona minuta,reef_building_corals
133398,Pavona varians,reef_building_corals
132880,Pavona venosa,reef_building_corals
133455,Pavona xarifae,reef_building_corals
133488,Pectinia africanus,reef_building_corals
132956,Pectinia alcicornis,reef_building_corals
133694,Pectinia ayleni,reef_building_corals
133241,Pectinia crassa,reef_building_corals
132871,Pectinia elongata,reef_building_corals
132928,Pectinia lactuca,reef_building_corals
133683,Pectinia maxima,reef_building_corals
133272,Pectinia paeonia,reef_building_corals
132918,Pectinia pygmaeus,reef_building_corals
133205,Pectinia teres,reef_building_corals
133456,Physogyra lichtensteini,reef_building_corals
133508,Platygyra acuta,reef_building_corals
133571,Platygyra carnosus,reef_building_corals
133161,Platygyra contorta,reef_building_corals
