iucn_sid,sciname,comname,pub_year,old_cat,depth_upper,depth_lower,elev_upper,elev_lower,aoo_km2,eoo_km2,criteria,cat,cat_score,iucn_version
75153576,Konosirus punctatus,NA,2017,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
75153687,Nematalosa come,Western Pacific gizzard shad,2017,LC,0,13,NA,NA,NA,NA,NA,LC,0,2020-1
75153777,Nematalosa japonica,Japanese gizzard shad,2018,DD,0,16,NA,NA,NA,NA,NA,DD,NA,2020-1
75153870,Sardinella fimbriata,Fringescale sardinella,2018,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
75154011,Sardinella jussieu,Mauritian sardinella,2018,DD,0,50,NA,NA,NA,NA,NA,DD,NA,2020-1
75154879,Sardinella lemuru,Bali sardinella,2018,NT,15,100,NA,NA,NA,NA,NA,NT,0.2,2020-1
75155119,Sardinella zunasi,NA,2017,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
75155263,Encrasicholina heteroloba,Shorthead anchovy,2017,LC,10,13,NA,NA,NA,NA,NA,LC,0,2020-1
75155303,Encrasicholina punctifer,Buccaneer anchovy,2017,LC,5,35,NA,NA,NA,NA,NA,LC,0,2020-1
75155644,Setipinna breviceps,NA,2017,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
75155918,Stolephorus commersonnii,NA,2018,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
75156272,Stolephorus insularis,Hardenberg's anchovy,2017,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
75156420,Thryssa dussumieri,Dussumier's Thryssa,2017,LC,0,10,NA,NA,NA,NA,NA,LC,0,2020-1
75156473,Thryssa kammalensis,NA,2018,DD,1,50,NA,NA,NA,NA,NA,DD,NA,2020-1
75156647,Ilisha elongata,NA,2017,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
75157241,Hoplobrotula armata,Armoured Cusk,2020,LC,200,350,NA,NA,NA,NA,NA,LC,0,2020-1
75548420,Odontamblyopus rubicundus,Red Eelgoby,2019,LC,NA,NA,NA,NA,NA,NA,NA,LC,0,2020-1
75553587,Nemipterus marginatus,Red Filament Threadfin Bream,2019,LC,12,70,NA,NA,NA,NA,NA,LC,0,2020-1
75553913,Nemipterus nematophorus,Doublewhip Threadfin Bream,2019,LC,0,75,NA,NA,NA,NA,NA,LC,0,2020-1
75555773,Psettina iijimae,Iijima Flounder,2020,LC,82,110,NA,NA,NA,NA,NA,LC,0,2020-1
75556569,Paramonacanthus sulcatus,Mudbank Filefish,2019,LC,0,50,NA,NA,NA,NA,NA,LC,0,2020-1
75556671,Thamnaconus modestus,Black Scraper,2019,LC,0,120,NA,NA,NA,NA,NA,LC,0,2020-1
77129484,Plectorhinchus playfairi,Whitebarred Rubberlip,2019,LC,0,80,NA,NA,NA,NA,NA,LC,0,2020-1
77129706,Pomadasys commersonnii,Smallspotted Grunter,2019,LC,NA,50,NA,NA,NA,NA,NA,LC,0,2020-1
