iucn_sid,sciname,old_cat,iucn_rgn,cat_score,cat_current
198734,Microchirus azevia,LC,mediterranean,0,LC
198734,Microchirus azevia,LC,europe,0,LC
198735,Microchirus ocellatus,LC,mediterranean,0,LC
198735,Microchirus ocellatus,DD,europe,NA,DD
198736,Microchirus variegatus,LC,mediterranean,0,LC
198736,Microchirus variegatus,LC,europe,0,LC
198737,Monochirus hispidus,DD,mediterranean,NA,DD
198737,Monochirus hispidus,LC,europe,0,LC
198739,Solea solea,LC,mediterranean,0,LC
198739,Solea solea,LC,europe,0,LC
198740,Synapturichthys kleinii,DD,mediterranean,NA,DD
198740,Synapturichthys kleinii,LC,europe,0,LC
198741,Taurulus bubalis,DD,mediterranean,NA,DD
198741,Taurulus bubalis,LC,europe,0,LC
198742,Peristedion cataphractum,LC,mediterranean,0,LC
198742,Peristedion cataphractum,DD,europe,NA,DD
198743,Pontinus kuhlii,DD,mediterranean,NA,DD
198743,Pontinus kuhlii,LC,europe,0,LC
198744,Scorpaena loppei,LC,mediterranean,0,LC
198744,Scorpaena loppei,LC,europe,0,LC
198745,Scorpaena maderensis,LC,mediterranean,0,LC
198745,Scorpaena maderensis,LC,europe,0,LC
198746,Scorpaena notata,LC,mediterranean,0,LC
198746,Scorpaena notata,LC,europe,0,LC
198747,Scorpaena porcus,LC,mediterranean,0,LC
198747,Scorpaena porcus,LC,europe,0,LC
198748,Scorpaena scrofa,LC,mediterranean,0,LC
198748,Scorpaena scrofa,LC,europe,0,LC
198750,Chelidonichthys cuculus,LC,mediterranean,0,LC
198750,Chelidonichthys cuculus,LC,europe,0,LC
198751,Chelidonichthys lastoviza,LC,mediterranean,0,LC
198752,Chelidonichthys lucerna,LC,mediterranean,0,LC
198752,Chelidonichthys lucerna,LC,europe,0,LC
198753,Chelidonichthys obscurus,LC,mediterranean,0,LC
198753,Chelidonichthys obscurus,LC,europe,0,LC
198755,Lepidotrigla dieuzeidei,LC,mediterranean,0,LC
198755,Lepidotrigla dieuzeidei,LC,europe,0,LC
198756,Trigla lyra,LC,mediterranean,0,LC
198756,Trigla lyra,DD,europe,NA,DD
198757,Cyclothone braueri,LC,mediterranean,0,LC
198757,Cyclothone braueri,LC,europe,0,LC
198758,Vinciguerria attenuata,LC,mediterranean,0,LC
198758,Vinciguerria attenuata,LC,europe,0,LC
198759,Vinciguerria poweriae,LC,mediterranean,0,LC
198759,Vinciguerria poweriae,LC,europe,0,LC
198760,Maurolicus muelleri,LC,mediterranean,0,LC
198760,Maurolicus muelleri,LC,europe,0,LC
198761,Bathophilus nigerrimus,LC,mediterranean,0,LC
198761,Bathophilus nigerrimus,LC,europe,0,LC
198762,Borostomias antarcticus,DD,mediterranean,NA,DD
198762,Borostomias antarcticus,LC,europe,0,LC
198763,Nerophis maculatus,DD,mediterranean,NA,DD
198763,Nerophis maculatus,DD,europe,NA,DD
198764,Nerophis ophidion,LC,mediterranean,0,LC
198764,Nerophis ophidion,LC,europe,0,LC
198765,Syngnathus acus,LC,mediterranean,0,LC
198765,Syngnathus acus,LC,europe,0,LC
198766,Syngnathus phlegon,DD,mediterranean,NA,DD
198766,Syngnathus phlegon,DD,europe,NA,DD
198767,Syngnathus typhle,LC,mediterranean,0,LC
198767,Syngnathus typhle,LC,europe,0,LC
198769,Zeus faber,LC,mediterranean,0,LC
198769,Zeus faber,DD,europe,NA,DD
198772,Alectis alexandrina,LC,mediterranean,0,LC
198772,Alectis alexandrina,LC,europe,0,LC
198774,Parablennius pilicornis,LC,mediterranean,0,LC
198774,Parablennius pilicornis,LC,europe,0,LC
198775,Coelorinchus caelorhincus,LC,mediterranean,0,LC
198775,Coelorinchus caelorhincus,DD,europe,NA,DD
198776,Lepadogaster purpurea,LC,mediterranean,0,LC
198776,Lepadogaster purpurea,LC,europe,0,LC
198998,Myrichthys pardalis,LC,europe,0,LC
199068,Ilyophis brunneus,LC,europe,0,LC
199078,Heteroconger longissimus,LC,europe,0,LC
199146,Pisodonophis semicinctus,LC,europe,0,LC
199161,Pseudophichthys splendens,DD,europe,NA,DD
199249,Histiobranchus bathybius,LC,europe,0,LC
199323,Nemichthys curvirostris,"NA",europe,NA,NA
199360,Paraconger macrops,DD,europe,NA,DD
199373,Venefica proboscidea,LC,europe,0,LC
199396,Ophichthus maculatus,DD,europe,NA,DD
199401,Nessorhamphus ingolfianus,LC,europe,0,LC
199413,Gnathophis codoniphorus,DD,europe,NA,DD
13145780,Allium telmatum,NT,mediterranean,0.2,NT
13168143,Puccinellia iberica,LC,mediterranean,0,LC
13462250,Guentherus altivela,LC,europe,0,LC
13462491,Bathysaurus ferox,LC,europe,0,LC
13462713,Evermannella melanoderma,LC,europe,0,LC
13462745,Bathymicrops regis,"NA",europe,NA,NA
13462751,Bathypterois dubius,LC,europe,0,LC
13462757,Bathypterois phenax,LC,europe,0,LC
13485141,Ahliesaurus berryi,LC,europe,0,LC
13485167,Scopelosaurus argenteus,LC,europe,0,LC
13485312,Omosudis lowii,LC,europe,0,LC
13485398,Lestidiops affinis,"NA",europe,NA,NA
13485631,Macroparalepis affinis,"NA",europe,NA,NA
13485635,Magnisudis atlantica,LC,europe,0,LC
13485675,Benthalbella infans,"NA",europe,NA,NA
13485856,Scopelarchus guentheri,"NA",europe,NA,NA
13486169,Synodus synodus,LC,europe,0,LC
13486199,Trachinocephalus myops,"NA",europe,NA,NA
15147715,Alepocephalus agassizii,LC,europe,0,LC
15147725,Alepocephalus australis,LC,europe,0,LC
15147740,Alepocephalus bairdii,DD,europe,NA,DD
15147816,Bajacalifornia megalops,LC,europe,0,LC
15147860,Bathylaco nigricans,LC,europe,0,LC
15147965,Bathyprion danae,DD,europe,NA,DD
15147977,Bathytroctes michaelsarsi,LC,europe,0,LC
15148522,Conocara macropterum,LC,europe,0,LC
15148566,Conocara salmoneum,DD,europe,NA,DD
15148742,Einara macrolepis,DD,europe,NA,DD
15148858,Herwigia kreffti,DD,europe,NA,DD
15148964,Leptoderma macrops,DD,europe,NA,DD
15149028,Rinoctes nasutus,LC,europe,0,LC
15149121,Rouleina attrita,LC,europe,0,LC
15149335,Xenodermichthys copei,LC,europe,0,LC
15521875,Hemiramphus balao,"NA",europe,NA,NA
15521985,Scomberesox simulans,LC,europe,0,LC
15522054,Enchelyopus cimbrius,LC,europe,0,LC
15522069,Bathygadus melanobranchus,LC,europe,0,LC
